"Time (s)","X (hPa)"
-5.547316251E-1,1.017031403E3
4.512243749E-1,1.017035522E3
1.457204375E0,1.017039642E3
2.463160375E0,1.017050247E3
3.469097375E0,1.017057419E3
3.819891375E0,1.017061844E3
4.892805375E0,1.017067108E3
5.965749375E0,1.017068939E3
7.038709375E0,1.017069626E3
8.111640375E0,1.017079315E3
9.184585375E0,1.017079315E3
1.025761137E1,1.017077179E3
1.133058937E1,1.017076187E3
1.240357337E1,1.017070389E3
1.347653537E1,1.017069626E3
1.454944837E1,1.017069626E3
1.562234337E1,1.017076187E3
1.669527237E1,1.017085037E3
1.776815437E1,1.017105179E3
1.884105537E1,1.017112503E3
1.991397637E1,1.017112503E3
2.098686237E1,1.017110825E3
2.205975937E1,1.017106018E3
2.313264537E1,1.017102280E3
2.420555337E1,1.017092133E3
2.527843737E1,1.017088394E3
2.635133637E1,1.017088394E3
2.742418637E1,1.017090454E3
2.849716037E1,1.017091675E3
2.957013337E1,1.017093658E3
3.064310137E1,1.017094879E3
3.171600937E1,1.017094879E3
3.278899437E1,1.017091522E3
3.386197637E1,1.017091522E3
3.493492837E1,1.017094421E3
3.600784337E1,1.017099075E3
3.708077537E1,1.017102280E3
3.815372037E1,1.017115097E3
3.922671637E1,1.017127762E3
4.029972937E1,1.017138672E3
4.137274437E1,1.017145844E3
4.244570937E1,1.017154922E3
4.351860537E1,1.017160187E3
4.459153637E1,1.017165146E3
4.566443237E1,1.017171860E3
4.673738037E1,1.017177582E3
4.781029037E1,1.017182922E3
4.888323037E1,1.017188568E3
4.995617937E1,1.017193756E3
5.102914537E1,1.017196579E3
5.210210537E1,1.017204590E3
5.317512637E1,1.017209854E3
5.424813037E1,1.017218246E3
5.532106037E1,1.017223892E3
5.639393737E1,1.017230682E3
5.746682837E1,1.017234802E3
5.853978037E1,1.017236786E3
5.961270537E1,1.017241821E3
6.068560137E1,1.017245636E3
6.175847437E1,1.017250443E3
6.283141137E1,1.017251892E3
6.390431837E1,1.017259750E3
6.497724837E1,1.017266464E3
6.605019337E1,1.017271347E3
6.712318737E1,1.017275925E3
6.819613437E1,1.017280960E3
6.926906337E1,1.017283325E3
7.034192437E1,1.017287521E3
7.141477037E1,1.017290802E3
7.248762737E1,1.017293854E3
7.356048037E1,1.017299042E3
7.463337737E1,1.017302856E3
7.570627037E1,1.017306900E3
7.677921337E1,1.017309418E3
7.785219837E1,1.017313766E3
7.892518837E1,1.017317429E3
7.999815537E1,1.017318497E3
8.107109537E1,1.017327957E3
8.214406337E1,1.017334061E3
8.321703137E1,1.017340164E3
8.428996837E1,1.017341843E3
8.536289937E1,1.017342224E3
8.643581037E1,1.017342606E3
8.750873637E1,1.017342606E3
8.858165337E1,1.017342606E3
8.965453637E1,1.017344513E3
9.072739537E1,1.017344513E3
9.180032837E1,1.017343063E3
9.287323037E1,1.017341843E3
9.394615237E1,1.017340775E3
9.501905837E1,1.017339020E3
9.609199437E1,1.017336731E3
9.716492837E1,1.017335892E3
9.823784737E1,1.017335892E3
9.931074737E1,1.017338257E3
1.003836644E2,1.017339859E3
1.014565244E2,1.017340927E3
1.025294144E2,1.017342224E3
1.036023104E2,1.017344131E3
1.046751764E2,1.017344284E3
1.057480824E2,1.017348785E3
1.068210014E2,1.017360382E3
1.078938764E2,1.017360535E3
1.089667414E2,1.017360535E3
1.100396104E2,1.017360535E3
1.111124534E2,1.017359314E3
1.121853584E2,1.017344360E3
1.132582324E2,1.017344360E3
1.143311294E2,1.017346649E3
1.154040244E2,1.017347260E3
1.164769214E2,1.017350006E3
1.175498434E2,1.017358627E3
1.186228014E2,1.017359695E3
1.196957094E2,1.017358627E3
1.207686504E2,1.017358627E3
