"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.900400001E-2,2.216827393E0,-3.120891953E1,-2.145672607E1
4.894200002E-2,2.704330444E0,-3.131834602E1,-2.153261185E1
6.887999992E-2,3.285530090E0,-3.135823059E1,-2.122002792E1
8.881799993E-2,3.943267822E0,-3.134806824E1,-2.113099289E1
1.087570000E-1,4.616409302E0,-3.125244904E1,-2.174736786E1
1.286950000E-1,5.325096130E0,-3.069394684E1,-2.197896194E1
1.486330000E-1,6.259162903E0,-2.996720314E1,-2.271934509E1
1.685710000E-1,7.536788940E0,-2.917116547E1,-2.367904282E1
1.885090000E-1,8.922363281E0,-2.841008949E1,-2.422175980E1
2.084470000E-1,1.073251343E1,-2.719526291E1,-2.449156570E1
2.283850000E-1,1.266561890E1,-2.624775696E1,-2.525316238E1
2.483229999E-1,1.411694336E1,-2.553092384E1,-2.556028748E1
2.682609999E-1,1.568202209E1,-2.494798660E1,-2.545057297E1
2.881989999E-1,1.690849304E1,-2.461131287E1,-2.518111038E1
3.081370000E-1,1.802757263E1,-2.452659607E1,-2.480364609E1
3.280750000E-1,1.818258667E1,-2.480289459E1,-2.445724487E1
3.480130000E-1,1.899960327E1,-2.487634850E1,-2.375248718E1
3.679510000E-1,1.972348022E1,-2.485407829E1,-2.335486984E1
3.878888750E-1,2.037081909E1,-2.506830215E1,-2.305436325E1
4.078268750E-1,2.096203613E1,-2.513712311E1,-2.253956604E1
4.277648750E-1,2.151155090E1,-2.535176086E1,-2.157567978E1
4.477028750E-1,2.212319946E1,-2.562273026E1,-2.053511047E1
4.676408750E-1,2.238984680E1,-2.609461594E1,-1.993825531E1
4.875788749E-1,2.255761719E1,-2.661417961E1,-1.923137283E1
5.075168749E-1,2.253695679E1,-2.713959694E1,-1.846524811E1
5.274548749E-1,2.233380127E1,-2.776852417E1,-1.780882263E1
5.473928750E-1,2.177087402E1,-2.853915787E1,-1.711733627E1
5.673308750E-1,2.107861328E1,-2.942079926E1,-1.649008942E1
5.872688750E-1,2.068040466E1,-3.016661835E1,-1.606666565E1
6.072068750E-1,2.011282349E1,-3.070905876E1,-1.548352432E1
6.271448750E-1,1.994816589E1,-3.153072166E1,-1.483621979E1
6.470828750E-1,1.916700745E1,-3.231531906E1,-1.345480347E1
6.670208750E-1,1.857710266E1,-3.320005035E1,-1.244570923E1
6.869588749E-1,1.806822205E1,-3.371979523E1,-1.217969894E1
7.068968749E-1,1.816375732E1,-3.377719116E1,-1.229199982E1
7.268348749E-1,1.815396118E1,-3.407535553E1,-1.194816589E1
7.467728750E-1,1.810188293E1,-3.420032501E1,-1.216588593E1
7.667108750E-1,1.781814575E1,-3.443153381E1,-1.182337570E1
7.866488750E-1,1.756544495E1,-3.476254272E1,-1.141434479E1
8.065868750E-1,1.698406982E1,-3.529212952E1,-1.109476852E1
8.265248750E-1,1.659358215E1,-3.573558807E1,-1.067886734E1
8.464628750E-1,1.585591125E1,-3.621930313E1,-1.037211227E1
8.664008749E-1,1.500457764E1,-3.696899796E1,-9.844017029E0
8.863388749E-1,1.403469849E1,-3.748247910E1,-9.340736389E0
9.062768749E-1,1.294284058E1,-3.787242508E1,-9.197532654E0
9.262148750E-1,1.193118286E1,-3.806967545E1,-8.810066223E0
9.461528750E-1,1.120385742E1,-3.820911026E1,-8.459232330E0
9.660908750E-1,1.050209045E1,-3.837625885E1,-8.095832825E0
9.860288750E-1,9.328659058E0,-3.858965302E1,-7.880046844E0
1.005966875E0,8.397766113E0,-3.897607803E1,-8.020290375E0
1.025904875E0,6.196571350E0,-4.027772903E1,-5.216808319E0
1.045842875E0,3.825820923E0,-3.879759979E1,-4.464031219E0
1.065780875E0,8.441390991E-1,-3.824092102E1,-5.774951935E0
1.085718875E0,-2.569885254E0,-3.741219330E1,-7.465232849E0
1.105656875E0,-4.827987671E0,-3.692077255E1,-8.473381042E0
1.125594875E0,-8.503265381E0,-3.667820358E1,-9.139728546E0
1.145532875E0,-1.236888123E1,-3.782232285E1,-7.865089417E0
1.165470875E0,-1.664160156E1,-4.242051697E1,-1.790039062E0
1.185408875E0,-1.268703461E1,-4.784680557E1,5.131050110E0
1.205346875E0,-4.516220093E0,-4.794919968E1,3.350639343E0
1.225284875E0,-1.596466064E0,-4.352619553E1,-2.486186981E0
1.245222875E0,-2.897872925E-1,-4.029384613E1,-6.215694427E0
1.265160875E0,7.355957031E-1,-3.855412292E1,-7.426338196E0
1.285098875E0,1.123519897E0,-3.753981400E1,-9.026512146E0
1.305036875E0,1.307113647E0,-3.680171585E1,-1.166612625E1
1.324974875E0,1.788101196E0,-3.657821274E1,-1.350283813E1
1.344912875E0,1.996162415E0,-3.647335052E1,-1.352819061E1
1.364850875E0,1.942352295E0,-3.665335083E1,-1.305714417E1
1.384788625E0,2.075965881E0,-3.734062576E1,-1.223018646E1
1.404726625E0,2.443145752E0,-3.734538651E1,-1.105646133E1
1.424664625E0,3.149314880E0,-3.761009216E1,-9.810234070E0
1.444603625E0,3.839035034E0,-3.715795517E1,-8.435817719E0
1.464540625E0,4.469223022E0,-3.638653946E1,-6.417957306E0
1.484478625E0,4.958686829E0,-3.585657501E1,-6.113338470E0
1.504417625E0,5.089706421E0,-3.589656830E1,-6.375972748E0
1.524354625E0,5.303565979E0,-3.611824799E1,-5.980731964E0
1.544293625E0,5.063644409E0,-3.617769623E1,-5.057106018E0
1.564231625E0,4.807556152E0,-3.624983597E1,-3.839546204E0
1.584169625E0,4.638107300E0,-3.643075562E1,-2.672439575E0
1.604107625E0,4.271148682E0,-3.600381470E1,-1.379341125E0
1.624045625E0,3.219116211E0,-3.468959045E1,4.470596313E-1
1.643983625E0,1.797889709E0,-3.172493553E1,2.745262146E0
1.663920625E0,1.112426758E0,-2.854722404E1,3.855270386E0
1.683859625E0,8.529281616E-1,-2.786695480E1,4.749382019E0
1.703797625E0,1.562301636E0,-2.892955017E1,5.388519287E0
1.723735625E0,2.172042847E0,-3.181255913E1,5.309616089E0
1.743673625E0,1.402770996E0,-3.567276382E1,3.753868103E0
1.763611625E0,1.922225952E-1,-3.790827179E1,1.259574890E0
1.783549625E0,-8.599624634E-1,-3.822362137E1,4.348297119E-1
1.803487625E0,-1.928024292E0,-3.809388351E1,8.704605103E-1
1.823425625E0,-2.633911133E0,-3.754902649E1,2.049316406E0
1.843363625E0,-1.808158875E0,-3.462055969E1,4.671997070E0
1.863301625E0,-3.772583008E-1,-3.004451370E1,8.026123047E0
1.883239625E0,1.950675964E0,-2.573006630E1,1.329194641E1
1.903177625E0,4.732971191E-1,-1.740181160E1,2.695949554E1
1.923115625E0,-1.455676270E1,3.169937134E-1,3.929589081E1
1.943053625E0,-2.851139832E1,1.421749115E0,2.605462646E1
1.962991625E0,-2.198630524E1,2.065002441E0,2.594205475E1
1.982929625E0,-9.049987793E-1,-8.831935883E0,1.707775116E1
2.002867625E0,-3.924797058E0,-2.990215874E1,3.903991699E0
2.022805625E0,-9.758369446E0,-3.648983002E1,3.014755249E-1
2.042742625E0,-1.213507843E1,-3.730329132E1,-1.194984436E0
2.062681625E0,-1.200888062E1,-3.761632919E1,-3.381412506E0
2.082619625E0,-1.281021881E1,-3.716436768E1,-5.569072723E0
2.102556625E0,-1.445126343E1,-3.630558395E1,-6.613124847E0
2.122495625E0,-1.564910126E1,-3.571483612E1,-6.207950592E0
2.142432625E0,-1.518334961E1,-3.609284210E1,-5.311641693E0
2.162370625E0,-1.342949677E1,-3.656750488E1,-5.329174042E0
2.182309625E0,-1.174958038E1,-3.662993622E1,-6.274684906E0
2.202246625E0,-1.058363342E1,-3.645084763E1,-8.204990387E0
2.222184625E0,-9.685272217E0,-3.619564438E1,-1.016154480E1
2.242123625E0,-8.249336243E0,-3.605042267E1,-1.153711700E1
2.262060625E0,-6.574508667E0,-3.628118896E1,-1.126980209E1
2.281998625E0,-5.830200195E0,-3.659575653E1,-1.134222794E1
2.301937625E0,-4.266838074E0,-3.683700943E1,-1.098563004E1
2.321874625E0,-3.301254272E0,-3.731447983E1,-1.022732544E1
2.341812625E0,-3.004348755E0,-3.782378769E1,-8.600688934E0
2.361750625E0,-3.080551147E0,-3.838866425E1,-5.751461029E0
2.381688917E0,-2.809349060E0,-3.883980560E1,-2.928398132E0
2.401626917E0,-2.531364441E0,-3.919520569E1,-9.388580322E-1
2.421564917E0,-3.188369751E0,-3.916520309E1,-6.761245728E-1
2.441502917E0,-4.218383789E0,-3.897064209E1,-5.243453979E-1
2.461440917E0,-4.937164307E0,-3.900185776E1,3.731307983E-1
2.481378917E0,-5.089836121E0,-3.899133682E1,1.190696716E0
2.501316917E0,-5.178314209E0,-3.918058395E1,2.099555969E0
2.521254917E0,-5.768989563E0,-3.908143616E1,2.961227417E0
