"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-3.891208209E-3,-2.600093079E0,1.213376770E0,1.091604996E1
1.614879165E-2,-2.474354553E0,1.484163666E0,1.049258057E1
3.618879244E-2,-2.104473724E0,1.717827759E0,1.029214737E1
5.622879229E-2,-1.823657684E0,1.155147858E0,9.861193542E0
7.626879215E-2,-2.022444305E0,8.957373047E-1,9.687554626E0
9.630879201E-2,-2.709515533E0,8.650511169E-1,8.429570618E0
1.163487919E-1,-2.292782135E0,1.637594604E0,7.927364960E0
1.363887917E-1,-1.374142456E0,1.832339630E0,7.434889069E0
1.564287925E-1,-7.580236816E-1,1.526824951E0,6.878645782E0
1.764687924E-1,-7.461982727E-1,1.550625458E0,7.259453888E0
1.965087922E-1,-1.307680664E0,1.185534668E0,8.545429688E0
2.165487921E-1,-1.749561768E0,1.126557312E0,8.865613861E0
2.365887919E-1,-9.364526367E-1,8.177494812E-1,8.280630341E0
2.566287918E-1,9.454339600E-1,2.361339569E0,6.300398254E0
2.766687917E-1,-1.281634827E0,2.896177368E0,7.342231750E0
2.967087924E-1,-1.116677856E0,2.878813477E0,9.101523285E0
3.167487923E-1,-1.908531189E-1,1.243015137E0,8.674311676E0
3.367887922E-1,-7.120692444E-1,7.708969116E-2,8.205486603E0
3.568287920E-1,-2.507585449E0,1.704206085E0,1.052266800E1
3.768687919E-1,-3.387156372E0,2.250719604E0,1.059212357E1
3.969087917E-1,-3.935017090E0,3.226091309E0,1.365176102E1
4.169487925E-1,-4.115541687E0,1.801803131E0,1.239467514E1
4.369887924E-1,-3.381468201E0,-8.590635681E-1,1.082803299E1
4.570287922E-1,-3.200943604E0,-2.714455261E0,8.736133118E0
4.770687921E-1,-4.376598816E0,-2.013762360E0,9.803114319E0
4.971087920E-1,-4.083208923E0,-8.777746582E-1,9.883796539E0
5.171487918E-1,-2.722538452E0,5.032534790E-1,9.222471771E0
5.371887917E-1,-2.807861023E0,1.778751068E0,1.046668442E1
5.572294584E-1,-3.651806030E0,3.006947021E0,1.190145081E1
5.772694591E-1,-2.566263428E0,8.414002991E-1,1.087249054E1
5.973094590E-1,-1.890269165E0,-9.855505371E-1,1.052611084E1
6.173494589E-1,-1.690135345E0,-8.337661743E-1,1.068448151E1
6.373894587E-1,-2.437980194E0,3.194357300E-1,1.121183487E1
6.574294586E-1,-2.475252686E0,-6.676116943E-2,1.258418106E1
6.774694584E-1,-1.392853546E0,-2.046095123E0,1.139595200E1
6.975094592E-1,2.594105530E-1,-2.634072418E0,8.916657715E0
7.175494591E-1,4.767585754E-1,-1.628313904E0,7.044650574E0
7.375894589E-1,-2.811154175E-1,-7.110214233E-1,7.392377472E0
7.576294588E-1,-1.251697083E0,1.267863464E-1,8.687484283E0
7.776694587E-1,-1.892813873E0,6.027964783E-1,9.498647461E0
7.977094585E-1,-1.855391693E0,1.619332581E0,9.882599030E0
8.177494584E-1,-1.988614655E0,2.710563354E0,1.027014313E1
8.377894592E-1,-2.144141235E0,2.432741089E0,1.082039886E1
8.578294590E-1,-2.693798218E0,1.189426575E0,1.166314636E1
8.778694589E-1,-2.494861908E0,-1.654060364E-1,1.173305099E1
8.979094587E-1,-1.665137329E0,-9.319619751E-1,1.091829529E1
9.179494586E-1,-1.039139099E0,-1.866917725E0,9.968670044E0
9.379894584E-1,-8.752299500E-1,-2.250270538E0,9.561965790E0
9.580294583E-1,-8.252339172E-1,-2.796784058E0,1.051697983E1
9.780694591E-1,-1.246757355E0,-3.563938751E0,1.154743698E1
9.981094589E-1,-1.581611023E0,-3.710933075E0,1.191207870E1
1.018149459E0,-1.857637024E0,-3.867208099E0,1.165715881E1
1.038189459E0,-1.015188904E0,-4.441563721E0,1.170505920E1
1.058229459E0,-2.658471680E-1,-4.233197021E0,1.047850983E1
1.078269458E0,2.694396973E-3,-4.297413483E0,1.022748184E1
1.098309459E0,-2.853067017E-1,-4.568799133E0,1.022224274E1
1.118349459E0,1.273851013E-1,-4.533622284E0,1.034872971E1
1.138389459E0,1.007105713E0,-4.564907227E0,9.779762878E0
1.158429459E0,1.449286194E0,-4.665797424E0,9.118887177E0
1.178469459E0,1.788031769E0,-4.827311554E0,8.563841400E0
1.198509458E0,2.430046692E0,-4.094136200E0,8.117769012E0
1.218549458E0,2.814746704E0,-3.079995117E0,7.984246674E0
1.238589459E0,3.170407104E0,-2.498005371E0,8.051905975E0
1.258629459E0,3.572321320E0,-2.054028625E0,7.509733429E0
1.278669459E0,3.565285950E0,-1.735640717E0,6.800957336E0
1.298709459E0,4.091441803E0,-1.660197601E0,7.225175171E0
1.318749459E0,4.557871857E0,-1.611249390E0,6.635850677E0
1.338789458E0,4.673132172E0,-2.247127075E0,5.486390991E0
1.358829459E0,4.969964905E0,-2.408341827E0,4.037553864E0
1.378869459E0,6.037544861E0,-1.565444641E0,3.992347870E0
1.398909459E0,5.168751526E0,-1.258283386E0,4.339326324E0
1.418949459E0,4.256249084E0,-9.425898743E-1,5.651198273E0
1.438989459E0,3.524570618E0,-3.826043701E-1,6.252946930E0
1.459029458E0,3.530857544E0,1.098415833E0,6.196065216E0
1.479069458E0,4.125720520E0,1.671723633E0,5.688919830E0
1.499109459E0,3.699107666E0,1.955683136E0,5.827830963E0
1.519149459E0,2.609822845E0,2.151775360E0,6.780000916E0
1.539189459E0,1.832489319E0,2.053429871E0,7.920479279E0
1.559232792E0,2.780467987E0,2.376607819E0,8.517138519E0
1.579272792E0,1.756447449E0,-4.743635559E-1,8.628955994E0
1.599312793E0,-7.131170654E-1,-4.242777100E0,6.695726166E0
1.619352792E0,-1.819017334E0,-5.080135803E0,7.467072144E0
1.639392792E0,-5.293142853E0,-6.362519073E0,9.877659302E0
1.659432792E0,-1.152603149E-1,2.206411743E-1,1.205428299E1
1.679472792E0,8.304730225E-1,2.478994904E0,9.429790649E0
1.699512792E0,-8.668473816E-1,1.749262390E0,1.122725281E1
1.719552792E0,-7.381450195E0,2.461481323E0,1.838461899E1
1.739592792E0,-2.806663513E0,2.806513824E0,1.049228119E1
1.759632792E0,-1.511556702E0,2.955903168E0,7.139852600E0
1.779672792E0,-2.368973694E0,1.971250763E0,7.356901245E0
1.799712792E0,-2.767445068E0,1.723815308E0,7.016958160E0
1.819752792E0,-3.397484894E0,3.272345123E0,7.132517853E0
1.839792792E0,-1.689386902E0,4.471501465E0,7.348818054E0
1.859832793E0,-1.943109283E0,1.572030945E0,8.540190582E0
1.879872792E0,-2.500550079E0,-1.281335449E-1,4.196074219E0
1.899912792E0,-2.230062561E0,-2.384541321E-1,5.398823090E0
1.919952792E0,-1.770967255E0,-2.381248169E0,1.569935303E1
1.939992792E0,-3.270399170E0,-4.633764038E0,1.201371735E1
1.960032792E0,-4.645589447E0,-3.260819092E0,5.629343719E0
1.980072792E0,-4.549040222E0,1.861379242E0,6.850055237E0
2.000112792E0,-9.026529236E0,6.509962463E-1,1.010458740E1
2.020152792E0,-9.816436615E0,-2.661465454E-1,1.605860596E1
2.040192792E0,-7.272476807E0,3.537144470E-1,9.778415680E0
2.060232792E0,-6.236930237E0,7.839198303E-1,1.085467758E1
2.080272792E0,-6.329437866E0,-1.866618347E-1,7.699089661E0
2.100312792E0,-8.899742889E0,-7.833210754E-1,9.974208527E0
2.120352793E0,-6.703360291E0,-8.737330627E-1,6.816674652E0
2.140392792E0,-6.781348114E0,-7.304809570E-2,6.069877625E0
2.160432792E0,-5.342839508E0,2.194885712E0,5.385051727E0
2.180472792E0,-5.212011566E0,1.674867096E0,3.889811096E0
2.200512792E0,-6.868916016E0,1.444645844E0,6.209537201E0
2.220552792E0,-6.101761322E0,4.170028381E0,8.409811707E0
2.240592792E0,-6.675368500E0,4.052522736E0,8.064928894E0
2.260632792E0,-7.833809509E0,1.369202728E0,7.834108887E0
2.280672792E0,-8.220305786E0,1.639241180E0,8.777596893E0
2.300712792E0,-8.188422089E0,3.509601746E0,1.294403275E1
2.320752792E0,-9.048683167E0,2.097138977E0,8.888815613E0
2.340792792E0,-7.194189606E0,1.789229279E0,4.663701782E0
2.360832792E0,-7.493567047E0,1.680255890E0,4.113146667E0
2.380873792E0,-9.386829987E0,1.113235016E0,4.906646576E0
2.400913792E0,-8.948391724E0,-1.648072815E-1,5.515131226E0
2.420953793E0,-9.235045624E0,9.969268799E-2,4.759801941E0
2.440993792E0,-9.216184845E0,4.818479919E-1,4.448299713E0
2.461033792E0,-1.044632675E1,3.740721130E-1,4.497846680E0
2.481073792E0,-1.338741074E1,-1.057550812E0,5.089266815E0
2.501113792E0,-1.229767685E1,1.420545959E0,5.587281189E0
