"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.803468792E0,-8.456420898E-1,-3.479509354E1,-3.325198364E1
1.823508793E0,1.558532715E0,-3.482301712E1,-3.285662842E1
1.843548792E0,3.791488647E0,-3.545344162E1,-3.228408813E1
1.863588792E0,5.823715210E0,-3.568511581E1,-3.109774780E1
1.883628792E0,8.096786499E0,-3.532574081E1,-3.079885864E1
1.903668792E0,1.073474121E1,-3.556589890E1,-3.000012207E1
1.923708792E0,1.339160156E1,-3.625882339E1,-2.800595093E1
1.943748792E0,1.566740417E1,-3.702876663E1,-2.598083496E1
1.963788792E0,1.831068420E1,-3.732837296E1,-2.361557007E1
1.983828792E0,2.120046997E1,-3.822202682E1,-1.961743164E1
2.003868792E0,2.270889282E1,-3.926935959E1,-1.654534912E1
2.023908792E0,2.408117676E1,-3.932615280E1,-1.519036865E1
2.043948792E0,2.523088074E1,-3.925107193E1,-1.554138184E1
2.063988792E0,2.597195435E1,-3.898785782E1,-1.553591919E1
2.084028792E0,2.665220642E1,-3.858176804E1,-1.550332642E1
2.104068792E0,2.741228485E1,-3.838918686E1,-1.555816650E1
2.124108792E0,2.864542389E1,-3.772418594E1,-1.581536865E1
2.144148792E0,2.994425964E1,-3.676163101E1,-1.577941895E1
2.164188792E0,3.124988556E1,-3.571373367E1,-1.580105591E1
2.184228792E0,3.303617859E1,-3.504590988E1,-1.389868164E1
2.204268792E0,3.508346558E1,-3.468985367E1,-1.097857666E1
2.224308793E0,3.654630280E1,-3.378688431E1,-8.659790039E0
2.244348792E0,3.724559784E1,-3.376267624E1,-7.165771484E0
2.264388792E0,3.779242706E1,-3.402890396E1,-5.491760254E0
2.284428792E0,3.779627991E1,-3.439997482E1,-3.443115234E0
2.304468792E0,3.778249359E1,-3.467762375E1,-2.071380615E0
2.324508792E0,3.762405396E1,-3.489789200E1,-2.277801514E0
2.344548792E0,3.729775238E1,-3.514875412E1,-1.750305176E0
2.364588792E0,3.685514069E1,-3.592196274E1,-1.829223633E0
2.384629793E0,3.623557281E1,-3.648376846E1,-2.619445801E0
2.404669792E0,3.585417938E1,-3.691141891E1,-3.114410400E0
