"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
7.566499710E-2,3.211795994E1,1.189532936E2,2.227807808E1,-1.000000000E0,-1.000000000E0,7.367684503E1,7.367684503E1
3.806490898E-1,3.211809814E1,1.189531546E2,2.135353374E1,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.087408900E0,3.211808629E1,1.189532012E2,2.119537598E1,8.043411374E-1,2.832746450E2,4.180592261E1,4.180592261E1
2.087418795E0,3.211805712E1,1.189533138E2,2.110446221E1,8.043411374E-1,1.077342517E2,2.325212339E1,2.325212339E1
3.037425876E0,3.211803439E1,1.189533710E2,2.111017590E1,6.361322999E-1,1.089301873E2,1.540263130E1,1.540263130E1
3.987433434E0,3.211801945E1,1.189534218E2,2.107965792E1,6.361322999E-1,1.054844647E2,1.288457590E1,1.288457590E1
4.937440872E0,3.211798146E1,1.189534912E2,2.106621235E1,8.057652712E-1,1.263177977E2,1.147672017E1,1.147672017E1
5.887448311E0,3.211797679E1,1.189535284E2,2.107082449E1,9.535411000E-1,9.824371830E1,1.211033419E1,1.211033419E1
6.838292718E0,3.211796890E1,1.189535607E2,2.107700957E1,1.254622936E0,1.097076188E2,1.113448208E1,1.113448208E1
7.788303614E0,3.211796721E1,1.189535895E2,2.109688462E1,1.254622936E0,1.058580874E2,7.468382541E0,7.468382541E0
8.738078475E0,3.211796240E1,1.189536012E2,2.112691089E1,1.254622936E0,1.183364967E2,5.742943818E0,5.742943818E0
9.688096404E0,3.211795758E1,1.189536233E2,2.111656012E1,1.142184019E0,1.361444438E2,7.271078357E0,7.271078357E0
1.063749444E1,3.211795272E1,1.189536470E2,2.110646981E1,9.678175449E-1,1.346614955E2,5.351228342E0,5.351228342E0
1.158751011E1,3.211794338E1,1.189536559E2,2.107121153E1,9.678175449E-1,1.373990133E2,9.544036776E0,9.544036776E0
1.253726876E1,3.211793011E1,1.189536678E2,2.107163582E1,9.678175449E-1,1.433840460E2,5.085126587E0,5.085126587E0
1.348728645E1,3.211792345E1,1.189536736E2,2.107163590E1,9.678175449E-1,1.433840491E2,5.085126587E0,5.085126587E0
1.443808162E1,3.211790605E1,1.189536626E2,2.105389544E1,1.194620490E0,1.746501500E2,6.923959388E0,6.923959388E0
1.538810205E1,3.211790101E1,1.189536781E2,2.103837876E1,1.250951052E0,1.303425001E2,6.002063765E0,6.002063765E0
1.637228215E1,3.211789361E1,1.189536821E2,2.106353370E1,7.561256289E-1,1.520581062E2,5.351883645E0,5.351883645E0
1.737230158E1,3.211788795E1,1.189536873E2,2.107672419E1,7.667124867E-1,1.496073215E2,4.873999153E0,4.873999153E0
1.837230790E1,3.211788456E1,1.189536729E2,2.109400857E1,7.667124867E-1,1.486899731E2,5.815909771E0,5.815909771E0
1.937232256E1,3.211788169E1,1.189536588E2,2.108861988E1,7.919434905E-1,1.723983707E2,7.380037993E0,7.380037993E0
2.037232220E1,3.211787603E1,1.189536526E2,2.115192128E1,9.079053402E-1,1.810565360E2,5.497532987E0,5.497532987E0
2.137233186E1,3.211787679E1,1.189536507E2,2.118871025E1,6.078274846E-1,1.740736927E2,7.283674524E0,7.283674524E0
2.237232518E1,3.211787159E1,1.189536469E2,2.134146223E1,6.078274846E-1,1.845091069E2,8.713283782E0,8.713283782E0
2.337233126E1,3.211786726E1,1.189536296E2,2.142122441E1,6.078274846E-1,2.207772073E2,1.190032024E1,1.190032024E1
2.437264049E1,3.211786527E1,1.189536265E2,2.146011769E1,5.503345132E-1,2.012108928E2,1.109282069E1,1.109282069E1
2.537264085E1,3.211787590E1,1.189536317E2,2.147105925E1,3.105586469E-1,1.910209776E2,1.006106558E1,1.006106558E1
2.637263799E1,3.211787259E1,1.189536172E2,2.142207700E1,8.331912160E-1,2.345066991E2,9.093605339E0,9.093605339E0
2.737263107E1,3.211786426E1,1.189536061E2,2.154331097E1,8.331912160E-1,2.283890969E2,1.188551172E1,1.188551172E1
2.837262750E1,3.211785813E1,1.189535955E2,2.155851226E1,8.508014679E-1,2.294455451E2,1.001997558E1,1.001997558E1
2.937262404E1,3.211784718E1,1.189535878E2,2.150284258E1,1.032333970E0,2.286001360E2,1.238932373E1,1.238932373E1
3.037262225E1,3.211783230E1,1.189535804E2,2.152371705E1,1.027988911E0,2.220048409E2,9.644026632E0,9.644026632E0
3.137262094E1,3.211782596E1,1.189535742E2,2.155393379E1,1.027988911E0,2.225853366E2,4.821664919E0,4.821664919E0
3.237262237E1,3.211781705E1,1.189535748E2,2.159490157E1,1.013139486E0,1.933776873E2,4.855000479E0,4.855000479E0
3.337261856E1,3.211782590E1,1.189535556E2,2.143116116E1,9.859646795E-1,2.284402626E2,4.968283280E0,4.968283280E0
3.437261808E1,3.211781719E1,1.189535431E2,2.171722133E1,9.629573292E-1,2.332594345E2,4.960148053E0,4.960148053E0
3.537262034E1,3.211780524E1,1.189535343E2,2.127406935E1,9.951947783E-1,2.259846514E2,4.950251948E0,4.950251948E0
3.637262011E1,3.211779345E1,1.189535266E2,2.126744970E1,9.438186604E-1,2.262130255E2,4.939315345E0,4.939315345E0
3.737262130E1,3.211777699E1,1.189535134E2,2.117308147E1,1.148630117E0,2.192542707E2,4.932338776E0,4.932338776E0
3.837262321E1,3.211776598E1,1.189535057E2,2.127906179E1,1.204954469E0,2.290063884E2,4.876941820E0,4.876941820E0
3.937262547E1,3.211775930E1,1.189534952E2,2.135070387E1,1.131938024E0,2.321969099E2,4.856056495E0,4.856056495E0
4.037262797E1,3.211775102E1,1.189534818E2,2.139633300E1,1.168920236E0,2.380781909E2,4.848610783E0,4.848610783E0
4.137263000E1,3.211774100E1,1.189534764E2,2.063456332E1,1.068784704E0,2.331163694E2,4.844853139E0,4.844853139E0
4.237263179E1,3.211773180E1,1.189534617E2,2.124799013E1,1.268640529E0,2.372273127E2,4.852863870E0,4.852863870E0
4.337317705E1,3.211772400E1,1.189534529E2,2.090033748E1,1.164563019E0,2.380019101E2,4.846060456E0,4.846060456E0
4.437263894E1,3.211771764E1,1.189534505E2,2.035996392E1,8.190972376E-1,2.330809389E2,4.856796070E0,4.856796070E0
4.537264311E1,3.211770720E1,1.189534399E2,2.032590697E1,1.016259061E0,2.298940695E2,4.868969879E0,4.868969879E0
4.637264693E1,3.211770664E1,1.189534401E2,1.979275544E1,5.087827495E-1,2.321549096E2,4.883091771E0,4.883091771E0
4.737265062E1,3.211769814E1,1.189534316E2,1.981653805E1,7.101331130E-1,2.328376141E2,4.889462400E0,4.889462400E0
4.837265515E1,3.211768491E1,1.189534232E2,1.990524631E1,1.059561609E0,2.250625468E2,4.904504221E0,4.904504221E0
4.937265897E1,3.211767607E1,1.189534150E2,2.033308462E1,1.152182546E0,2.250148387E2,4.913637449E0,4.913637449E0
5.037266350E1,3.211766839E1,1.189534067E2,2.050733680E1,1.130463401E0,2.255437831E2,4.921150358E0,4.921150358E0
5.137267148E1,3.211766144E1,1.189533926E2,2.076947060E1,1.157698096E0,2.334520917E2,4.927444210E0,4.927444210E0
5.237267435E1,3.211765545E1,1.189533865E2,2.083496688E1,8.989876474E-1,2.346282049E2,4.939709790E0,4.939709790E0
5.337267947E1,3.211763947E1,1.189533773E2,2.031206561E1,1.082879842E0,2.236359676E2,4.949555311E0,4.949555311E0
5.437268507E1,3.211763090E1,1.189533675E2,2.023122146E1,1.128820661E0,2.237151951E2,4.960773515E0,4.960773515E0
5.537269187E1,3.211762148E1,1.189533634E2,2.027230618E1,1.055886869E0,2.163484880E2,4.967048550E0,4.967048550E0
5.637269568E1,3.211761747E1,1.189533511E2,1.996247919E1,8.680855568E-1,2.230367498E2,4.958994852E0,4.958994852E0
5.737270248E1,3.211760961E1,1.189533398E2,1.939457206E1,9.295929918E-1,2.208368306E2,4.956571721E0,4.956571721E0
5.837270641E1,3.211760408E1,1.189533265E2,1.975153686E1,1.016425895E0,2.251042197E2,4.961642291E0,4.961642291E0
5.937271249E1,3.211759711E1,1.189533162E2,2.002432355E1,9.756257335E-1,2.245727813E2,4.958109301E0,4.958109301E0
6.037271976E1,3.211759605E1,1.189533092E2,2.035425008E1,7.010286792E-1,2.271796674E2,4.960654506E0,4.960654506E0
6.137272418E1,3.211758679E1,1.189532959E2,2.048247687E1,9.355497477E-1,2.274843854E2,4.959700770E0,4.959700770E0
6.237273085E1,3.211758282E1,1.189532801E2,2.060200831E1,9.683552873E-1,2.286600727E2,4.945069172E0,4.945069172E0
6.337273836E1,3.211758385E1,1.189532510E2,2.047822156E1,1.201407536E0,2.377728648E2,4.912454866E0,4.912454866E0
6.437274313E1,3.211758214E1,1.189532358E2,1.996170570E1,1.148130723E0,2.422421090E2,4.909517565E0,4.909517565E0
6.537274992E1,3.211757539E1,1.189532310E2,2.022759648E1,9.690257215E-1,2.371046710E2,4.924483022E0,4.924483022E0
