"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.763388792E0,3.451821804E-1,2.160356343E-1,-1.766754389E0
1.783428792E0,3.425279260E-1,1.037789702E0,-1.608166695E0
1.803468792E0,4.496591985E-1,1.661227942E0,-1.644443870E0
1.823508793E0,4.280169010E-1,1.725033283E0,-1.530752182E0
1.843548792E0,3.380748034E-1,1.761336088E0,-1.063457012E0
1.863588792E0,-3.574502766E-1,1.914949417E0,-1.241079688E0
1.883628792E0,-8.756406605E-2,2.897085190E0,-1.583068132E0
1.903668792E0,1.135968566E0,2.086618423E0,-1.764483929E0
1.923708792E0,5.099773407E-1,1.124996781E0,-1.914606333E0
1.943748792E0,1.079734564E0,1.247327089E0,-2.884539843E0
1.963788792E0,2.460368395E0,2.753267765E0,-3.072139025E0
1.983828792E0,2.684149265E0,3.405107498E0,-2.135612965E0
2.003868792E0,1.955733061E0,2.138835907E0,-1.672809482E0
2.023908792E0,5.045639277E-1,2.246763855E-1,-1.710100055E0
2.043948792E0,5.405151844E-1,4.066019878E-2,-1.064651847E0
2.063988792E0,4.269243181E-1,2.322677672E-1,-5.470876098E-1
2.084028792E0,6.871861219E-1,6.147935390E-1,-3.585928977E-1
2.104068792E0,-2.268096954E-1,3.644160032E-1,-9.677799344E-1
2.124108792E0,-1.049271226E-1,4.779118001E-1,-1.039462209E0
2.144148792E0,-3.220896125E-1,9.305379987E-1,-1.351673841E0
2.164188792E0,-2.050531805E-1,2.091376781E0,-1.326617360E0
2.184228792E0,9.276345968E-1,3.487385035E0,-8.966443539E-1
2.204268792E0,6.775984168E-1,3.545130730E0,-1.202635884E0
2.224308793E0,-3.425452709E-1,2.916499138E0,-8.782396913E-1
2.244348792E0,-2.472464591E-1,2.746296644E0,-2.650222480E-1
2.264388792E0,3.016815484E-1,2.558473587E0,-1.356270909E-1
2.284428792E0,8.818697929E-1,1.658029079E0,2.131679207E-1
2.304468792E0,5.560207963E-1,2.090364844E-1,5.892733932E-1
2.324508792E0,4.701370299E-1,-3.625010550E-1,4.513757229E-1
2.344548792E0,3.657176793E-1,-6.591252983E-2,3.869506717E-1
2.364588792E0,5.102141760E-3,-1.715407073E-1,4.689821601E-1
2.384629793E0,-1.421902180E-1,-6.803665161E-1,5.701124072E-1
2.404669792E0,-1.329510808E-1,-8.040703535E-1,5.854492784E-1
2.424709792E0,1.432211995E-1,-5.467653871E-1,6.719144583E-1
2.444749792E0,3.648023307E-1,7.488293201E-2,7.856754065E-1
2.464789792E0,7.391629815E-1,3.558541834E-1,7.885513306E-1
2.484829792E0,1.462796211E0,3.539813161E-1,6.057612300E-1
2.504869792E0,1.434792161E0,5.358492732E-1,1.111338735E0
2.524909792E0,1.096212506E0,1.090258479E0,1.899979234E0
2.544949792E0,1.526091397E-1,1.257120609E0,2.847235441E0
2.564985917E0,-6.552248001E-1,8.230705261E-1,3.090570450E0
2.585025917E0,-3.794324994E-1,7.995107770E-1,2.469468117E0
2.605065917E0,-3.817609549E-1,1.433604836E0,1.582341075E0
2.625105917E0,-2.667189837E-1,2.679383516E0,4.868432581E-1
2.645145917E0,6.969489455E-1,3.344831705E0,-5.486563444E-1
2.665185917E0,9.737952948E-1,2.853217363E0,-1.304350138E0
2.685225917E0,6.843156815E-1,2.178060770E0,-1.853485942E0
2.705265917E0,3.806573153E-1,1.989299178E0,-2.026169777E0
2.725305917E0,2.006486505E-1,1.970824361E0,-2.179229975E0
2.745345918E0,6.125622392E-1,2.334028482E0,-2.075703621E0
2.765385917E0,1.031431913E0,2.147991896E0,-1.989840984E0
2.785425917E0,4.092458189E-1,1.353187680E0,-2.057679415E0
2.805465917E0,-2.827419758E0,-1.077355862E0,1.952454150E-1
2.825505917E0,-5.478805304E-1,1.398053318E-1,1.263689876E0
2.845545917E0,-2.149253845E0,-1.654253960E0,1.278306365E0
2.865585917E0,-1.655557275E0,-1.381702065E0,1.336090207E0
