"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.822784292E0,-1.075932587E1,-7.295079803E0,4.733157349E-1
1.842820291E0,-9.481732635E0,-4.955894165E0,-1.614093475E0
1.862859292E0,-1.052880524E1,-6.411916351E0,-6.233038330E-1
1.882898292E0,-1.068747528E1,-6.354884949E0,9.650431824E-1
1.902937291E0,-1.104104004E1,-4.521796875E0,1.255289612E0
1.922976292E0,-9.388027496E0,-4.519401855E0,1.521585846E0
1.943015291E0,-8.785380707E0,-6.680757294E0,2.889291687E0
1.963054292E0,-1.075049423E1,-6.533912659E0,4.866080933E0
1.983093292E0,-7.402556305E0,-5.740113373E0,2.847827911E0
2.003132291E0,-5.826633453E0,-7.419022064E0,-7.884104919E-1
2.023171292E0,-4.174968109E0,-6.863527222E0,-3.132386169E0
2.043210291E0,-4.244723053E0,-6.858288116E0,-1.419049072E0
2.063249292E0,-5.378166046E0,-6.852450256E0,1.107846222E0
2.083288291E0,-6.288123779E0,-6.995852051E0,1.066981201E0
2.103327291E0,-4.652325439E0,-5.697452087E0,-1.249601440E0
2.123366292E0,-2.362537079E0,-3.313659210E0,-3.208128662E0
2.143405291E0,-1.809886322E0,-3.603007507E0,-2.119891663E0
2.163444292E0,-5.444927216E0,-1.017179764E1,9.265731812E-1
2.183483291E0,-1.690584412E0,-1.434422104E1,-3.227288818E-1
2.203522292E0,2.637515259E0,-1.918425613E1,3.549269257E0
2.223561292E0,5.768105164E0,-1.251981491E1,2.968177643E0
2.243600291E0,-2.038610687E0,-7.484436035E0,-3.602708130E0
2.263639292E0,-2.557880859E0,-7.810907135E0,-4.975802765E0
2.283678291E0,-2.030377808E0,-8.933422852E0,-6.265969849E-1
2.303717292E0,-1.683099976E0,-7.050488434E0,-2.277962952E0
2.323756292E0,-1.165177002E0,-6.717431030E0,-2.734363861E0
2.343795291E0,-5.369334412E-1,-7.987390137E0,-2.418221283E0
2.363834292E0,-9.119036865E-1,-9.660311279E0,-3.371139679E0
2.383873291E0,-2.264341278E0,-9.483977966E0,-2.773133240E0
2.403912292E0,-1.720522156E0,-9.441316681E0,-2.675685883E0
2.423951291E0,-1.450483704E0,-1.143696671E1,-1.156644745E0
2.443990291E0,-3.027005310E0,-1.312201263E1,-1.329535217E0
2.464029292E0,-3.872596893E0,-1.148307083E1,-3.570075989E0
