"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.815269291E0,3.751937103E1,-1.962619781E0,-3.399578857E1
1.835308292E0,3.693414307E1,-1.559154510E0,-3.425830078E1
1.855344292E0,3.650563812E1,-2.872047424E-1,-3.487298584E1
1.875383291E0,3.672106934E1,1.049739838E0,-3.441378784E1
1.895422292E0,3.801553345E1,2.969200134E0,-3.257333374E1
1.915461292E0,3.980637360E1,5.004749298E0,-3.016571045E1
1.935500291E0,4.128606415E1,7.917648315E0,-2.773318481E1
1.955539292E0,4.240322876E1,1.125740433E1,-2.477966309E1
1.975578291E0,4.228627014E1,1.553162003E1,-2.303121948E1
1.995617292E0,4.108722687E1,1.791594696E1,-2.248446655E1
2.015656292E0,4.048127747E1,1.926853943E1,-2.276913452E1
2.035695291E0,3.999926758E1,1.987950134E1,-2.327847290E1
2.055734292E0,3.943453217E1,2.019123840E1,-2.339993286E1
2.075772292E0,3.860253143E1,2.131707382E1,-2.351208496E1
2.095812292E0,3.696830750E1,2.298229980E1,-2.413729858E1
2.115850291E0,3.484039307E1,2.512976456E1,-2.510571289E1
2.135889292E0,3.257396698E1,2.715143585E1,-2.676351929E1
2.155928291E0,3.019924164E1,2.903104782E1,-2.736782837E1
2.175967292E0,2.801345825E1,3.113592911E1,-2.717095947E1
2.196006292E0,2.588153076E1,3.313790131E1,-2.662188721E1
2.216045291E0,2.414202881E1,3.428833771E1,-2.594024658E1
2.236084292E0,2.332884216E1,3.508274078E1,-2.547448730E1
2.256123291E0,2.332846069E1,3.499220276E1,-2.493618774E1
2.276162292E0,2.428849792E1,3.482434082E1,-2.430099487E1
2.296201291E0,2.523292542E1,3.467874146E1,-2.432257080E1
2.316240291E0,2.661839294E1,3.382635498E1,-2.420736694E1
2.336279292E0,2.783662415E1,3.344078827E1,-2.367358398E1
2.356318291E0,2.870395660E1,3.297241592E1,-2.340243530E1
2.376357292E0,2.874508667E1,3.268321609E1,-2.314422607E1
2.396396291E0,2.859815216E1,3.296770477E1,-2.264288330E1
2.416435292E0,2.875141144E1,3.279312897E1,-2.208047485E1
2.436474292E0,2.868298340E1,3.296662140E1,-2.188562012E1
2.456513291E0,2.814725494E1,3.329677200E1,-2.188711548E1
2.476552292E0,2.794297791E1,3.304975891E1,-2.140066528E1
2.496591291E0,2.820227814E1,3.290395355E1,-2.126702881E1
2.516630292E0,2.782330322E1,3.324945068E1,-2.160733032E1
2.536669292E0,2.722424316E1,3.320294571E1,-2.159210205E1
2.556708291E0,2.650036621E1,3.375672150E1,-2.086181641E1
2.576747292E0,2.556234741E1,3.481790161E1,-2.079806519E1
2.596786291E0,2.466744995E1,3.565835953E1,-1.946862793E1
2.616825292E0,2.377554321E1,3.663937378E1,-1.760098267E1
2.636864292E0,2.301332092E1,3.738079071E1,-1.660870361E1
2.656903291E0,2.193495178E1,3.835775757E1,-1.642941284E1
2.676942292E0,2.105749512E1,3.822109985E1,-1.752444458E1
2.696981291E0,2.030273438E1,3.730679321E1,-1.929055786E1
2.717020292E0,1.994250488E1,3.562126541E1,-2.316625977E1
2.737059291E0,1.925065613E1,3.407027435E1,-2.521737671E1
