"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.795230292E0,-1.014558315E0,3.609901071E-1,3.462837636E-2
1.815269291E0,-8.119906783E-1,-8.929589987E-1,-4.349290729E-1
1.835308292E0,-4.901998639E-1,-7.852581739E-1,-9.933325648E-1
1.855344292E0,-2.734344900E-1,-2.405909300E-1,-1.623949051E0
1.875383291E0,2.330261469E-1,1.570115805E0,-2.556784153E0
1.895422292E0,1.063873887E0,2.957647324E0,-3.392258406E0
1.915461292E0,1.451686621E0,3.246524572E0,-4.001129150E0
1.935500291E0,8.746625781E-1,3.841022253E0,-4.511414528E0
1.955539292E0,-2.656309605E-1,3.167717934E0,-4.973099232E0
1.975578291E0,-8.459359407E-1,1.080716848E0,-3.938652515E0
1.995617292E0,-4.401600957E-1,-4.321208596E-1,-2.136030197E0
2.015656292E0,6.130969524E-1,-5.629622936E-1,-1.068283796E0
2.035695291E0,1.030539393E0,-2.403882146E-1,-8.753029108E-1
2.055734292E0,3.653505147E-1,-9.924712032E-2,-1.176931620E0
2.075772292E0,-2.429436892E-1,-8.462119699E-1,-2.079106808E0
2.095812292E0,-3.801765293E-2,-1.873692513E0,-2.969247818E0
2.115850291E0,3.336887956E-1,-1.824164510E0,-3.416663647E0
2.135889292E0,6.372655034E-1,-9.342748523E-1,-3.371116877E0
2.155928291E0,2.984181046E-1,-1.082990527E0,-3.319196463E0
2.175967292E0,-4.231615365E-1,-3.405918479E-1,-3.171755791E0
2.196006292E0,-1.225463748E0,-5.058318377E-1,-2.680816174E0
2.216045291E0,-1.945686340E0,-1.934434175E0,-3.727193177E-1
2.236084292E0,-1.136402845E0,-7.683570981E-1,2.843765616E-1
2.256123291E0,5.285155177E-1,1.495443702E0,-1.267954111E-1
2.276162292E0,1.164874315E0,2.270457029E0,-3.157517612E-1
2.296201291E0,1.364764690E0,2.687009811E0,-4.952935874E-2
2.316240291E0,1.379999399E0,2.671906471E0,1.755397767E-1
2.336279292E0,9.235867262E-1,1.480728984E0,2.341729403E-1
2.356318291E0,1.315595508E-1,1.135735884E-1,2.042283565E-1
2.376357292E0,-6.960134506E-1,-9.327167273E-2,2.651549876E-1
2.396396291E0,-1.021996260E0,-5.432672054E-2,2.895810306E-1
2.416435292E0,-1.245148063E0,-8.216727376E-1,3.552162945E-1
2.436474292E0,-1.464385390E0,-1.663868070E0,2.753688395E-1
2.456513291E0,-1.236038804E0,-8.000391722E-1,2.414190620E-1
2.476552292E0,-7.435902953E-1,-2.451000512E-1,5.147603154E-1
2.496591291E0,-2.997168303E-1,-9.052285552E-1,1.183143184E-1
2.516630292E0,-3.032017946E-1,-5.812191367E-1,-1.088908315E-1
2.536669292E0,-8.321281672E-1,-6.346587539E-1,-5.774433017E-1
2.556708291E0,-1.265064240E0,-8.977362514E-1,-8.856223822E-1
2.576747292E0,-1.609983444E0,-5.574145317E-1,-8.751026988E-1
2.596786291E0,-1.667518973E0,-4.522404075E-2,-1.146242738E0
2.616825292E0,-1.755096316E0,1.183169261E-1,-1.382696271E0
2.636864292E0,-1.281130075E0,-1.034928799E0,-1.091666341E0
2.656903291E0,3.264319897E-2,-2.175400734E0,-5.180535913E-1
2.676942292E0,1.847421050E0,-1.720420241E0,-3.401542082E-2
2.696981291E0,2.939060688E0,-1.498917222E0,9.109399468E-2
2.717020292E0,3.011977434E0,-1.273091078E0,-1.517328471E-1
2.737059291E0,2.514412403E0,-1.117903113E0,-2.808358520E-3
2.757098292E0,1.843439817E0,-1.051009059E0,3.100523055E-1
2.777137292E0,1.018470407E0,2.796664238E-1,5.528483987E-1
2.797176291E0,8.454143405E-1,1.536723256E0,1.033143878E0
2.817215292E0,6.403855681E-1,-4.446877241E-1,5.149001479E-1
2.837257084E0,2.573663369E-3,-1.284570217E0,-1.077211052E-1
2.857296083E0,-4.995086491E-1,-2.963364720E-1,-2.522538900E-1
2.877335083E0,-4.409600198E-1,6.464154720E-1,-4.366460145E-1
2.897374083E0,-2.304076552E-1,6.468454599E-1,-7.410573959E-1
2.917413083E0,-5.419568419E-1,9.635031223E-1,-7.818494439E-1
2.937452083E0,-6.168192625E-1,1.660980105E0,-3.881137371E-1
2.957491083E0,-4.006550610E-1,1.288670897E0,1.085264757E-1
2.977530084E0,-5.242531300E-1,3.727806211E-1,1.888872683E-1
2.997569083E0,-1.172370315E0,-1.011126339E-1,-6.567817647E-3
3.017608083E0,-1.900419712E0,-3.199776635E-2,8.473795652E-2
3.037647083E0,-2.279098034E0,1.436505318E-1,4.440039098E-1
3.057686083E0,-2.058968782E0,3.004989624E-1,5.752769709E-1
3.077725084E0,-1.460880876E0,1.318107247E-1,7.065510154E-1
3.097764083E0,-8.463671803E-1,2.891933918E-2,1.072200775E0
3.117803083E0,-1.764976382E-1,2.190064043E-1,1.198582768E0
3.137842083E0,6.019003391E-1,5.011890829E-2,6.074965000E-1
3.157881083E0,8.783363700E-1,-2.697186172E-2,-4.211425185E-1
3.177920084E0,4.650751352E-1,5.452591777E-1,-8.657884002E-1
3.197959083E0,9.244868997E-4,7.724703550E-1,-5.673497319E-1
3.217998083E0,-1.021395624E-1,5.438064337E-1,-1.625181437E-1
3.238037083E0,1.282467842E-1,5.246010423E-1,1.502415165E-2
3.258076083E0,2.873834670E-1,5.612185001E-1,-3.048122823E-1
3.278115083E0,4.835467339E-1,1.162894130E0,-6.006901264E-1
3.298154083E0,8.310303688E-1,1.795550466E0,-7.431309819E-1
3.318193084E0,9.491340518E-1,1.720983624E0,-7.913882732E-1
3.338232083E0,7.590644956E-1,1.382112384E0,-1.121905327E0
3.358271083E0,9.725561142E-1,1.901359320E0,-1.401023388E0
3.378310083E0,1.002404094E0,1.966868281E0,-1.518095851E0
3.398349083E0,4.790025949E-2,8.797476292E-1,-1.537548304E0
3.418388084E0,-7.809166908E-1,4.277540743E-1,-1.141196489E0
3.438427083E0,-1.003055453E0,5.272061825E-1,-1.830930412E-1
3.458466083E0,-7.806863189E-1,1.824037358E-2,4.663566053E-1
3.478505083E0,-5.180913806E-1,-1.928888112E-1,4.285958707E-1
3.498544083E0,-5.459514260E-1,-1.298452765E-1,4.317814410E-1
3.518583084E0,-7.165696025E-1,-1.339919418E-1,4.961903393E-1
3.538622083E0,-9.957041144E-1,-4.956072867E-1,8.536802530E-1
