"Time (s)","X (hPa)"
9.202132604E1,1.034727249E3
9.302205004E1,1.034730759E3
9.402247704E1,1.034737320E3
9.502306004E1,1.034737320E3
9.602363304E1,1.034734573E3
9.702421004E1,1.034727325E3
9.802478604E1,1.034720459E3
9.902536904E1,1.034712448E3
1.000259340E2,1.034705505E3
1.010265150E2,1.034703598E3
1.020270910E2,1.034703140E3
1.030276670E2,1.034703140E3
1.040282440E2,1.034706421E3
1.050288220E2,1.034709930E3
1.060294020E2,1.034716415E3
1.070299770E2,1.034716415E3
1.080305560E2,1.034712143E3
1.090311310E2,1.034706345E3
1.100317060E2,1.034702225E3
1.110322800E2,1.034695129E3
1.120328580E2,1.034692001E3
1.130334390E2,1.034692001E3
1.140340180E2,1.034692841E3
1.150345870E2,1.034692993E3
1.160351660E2,1.034693680E3
1.170357480E2,1.034693680E3
1.180363200E2,1.034687500E3
1.190368950E2,1.034679413E3
1.200374770E2,1.034669724E3
1.210380440E2,1.034658508E3
1.220386250E2,1.034650269E3
1.230391990E2,1.034644623E3
1.240397920E2,1.034639893E3
1.250403560E2,1.034638138E3
1.260409340E2,1.034635544E3
1.270415090E2,1.034630356E3
1.280420880E2,1.034627151E3
1.290426620E2,1.034621658E3
1.300432430E2,1.034615173E3
1.310438200E2,1.034607239E3
1.320443890E2,1.034600677E3
1.330449710E2,1.034597702E3
1.340455500E2,1.034597702E3
1.350461270E2,1.034602203E3
1.360466990E2,1.034606476E3
1.370472750E2,1.034606476E3
1.380478530E2,1.034601059E3
1.390484290E2,1.034590988E3
1.400490060E2,1.034576645E3
1.410495830E2,1.034561615E3
1.420501600E2,1.034554367E3
1.430507330E2,1.034552078E3
1.440513120E2,1.034548798E3
1.450518880E2,1.034545822E3
1.460524650E2,1.034542694E3
1.470530450E2,1.034538040E3
1.480536290E2,1.034532013E3
1.490541970E2,1.034525833E3
1.500547730E2,1.034518967E3
1.510553450E2,1.034512024E3
1.520559200E2,1.034502792E3
1.530565010E2,1.034492874E3
1.540570770E2,1.034486694E3
1.550576550E2,1.034481125E3
1.560583760E2,1.034476395E3
1.570588090E2,1.034469833E3
1.580593880E2,1.034463806E3
1.590599660E2,1.034452667E3
1.600605440E2,1.034439316E3
1.610611190E2,1.034430313E3
1.620616990E2,1.034422989E3
1.630622710E2,1.034418030E3
1.640628510E2,1.034411621E3
1.650634220E2,1.034408722E3
1.660640000E2,1.034400787E3
1.670645760E2,1.034395905E3
1.680651550E2,1.034388733E3
1.690657280E2,1.034382553E3
1.700663060E2,1.034377747E3
1.710668830E2,1.034373550E3
1.720674620E2,1.034367981E3
1.730680370E2,1.034361420E3
1.740686140E2,1.034356155E3
1.750691860E2,1.034347610E3
1.760697660E2,1.034342957E3
1.770703440E2,1.034339142E3
1.780709230E2,1.034335861E3
1.790714950E2,1.034333572E3
1.800720720E2,1.034329376E3
1.810726490E2,1.034319611E3
1.820736500E2,1.034309464E3
1.830738050E2,1.034295349E3
1.840743830E2,1.034285202E3
1.850749590E2,1.034278488E3
1.860755360E2,1.034274063E3
1.870761060E2,1.034272995E3
1.880766850E2,1.034272995E3
1.890772580E2,1.034272995E3
1.900778380E2,1.034273224E3
1.910784160E2,1.034272614E3
1.920789910E2,1.034270325E3
