"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
3.999110305E1,3.211732936E1,1.189513398E2,1.878286054E1,7.895889081E-1,5.967476620E1,7.635662040E0,7.635662040E0
4.099110532E1,3.211732268E1,1.189513481E2,1.899326863E1,7.336086095E-1,7.925387742E1,7.123515284E0,7.123515284E0
4.199110210E1,3.211732672E1,1.189513726E2,1.892806166E1,1.106296342E0,7.563376445E1,7.077434124E0,7.077434124E0
4.299110413E1,3.211732626E1,1.189513834E2,1.908900722E1,9.174679205E-1,7.341292728E1,6.825835285E0,6.825835285E0
4.399110460E1,3.211732721E1,1.189513956E2,1.886397344E1,8.639216515E-1,7.597010887E1,6.818491698E0,6.818491698E0
4.499110746E1,3.211732886E1,1.189514086E2,1.904904113E1,8.130687409E-1,7.408258726E1,6.778401410E0,6.778401410E0
4.599110961E1,3.211734526E1,1.189514272E2,1.915118449E1,1.149787050E0,5.885119001E1,6.482465692E0,6.482465692E0
4.699111676E1,3.211734874E1,1.189514422E2,1.926107515E1,1.270108885E0,5.813774290E1,6.241497655E0,6.241497655E0
4.799111784E1,3.211735117E1,1.189514500E2,1.857300558E1,9.533194859E-1,5.497570717E1,6.150962630E0,6.150962630E0
4.899112749E1,3.211734999E1,1.189514577E2,1.866091308E1,7.106173512E-1,6.266675399E1,6.173052567E0,6.173052567E0
4.999113011E1,3.211735292E1,1.189514704E2,1.923507152E1,9.065019946E-1,6.444316377E1,5.996298902E0,5.996298902E0
5.099113333E1,3.211734869E1,1.189514770E2,1.914062552E1,7.365168650E-1,7.142338161E1,5.872863852E0,5.872863852E0
5.199113977E1,3.211735294E1,1.189514992E2,1.941745908E1,1.292963123E0,7.021934519E1,5.798481363E0,5.798481363E0
5.299114585E1,3.211734837E1,1.189515005E2,1.909354756E1,8.816384478E-1,7.434633178E1,5.759985624E0,5.759985624E0
5.399115491E1,3.211735223E1,1.189515115E2,1.909878535E1,8.433024561E-1,6.903660678E1,5.780509827E0,5.780509827E0
5.499115920E1,3.211735028E1,1.189515279E2,1.923394125E1,8.371422921E-1,7.772920924E1,5.707335639E0,5.707335639E0
5.599116683E1,3.211733654E1,1.189515446E2,1.957903315E1,8.241179826E-1,8.538487851E1,5.537401337E0,5.537401337E0
5.699117625E1,3.211733225E1,1.189515637E2,1.938992099E1,1.010195509E0,8.929962683E1,5.511614708E0,5.511614708E0
5.799118280E1,3.211732313E1,1.189515747E2,1.922813338E1,9.284323085E-1,1.024116304E2,5.409889756E0,5.409889756E0
5.899119163E1,3.211731585E1,1.189515945E2,1.938501805E1,1.070508023E0,1.000497157E2,5.357869523E0,5.357869523E0
5.999119914E1,3.211731204E1,1.189516114E2,1.934623967E1,1.031129740E0,1.007113946E2,5.323457575E0,5.323457575E0
6.099120939E1,3.211730544E1,1.189516260E2,1.896051625E1,1.008158380E0,1.036639685E2,5.330986067E0,5.330986067E0
6.199121809E1,3.211729977E1,1.189516458E2,1.890801396E1,1.118816609E0,1.004303959E2,5.316839660E0,5.316839660E0
6.299122727E1,3.211729689E1,1.189516579E2,1.910722564E1,1.018168141E0,9.931757799E1,5.403287012E0,5.403287012E0
6.399123657E1,3.211729171E1,1.189516724E2,1.877540382E1,1.083363421E0,1.027828958E2,5.454040520E0,5.454040520E0
6.499124837E1,3.211728840E1,1.189516766E2,1.930626270E1,7.228496381E-1,1.047772822E2,5.526151094E0,5.526151094E0
6.599125588E1,3.211728288E1,1.189516880E2,1.950111178E1,6.451310289E-1,1.055099956E2,5.446939177E0,5.446939177E0
6.699126613E1,3.211728257E1,1.189516965E2,1.892940299E1,6.063983214E-1,1.021961614E2,5.450403211E0,5.450403211E0
6.799127686E1,3.211728698E1,1.189517301E2,1.962750840E1,1.266646222E0,9.253243711E1,5.317403455E0,5.317403455E0
6.899128592E1,3.211728921E1,1.189517377E2,1.944631079E1,1.005400037E0,8.855480549E1,5.399552969E0,5.399552969E0
6.999130070E1,3.211729187E1,1.189517452E2,1.928439203E1,8.439342657E-1,8.493737542E1,5.514519691E0,5.514519691E0
7.099130738E1,3.211729292E1,1.189517581E2,1.921671202E1,9.616220758E-1,8.577180449E1,5.682058123E0,5.682058123E0
7.199131799E1,3.211729771E1,1.189517636E2,1.897570161E1,8.027128153E-1,7.938609344E1,5.770006404E0,5.770006404E0
7.299132812E1,3.211730898E1,1.189517778E2,1.919726413E1,1.008519344E0,6.884176978E1,5.927889141E0,5.927889141E0
7.399133933E1,3.211732460E1,1.189517903E2,1.902843353E1,1.046980178E0,5.769375451E1,5.991301580E0,5.991301580E0
7.499135029E1,3.211733221E1,1.189517975E2,1.868487980E1,9.313860565E-1,5.360038762E1,6.199291878E0,6.199291878E0
7.599136209E1,3.211734179E1,1.189518044E2,1.854987798E1,9.137432650E-1,4.713598121E1,6.555963668E0,6.555963668E0
