"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.138354119E-2,-3.162483215E1,3.823043823E0,-3.915509033E1
6.142354105E-2,-3.176582336E1,3.919063568E0,-3.906600952E1
8.146354090E-2,-3.203421021E1,4.296890259E0,-3.909857178E1
1.015035417E-1,-3.206376648E1,4.233974457E0,-3.858969116E1
1.215425413E-1,-3.205830383E1,4.910060883E0,-3.895761108E1
1.415825412E-1,-3.237638855E1,4.913513184E0,-3.873797607E1
1.616225410E-1,-3.244273376E1,4.956487656E0,-3.884539795E1
1.816625409E-1,-3.248434448E1,5.097948074E0,-3.867462158E1
2.017025417E-1,-3.275097656E1,5.803936005E0,-3.833291626E1
2.217425415E-1,-3.274749756E1,6.427431107E0,-3.805316162E1
2.417815411E-1,-3.282385254E1,6.855234146E0,-3.782830811E1
2.618215410E-1,-3.291911316E1,6.896415710E0,-3.817706299E1
2.818615409E-1,-3.289602661E1,7.128959656E0,-3.821408081E1
3.019015417E-1,-3.279745483E1,7.487781525E0,-3.776470947E1
3.219415415E-1,-3.266238403E1,7.827438354E0,-3.786437988E1
3.419815414E-1,-3.276918030E1,8.642013550E0,-3.784524536E1
3.620205410E-1,-3.304188538E1,8.652755737E0,-3.754711914E1
3.820605408E-1,-3.297190857E1,8.884231567E0,-3.752005005E1
4.021005416E-1,-3.294128418E1,9.432231903E0,-3.742803955E1
4.221405415E-1,-3.268832397E1,9.371700287E0,-3.729690552E1
4.421805413E-1,-3.268649292E1,9.404640198E0,-3.764999390E1
4.622205412E-1,-3.265464783E1,9.572212219E0,-3.763446045E1
4.822595408E-1,-3.279995728E1,9.779579163E0,-3.732684326E1
5.022995416E-1,-3.253198242E1,9.914329529E0,-3.763500977E1
5.223395415E-1,-3.246405029E1,9.914054871E0,-3.719885254E1
5.423795413E-1,-3.256585693E1,1.025481033E1,-3.734555054E1
5.624195412E-1,-3.280078125E1,1.018733597E1,-3.732720947E1
5.824595410E-1,-3.286814880E1,1.015192032E1,-3.703082275E1
6.024985416E-1,-3.286138916E1,1.053424454E1,-3.731222534E1
6.225385414E-1,-3.273527527E1,1.084374237E1,-3.704855347E1
6.425785413E-1,-3.280068970E1,1.107477570E1,-3.741772461E1
6.626185412E-1,-3.290989685E1,1.115997696E1,-3.682519531E1
6.826585410E-1,-3.294215393E1,1.127762604E1,-3.728005981E1
7.026985409E-1,-3.294158936E1,1.135446167E1,-3.700585938E1
7.227370413E-1,-3.334066772E1,1.138363647E1,-3.674203491E1
7.427770412E-1,-3.315942383E1,1.094542313E1,-3.690008545E1
7.628170410E-1,-3.328120422E1,1.092320633E1,-3.677127075E1
7.828570409E-1,-3.321287537E1,1.086197662E1,-3.618826294E1
8.028970417E-1,-3.306430054E1,1.074419022E1,-3.613031006E1
8.229360413E-1,-3.339692688E1,1.080173874E1,-3.673312378E1
8.429760411E-1,-3.344645691E1,1.113097000E1,-3.638262939E1
8.630160410E-1,-3.341842651E1,1.148825073E1,-3.645202637E1
8.830560409E-1,-3.335877991E1,1.174554062E1,-3.620855713E1
9.030960416E-1,-3.344061279E1,1.150119019E1,-3.637973022E1
9.231360415E-1,-3.327795410E1,1.172142029E1,-3.577804565E1
9.431750411E-1,-3.328193665E1,1.167766571E1,-3.633505249E1
9.632150410E-1,-3.306941223E1,1.213591766E1,-3.638757324E1
9.832550408E-1,-3.309913635E1,1.197742462E1,-3.612469482E1
1.003295042E0,-3.266012573E1,1.264347839E1,-3.648959351E1
1.023335041E0,-3.244815063E1,1.345717239E1,-3.665069580E1
1.043375041E0,-3.216850281E1,1.414329147E1,-3.655374146E1
1.063414041E0,-3.213453674E1,1.418700409E1,-3.675067139E1
1.083454041E0,-3.255097961E1,1.410348511E1,-3.651553345E1
1.103494042E0,-3.253717041E1,1.365488434E1,-3.667785645E1
1.123534041E0,-3.218904114E1,1.333107758E1,-3.671313477E1
1.143574041E0,-3.195732117E1,1.351094818E1,-3.715921021E1
1.163614041E0,-3.122439575E1,1.373315048E1,-3.719042969E1
1.183653041E0,-3.122451782E1,1.442598724E1,-3.752999878E1
1.203693042E0,-3.130166626E1,1.487573242E1,-3.676434326E1
1.223733041E0,-3.107997131E1,1.566041183E1,-3.687652588E1
1.243773041E0,-3.069664001E1,1.673977661E1,-3.699160767E1
