"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.138354119E-2,-9.230464697E-2,-1.500137299E-1,8.648867160E-2
6.142354105E-2,-1.336441189E-1,-2.220440507E-1,5.687402934E-2
8.146354090E-2,-1.464238912E-1,-1.519204527E-1,5.991825461E-2
1.015035417E-1,-1.957740486E-1,-9.708657116E-2,6.812515110E-2
1.215425413E-1,-2.398028076E-1,-8.068697155E-2,6.740481406E-2
1.415825412E-1,-3.112160563E-1,-1.140463427E-1,8.155034482E-2
1.616225410E-1,-3.797608018E-1,-1.909355670E-1,7.784045488E-2
1.816625409E-1,-4.306780994E-1,-2.427184880E-1,7.549913973E-2
2.017025417E-1,-3.962147236E-1,-2.434610724E-1,6.180538982E-2
2.217425415E-1,-3.599400222E-1,-1.769631356E-1,8.219197392E-2
2.417815411E-1,-3.196813464E-1,-1.303223073E-1,1.256243587E-1
2.618215410E-1,-2.969581187E-1,-1.199398115E-1,1.614311486E-1
2.818615409E-1,-3.359742463E-1,-8.522896469E-2,1.812884659E-1
3.019015417E-1,-4.015747905E-1,-4.345970973E-2,1.434076130E-1
3.219415415E-1,-4.811286330E-1,9.538205341E-3,9.917359799E-2
3.419815414E-1,-5.414655805E-1,-7.199145854E-3,8.423994482E-2
3.620205410E-1,-5.151273608E-1,-7.514017820E-2,7.505285740E-2
3.820605408E-1,-3.885791898E-1,-9.900216013E-2,1.000678316E-1
4.021005416E-1,-1.905687153E-1,3.830222040E-2,1.953951269E-1
4.221405415E-1,4.421640188E-3,6.672182679E-2,2.595736086E-1
4.421805413E-1,1.703839451E-1,3.438643180E-3,3.033352494E-1
4.622205412E-1,2.570363283E-1,-3.295972943E-2,3.960352838E-1
4.822595408E-1,2.064502835E-1,5.887049250E-3,4.639797509E-1
5.022995416E-1,1.317723542E-1,3.682714328E-2,4.105501771E-1
5.223395415E-1,1.351033449E-1,-4.533417895E-2,2.784954906E-1
5.423795413E-1,1.445527524E-1,-1.632208675E-1,2.136758268E-1
5.624195412E-1,4.905878752E-2,-2.212901711E-1,2.154165506E-1
5.824595410E-1,-8.812028170E-2,-2.096855342E-1,2.321547568E-1
6.024985416E-1,-2.490552962E-1,-6.317931414E-2,1.990106553E-1
6.225385414E-1,-3.730598390E-1,1.249968633E-1,1.215633675E-1
6.425785413E-1,-3.751960993E-1,1.294539571E-1,4.747551307E-2
6.626185412E-1,-3.114466667E-1,-3.617647663E-2,-6.836886704E-2
6.826585410E-1,-1.689320952E-1,-3.234724402E-1,-2.297376469E-2
7.026985409E-1,3.137908131E-2,-3.005464971E-1,-4.824376665E-3
7.227370413E-1,2.233176678E-1,-1.689005047E-1,1.101622451E-2
7.427770412E-1,3.616763651E-1,-6.826408952E-2,3.781288490E-2
7.628170410E-1,3.588301241E-1,-3.228504583E-2,9.576469660E-2
7.828570409E-1,2.002693415E-1,1.844331995E-2,1.191800237E-1
8.028970417E-1,5.419593304E-2,-2.424096689E-2,1.962116808E-1
8.229360413E-1,-8.146788925E-2,2.111186832E-2,1.611394435E-1
8.429760411E-1,-1.043423936E-1,-7.760116365E-3,1.371324062E-1
8.630160410E-1,-6.419911981E-2,-1.375181675E-1,1.924552172E-1
8.830560409E-1,-2.206644230E-2,-2.368370146E-1,2.686896920E-1
9.030960416E-1,4.917452857E-2,-2.271637321E-1,2.525978088E-1
9.231360415E-1,1.395042241E-1,-1.255435050E-1,2.356018573E-1
9.431750411E-1,1.344579458E-1,2.390435338E-2,2.669065893E-1
9.632150410E-1,7.701896131E-2,1.044120789E-1,3.123092651E-1
9.832550408E-1,-1.425727010E-1,2.710566819E-1,2.947726250E-1
1.003295042E0,-5.966325402E-1,5.466822982E-1,3.041264117E-1
1.023335041E0,-9.044769406E-1,5.546928644E-1,2.944823503E-1
1.043375041E0,-6.265150309E-1,8.433012664E-2,8.867287636E-2
1.063414041E0,2.439196594E-2,-4.894413948E-1,-9.185393900E-2
1.083454041E0,5.729445815E-1,-3.233492970E-1,-1.439795196E-1
1.103494042E0,6.339081526E-1,2.045885324E-1,7.296262681E-2
1.123534041E0,4.147541821E-1,4.744531512E-1,3.469398022E-1
1.143574041E0,9.441658854E-2,4.071858227E-1,4.137666821E-1
1.163614041E0,-2.579910755E-1,1.865776777E-1,3.503639996E-1
1.183653041E0,-6.462243795E-1,-4.806542769E-2,2.885349095E-1
1.203693042E0,-9.828860760E-1,-9.688229859E-2,2.666569948E-1
