"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.564410041E0,1.567489559E0,1.009187760E0,2.218881515E0
1.584450041E0,2.200181827E0,4.812072102E-1,1.840122274E0
1.604490041E0,1.706485915E0,-5.698592952E-1,1.145453759E0
1.624529041E0,1.328284352E0,-7.558185504E-1,9.443908167E-1
1.644569041E0,4.829062283E-1,-1.287579106E0,4.558752447E-1
1.664609041E0,8.774803240E-2,-1.328659012E0,5.855518699E-2
1.684649041E0,5.003049840E-1,-7.914462201E-1,-1.753252530E-1
1.704689041E0,9.401677383E-1,-7.055553731E-1,-1.069555146E0
1.724729583E0,1.156950189E0,-7.258726202E-1,-1.606461105E0
1.744768583E0,8.573444136E-1,-7.241000368E-1,-1.057558998E0
1.764808583E0,2.838902137E-1,-9.266876404E-1,-2.824415660E-1
1.784848583E0,2.918036161E-1,-1.160990103E0,-2.470279044E-1
1.804888583E0,1.424881670E-1,-1.031761959E0,-4.532656324E-1
1.824928583E0,-3.194430390E-1,-2.587076446E-1,-1.039398131E0
1.844968583E0,-2.615221653E-1,2.820504604E-1,-1.455822796E0
1.865007583E0,1.626779448E-2,5.359822088E-1,-1.858612924E0
1.885047583E0,-2.657911261E-3,7.590900676E-1,-2.494022833E0
1.905087583E0,-1.683862343E-1,7.672307074E-1,-3.066029627E0
1.925127583E0,1.544680521E-1,9.777453813E-1,-2.941017326E0
1.945167582E0,7.136598332E-1,1.172589225E0,-2.060591540E0
1.965207583E0,7.111010917E-1,1.286805812E0,-1.215360146E0
1.985246583E0,2.861745198E-1,8.289830788E-1,-1.252104049E0
2.005286583E0,-1.983934689E-1,4.959914564E-1,-9.925531626E-1
2.025326583E0,1.156827397E-1,2.668128356E-1,-7.427133322E-2
2.045366582E0,1.025733919E-1,-9.178206302E-2,3.881674111E-1
2.065406583E0,-2.572040331E-1,-7.148241600E-1,5.717261285E-1
2.085445583E0,-3.093387580E-1,-5.756257097E-1,1.240103808E0
2.105485583E0,-2.164785415E-2,-3.068068405E-1,1.894666271E0
2.125525583E0,4.950118651E-1,1.680409379E-1,1.800745955E0
2.145565583E0,6.484622823E-1,-2.465968184E-2,1.590322790E0
2.165605583E0,5.061555252E-1,-2.006844811E-2,1.537242935E0
2.185645583E0,3.819983062E-1,-3.965891558E-1,1.844765548E0
2.205684583E0,2.515385196E-1,-4.502938216E-1,1.886045136E0
2.225724583E0,-2.347581619E-1,-6.248187004E-1,1.722106751E0
2.245764583E0,-4.243373735E-1,-6.852678736E-1,1.593946309E0
2.265804583E0,-5.643322877E-1,-2.976877057E-1,1.407701966E0
2.285844583E0,-3.188122706E-1,-3.345026160E-1,1.367883012E0
2.305884583E0,-7.075785828E-1,-1.023546475E0,7.712951070E-1
2.325923583E0,-5.021184248E-1,-1.122972092E0,6.267957902E-1
2.345963583E0,-8.881620175E-1,-1.152856772E0,3.148468351E-1
2.366003583E0,-9.388755036E-1,-8.344339263E-1,3.613000399E-1
2.386043583E0,-4.451839764E-1,-5.593618255E-2,-1.468861502E-1
2.406083583E0,-1.392742358E-1,4.106329253E-1,-7.432857746E-1
2.426123583E0,1.579132863E-1,6.842223184E-1,-1.477832885E0
2.446162583E0,4.366242739E-1,9.367162731E-1,-1.962715582E0
2.466202583E0,5.864817964E-1,1.141404416E0,-2.057824053E0
2.486242583E0,6.196380673E-1,1.116526121E0,-1.730271803E0
2.506282583E0,4.246674854E-1,7.183998786E-1,-1.443766422E0
2.526322583E0,1.756840893E-1,2.689131920E-1,-1.144035809E0
2.546362583E0,-2.049120180E-2,-1.355800746E-1,-6.437328351E-1
2.566401583E0,-1.119922239E-1,-2.791235087E-2,-1.843866831E-1
2.586441583E0,-7.849306860E-2,2.892557467E-1,3.302554178E-1
2.606481583E0,-1.158718697E-1,5.808734395E-1,4.819678599E-1
2.626521583E0,4.982795724E-2,6.576565173E-1,3.501809746E-1
2.646561583E0,2.252427138E-1,4.787970610E-1,2.730082530E-1
2.666601583E0,3.986194552E-1,2.252063879E-1,4.073877937E-1
2.686640583E0,6.046809262E-1,1.401183270E-1,6.659043074E-1
2.706680583E0,8.961011477E-1,-3.339438049E-1,8.766443914E-1
2.726720416E0,7.358906548E-1,-2.604923610E-1,7.836128515E-1
2.746760416E0,8.066468612E-1,3.200108036E-3,7.027464437E-1
2.766800417E0,1.122304340E0,2.647096287E-1,7.880222368E-1
2.786840416E0,1.046119651E0,-1.760239222E-1,1.202116787E0
2.806879416E0,8.249266461E-1,-5.993554284E-1,1.566420541E0
2.826919416E0,1.652747664E-1,-5.876608875E-1,1.323873943E0
2.846959416E0,-2.638155529E-1,-1.301421220E0,8.616246486E-1
2.866999417E0,1.991816736E-1,-1.309013537E0,6.038536549E-1
2.887039416E0,5.305447733E-1,-1.090036992E0,2.067171997E-1
2.907078416E0,6.420091490E-1,-1.294512442E0,-1.862519449E-1
2.927118416E0,2.995346584E-1,-1.266388358E0,-7.920895600E-1
2.947158416E0,4.150197623E-1,-9.059494668E-1,-1.164328571E0
2.967198417E0,8.721586999E-1,-2.998800827E-1,-9.758108300E-1
2.987238416E0,7.479378925E-1,7.015745156E-2,-1.108612207E0
3.007278416E0,7.119573433E-1,-2.209679606E-1,-1.092166913E0
3.027317416E0,2.049794072E-1,-3.401581892E-1,-1.069193788E0
3.047357416E0,9.659205571E-2,-1.829650788E-1,-8.582484663E-1
3.067397417E0,1.574585009E-1,-1.439077248E-1,-6.152849615E-1
3.087437416E0,1.198303342E-1,-2.460821903E-1,-6.478288096E-1
3.107477416E0,2.314572259E-1,-1.515931588E-1,-7.978502369E-1
3.127517416E0,5.509570377E-1,2.953180850E-1,-9.094326532E-1
3.147556417E0,6.637264388E-1,4.023947100E-1,-8.057381308E-1
3.167596417E0,5.827686683E-1,3.549104219E-1,-8.551927114E-1
3.187636416E0,6.006437162E-1,1.968832062E-1,-7.188333035E-1
3.207676416E0,6.888155255E-1,1.433911233E-1,-3.853396976E-1
3.227716416E0,5.955272929E-1,1.342528023E-1,1.172670794E-1
3.247756416E0,4.077695438E-1,-5.509436622E-2,5.362446392E-1
3.267795417E0,2.973170288E-1,-2.912717387E-2,8.478556252E-1
3.287835416E0,6.170259699E-1,3.209267700E-1,9.531932151E-1
3.307875416E0,9.670867842E-1,5.248827682E-1,1.101451122E0
3.327915416E0,9.254706886E-1,4.292901479E-1,1.513903774E0
3.347955416E0,3.079108314E-1,-2.041014478E-2,1.902226721E0
3.367994417E0,-4.268562444E-1,-8.212687741E-1,1.874834855E0
3.388034416E0,-8.829728329E-1,-1.343562395E0,1.795188176E0
3.408074416E0,-8.786257935E-1,-1.190920392E0,1.406945921E0
3.428114416E0,-4.938119799E-1,-1.121354167E0,3.128377318E-1
3.448154416E0,-4.842113269E-1,-1.132443704E0,-6.123917592E-1
3.468194416E0,-7.810639771E-1,-1.159742307E0,-9.092139673E-1
3.488233416E0,-7.809976112E-1,-8.209020075E-1,-8.586741436E-1
3.508273416E0,-6.077139866E-1,-5.590777239E-1,-7.794888103E-1
3.528313416E0,-6.567716874E-1,-6.029425125E-1,-9.466829252E-1
3.548353416E0,-6.212910752E-1,-5.155259076E-1,-1.166817146E0
3.568393417E0,-5.337775527E-1,-2.519237781E-1,-1.245392615E0
3.588433417E0,-4.665395063E-1,1.646732341E-1,-1.104808009E0
3.608472416E0,-2.729614022E-1,6.481913370E-1,-9.158926570E-1
3.628512416E0,-2.035463277E-1,8.881096119E-1,-9.455181599E-1
3.648552416E0,-5.893313639E-2,7.438414063E-1,-1.306436961E0
3.668592417E0,8.954031363E-2,5.392064001E-1,-1.485452392E0
3.688632417E0,6.958795102E-2,3.895964706E-1,-1.454653938E0
3.708671416E0,2.288284091E-2,3.610826696E-1,-1.091185750E0
3.728710708E0,7.325976491E-3,3.984626037E-1,-6.148078287E-1
3.748750708E0,-1.348835341E-1,4.358669499E-1,-3.523216403E-1
3.768790708E0,-2.623106258E-1,5.128161617E-1,-1.962769961E-1
3.788830708E0,-1.717232220E-1,7.058366972E-1,-2.691648781E-2
3.808870708E0,-3.777635334E-1,8.043323140E-1,4.785384679E-1
3.828909708E0,-4.649289273E-2,6.676039468E-1,1.321370750E0
3.848949708E0,-4.292884668E-1,4.009318829E-1,1.634728299E0
3.868989708E0,-8.611886656E-1,9.609884307E-2,1.626582543E0
3.889029708E0,-7.850190338E-1,3.187312867E-1,1.790968825E0
3.909069708E0,-2.561739729E-1,7.932840000E-1,1.537956880E0
3.929108708E0,4.412427703E-1,5.450724730E-1,1.389099049E0
3.949148708E0,7.025500504E-1,3.116416839E-1,1.595446705E0
3.969188708E0,4.988314125E-1,3.846628824E-1,1.672120659E0
3.989228708E0,2.540372724E-1,3.001098052E-1,1.073811334E0
4.009268708E0,7.988870944E-1,9.239331633E-2,1.033314103E-1
4.029308707E0,9.356520798E-1,-2.061671229E-1,-1.302987689E-1
4.049347708E0,5.800817265E-1,-7.451693089E-1,-1.076355457E-2
4.069387708E0,1.751298098E-1,-1.520446077E0,2.040865374E-1
4.089427708E0,4.375202866E-2,-1.883914119E0,2.750957090E-1
4.109467708E0,1.250407698E-1,-1.978724382E0,2.227613747E-1
4.129507708E0,3.992906425E-2,-1.391122624E0,-2.391692466E-1
4.149546708E0,8.081235755E-2,-4.088643618E-1,-8.657802647E-1
4.169586708E0,-2.293734975E-1,-5.189159770E-1,-1.570815309E0
4.189626708E0,4.999125993E-1,7.157211229E-2,-1.442191182E0
4.209666708E0,5.350685083E-1,1.040155345E-1,-1.192616231E0
4.229706708E0,2.318655078E-1,-1.623987403E-1,-1.495081587E0
4.249746708E0,-3.832192048E-2,-2.694292454E-1,-1.649058656E0
4.269785708E0,2.209096163E-1,-1.559433411E-1,-1.386361383E0
4.289825708E0,5.282304454E-1,1.209718752E-1,-8.920418644E-1
4.309865708E0,6.028993893E-1,1.332641843E-1,-5.995179445E-1
4.329905708E0,4.653967776E-1,-9.322201297E-2,-5.755461144E-1
4.349945708E0,2.571129261E-1,-1.888641885E-1,-4.906427890E-1
4.369984708E0,7.502397951E-2,-1.650204125E-1,-1.091382802E-1
4.390024708E0,-4.663264118E-2,-2.736102238E-2,5.195789051E-1
4.410064708E0,-2.228271924E-1,-1.807181400E-1,6.582976645E-1
4.430104708E0,-1.891978087E-1,-1.163318172E-1,6.186307383E-1
4.450144708E0,6.920355141E-2,2.788083985E-1,7.916159356E-1
4.470183708E0,4.258147091E-1,9.915768237E-1,1.174674050E0
4.490223708E0,4.361867195E-1,9.133327460E-1,1.553174844E0
4.510263707E0,2.347598612E-1,7.654287417E-1,2.165695242E0
4.530303708E0,-4.787472135E-1,2.440399772E-1,2.290338584E0
4.550343708E0,-1.175938802E0,-4.478373697E-1,2.037104445E0
4.570383708E0,-1.271953884E0,-9.229261266E-1,1.812846767E0
4.590422708E0,-1.329892190E0,-1.500106245E0,1.300814863E0
4.610462707E0,-1.389987241E0,-2.010939762E0,5.166973972E-1
4.630502708E0,-1.628639886E0,-2.218786937E0,-2.601385313E-1
4.650542708E0,-1.692081153E0,-1.879105076E0,-7.335834897E-1
4.670582708E0,-1.388226937E0,-1.211603310E0,-5.283725327E-1
4.690621708E0,-1.091642856E0,-5.381351902E-1,-2.205914730E-1
4.710661707E0,-8.277685390E-1,-9.298110768E-2,-4.587935901E-1
4.730702416E0,-6.412323464E-1,5.798537582E-2,-1.158850315E0
