"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.242733329E-2,7.360744035E-1,7.523697165E-1,-6.035086691E-2
4.236433329E-2,8.152755243E-1,9.030398923E-1,-1.523410177E-1
6.230233330E-2,1.140209391E0,8.509944105E-1,1.274195999E-1
8.223933331E-2,1.876594428E0,1.060057513E0,1.199702471E-1
1.021763333E-1,3.113423357E0,1.052704639E0,-9.522272551E-1
1.221143333E-1,4.784620740E0,1.411137205E0,-1.673629825E0
1.420513333E-1,3.250948407E0,-7.579967844E-1,-1.570154573E0
1.619893333E-1,4.681314473E-1,-9.553905988E-1,-1.976403329E0
1.819263333E-1,-1.017602488E0,-1.676135942E0,-1.872566135E0
2.018633334E-1,-3.587177633E-1,-1.313185818E0,-7.792332870E-1
2.218013332E-1,1.041050262E0,4.537872040E-1,-2.080780222E0
2.417383333E-1,2.201291044E0,5.914125341E-1,-2.462711577E0
2.616763333E-1,3.242272601E0,-1.807069718E0,-1.635234668E0
2.816133333E-1,3.051264238E0,-2.808683141E0,-1.275226863E0
3.015503333E-1,1.893211776E0,-2.502765589E0,1.253871077E-1
3.214895834E-1,4.701342648E0,-3.569333977E0,1.415561208E0
3.414265834E-1,4.836066590E0,-3.519800459E0,1.350781075E0
3.613645833E-1,1.080769959E0,-4.568198624E0,2.693636835E-2
3.813015833E-1,-1.755615536E0,-5.631431760E0,-3.653463131E-1
4.012385833E-1,-3.111857472E-1,-5.361764606E0,-1.563153702E-1
4.211765833E-1,2.973741853E-1,-4.012334822E0,8.909449267E-1
4.411135833E-1,9.423694342E-2,-4.300979699E0,1.775804071E0
4.610515833E-1,-1.236686110E0,-3.950493500E0,1.958821337E0
4.809885833E-1,-2.372120373E0,-1.923842123E0,1.977239481E0
5.009255833E-1,-3.655236592E0,-3.479023147E-1,8.526459566E-1
5.208635833E-1,-4.592279505E0,-5.872703665E-1,2.057800080E0
5.408005833E-1,-3.726227052E0,-8.415418017E-1,4.406660521E0
5.607385833E-1,-2.532467106E0,1.651953027E0,5.598908962E0
5.806755833E-1,-1.089777156E0,3.582422969E0,6.024162338E0
6.006135833E-1,-1.683467181E0,4.051217052E0,4.820455109E0
6.205505833E-1,-3.750566672E0,3.519121013E0,3.592050995E0
6.404875834E-1,-3.915546446E0,2.913092778E0,2.613257500E0
6.604255832E-1,-2.740444381E0,3.188181471E0,8.190522408E-1
6.803625833E-1,-2.247864994E0,2.934752035E0,-1.406008612E0
7.003005833E-1,-2.703910977E0,3.055375416E0,-4.296462725E0
