"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.228333339E-3,2.991529083E0,5.435197449E0,8.461753693E0
2.616533334E-2,3.155438232E0,5.634882202E0,8.033194885E0
4.610333336E-2,3.177143097E0,5.874833221E0,7.988587646E0
6.604033324E-2,3.544179840E0,5.970035248E0,8.362210693E0
8.597733325E-2,4.283941498E0,6.175707550E0,7.867788849E0
1.059153333E-1,5.093458099E0,6.589896240E0,6.728807373E0
1.258523333E-1,6.298302612E0,6.494993591E0,6.302793274E0
1.457903333E-1,3.642525330E0,4.970863037E0,6.039790192E0
1.657273333E-1,1.053958282E0,4.829856262E0,5.505401459E0
1.856643333E-1,1.286275177E0,4.227808228E0,5.370232544E0
2.056023333E-1,2.422562256E0,5.524561615E0,6.615043945E0
2.255393333E-1,3.877237244E0,7.006479950E0,4.688400421E0
2.454773333E-1,4.697681122E0,6.196065216E0,5.196144562E0
2.654143333E-1,4.868475952E0,3.660487976E0,6.056705017E0
2.853513333E-1,4.109105072E0,3.282224579E0,6.781946869E0
3.052905833E-1,3.287014618E0,3.073558502E0,8.416847076E0
3.252275833E-1,6.408473511E0,2.514321442E0,9.509275360E0
3.451655833E-1,5.194497986E0,2.700085144E0,7.948620758E0
3.651025833E-1,1.583107910E0,1.929637299E0,6.823710022E0
3.850395833E-1,3.122506714E-1,1.303339691E0,6.135441284E0
4.049775833E-1,2.576741638E0,2.339185638E0,6.211782532E0
4.249145833E-1,3.393892365E0,3.226989441E0,7.079528046E0
4.448525833E-1,3.339106293E0,3.117267609E0,7.192243652E0
4.647895833E-1,2.339185638E0,3.675606537E0,7.063211975E0
4.847265834E-1,1.296753387E0,6.389762421E0,6.204597473E0
5.046645832E-1,6.423143005E-1,7.093000031E0,5.511239319E0
5.246015833E-1,4.460723877E-1,6.423592072E0,7.172784119E0
5.445395833E-1,1.846110992E0,6.895261230E0,9.409582672E0
5.644765833E-1,3.841611328E0,9.082512817E0,1.007060806E1
5.844135833E-1,4.844376068E0,1.047611481E1,1.001387604E1
6.043515833E-1,3.861220551E0,1.032867142E1,8.523126068E0
6.242885833E-1,2.359842682E0,9.485774231E0,7.299570465E0
6.442265833E-1,2.958896942E0,9.207652588E0,6.082301788E0
6.641635833E-1,4.275708618E0,9.085656281E0,3.767515411E0
6.841015833E-1,4.684209137E0,8.808432770E0,1.208736420E0
7.040385833E-1,4.258045349E0,8.828940125E0,-2.087858276E0
7.239755833E-1,3.976780243E0,9.044042816E0,-5.458548889E0
