"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.242733329E-2,2.392996216E1,-2.911769485E1,-3.294501495E1
4.236433329E-2,2.430410767E1,-2.930937004E1,-3.234086990E1
6.230233330E-2,2.468382263E1,-2.959850311E1,-3.201360321E1
8.223933331E-2,2.565319824E1,-2.998390961E1,-3.120041275E1
1.021763333E-1,2.706057739E1,-2.990292740E1,-2.950877762E1
1.221143333E-1,2.831089783E1,-2.974491310E1,-2.881378174E1
1.420513333E-1,2.861177063E1,-2.942736244E1,-2.841473007E1
1.619893333E-1,2.917993164E1,-2.882287407E1,-2.878051758E1
1.819263333E-1,2.858648682E1,-2.865900421E1,-2.994295120E1
2.018633334E-1,2.617887878E1,-2.869771194E1,-3.140892029E1
2.218013332E-1,2.513412476E1,-2.889905548E1,-3.232808304E1
2.417383333E-1,2.529866028E1,-2.848428726E1,-3.231943512E1
2.616763333E-1,2.709266663E1,-2.775137329E1,-3.217370987E1
2.816133333E-1,2.934118652E1,-2.677560806E1,-3.098248291E1
3.015503333E-1,3.084762573E1,-2.608122635E1,-3.013271713E1
3.214895834E-1,3.094651794E1,-2.628851509E1,-2.965461349E1
3.414265834E-1,3.042370605E1,-2.724346733E1,-2.920453262E1
3.613645833E-1,2.916572571E1,-2.819922256E1,-2.972879028E1
3.813015833E-1,2.760894775E1,-2.929806709E1,-2.994517136E1
4.012385833E-1,2.560417175E1,-3.083945847E1,-2.982270050E1
4.211765833E-1,2.317741394E1,-3.253303528E1,-3.041159439E1
4.411135833E-1,2.047579956E1,-3.364284897E1,-3.092283249E1
4.610515833E-1,1.765000916E1,-3.486745071E1,-3.090567017E1
4.809885833E-1,1.544021606E1,-3.597729492E1,-3.100844193E1
5.009255833E-1,1.326954651E1,-3.665459061E1,-3.141984558E1
5.208635833E-1,1.177565002E1,-3.665426254E1,-3.152442551E1
5.408005833E-1,9.521850586E0,-3.623128128E1,-3.270105362E1
5.607385833E-1,7.028747559E0,-3.591220474E1,-3.372887802E1
5.806755833E-1,4.630767822E0,-3.563440704E1,-3.452603912E1
6.006135833E-1,2.824783325E0,-3.536383057E1,-3.499357605E1
6.205505833E-1,1.772422791E0,-3.530237961E1,-3.536051178E1
6.404875834E-1,5.354614258E-1,-3.548411560E1,-3.560618210E1
6.604255832E-1,-8.046569824E-1,-3.621280670E1,-3.448143005E1
6.803625833E-1,-2.299865723E0,-3.794581985E1,-3.319735718E1
7.003005833E-1,-3.805397034E0,-3.959361649E1,-3.110621262E1
7.202375833E-1,-5.125396729E0,-4.123347092E1,-2.883352280E1
7.401755833E-1,-6.663314819E0,-4.154681396E1,-2.752860260E1
7.601125833E-1,-7.919258118E0,-4.090003586E1,-2.689682770E1
7.800495833E-1,-8.571083069E0,-4.017386627E1,-2.704941177E1
7.999875833E-1,-8.943344116E0,-3.907713318E1,-2.681258011E1
8.199245833E-1,-9.657974243E0,-3.817506027E1,-2.680208206E1
8.398625833E-1,-1.196024323E1,-3.679300690E1,-2.779725647E1
8.597995833E-1,-1.331240845E1,-3.605770493E1,-2.898091507E1
8.797365833E-1,-1.394639587E1,-3.588717270E1,-2.993862915E1
8.996745833E-1,-1.451619720E1,-3.499068832E1,-3.056219864E1
9.196115833E-1,-1.496385956E1,-3.450134277E1,-3.056357574E1
9.395495832E-1,-1.595275116E1,-3.349795914E1,-3.091652298E1
9.594865832E-1,-1.952807617E1,-3.299653625E1,-3.233334732E1
9.794245833E-1,-3.891550446E1,-3.228487396E1,-3.158713913E1
9.993615833E-1,-3.630831909E1,-2.829037476E1,-1.009046555E1
1.019299583E0,-3.007021332E1,-3.294077301E1,-1.269168854E1
1.039236583E0,-3.148499298E1,-3.465385056E1,-1.459939194E1
1.059173583E0,-3.265677643E1,-3.472567368E1,-1.485895538E1
1.079111583E0,-3.341006470E1,-3.482522583E1,-1.434261322E1
1.099048583E0,-3.392946625E1,-3.498989487E1,-1.349467468E1
1.118986583E0,-3.413076019E1,-3.547444916E1,-1.229975891E1
1.138923583E0,-3.387732697E1,-3.663422012E1,-1.044470596E1
1.158861583E0,-3.337091827E1,-3.787561798E1,-8.521591187E0
1.178798583E0,-3.292649078E1,-3.865323639E1,-7.803520203E0
1.198735583E0,-3.237103271E1,-3.916907501E1,-7.518714905E0
1.218673583E0,-3.119873047E1,-3.973355484E1,-7.983493805E0
1.238610583E0,-3.005723572E1,-4.029812241E1,-9.199523926E0
1.258548583E0,-2.903887939E1,-4.075516891E1,-1.084674072E1
1.278485583E0,-2.861328888E1,-4.064789200E1,-1.198817062E1
1.298423583E0,-2.869423676E1,-4.054103470E1,-1.189028549E1
1.318359833E0,-2.896501160E1,-4.066899490E1,-1.104484940E1
1.338297833E0,-2.879582977E1,-4.095708847E1,-1.052203369E1
1.358234833E0,-2.917993164E1,-4.079875946E1,-1.058231354E1
1.378172833E0,-2.950636292E1,-4.005708694E1,-1.122858810E1
1.398109833E0,-2.966534424E1,-3.930501938E1,-1.424212646E1
1.418046833E0,-2.836033630E1,-3.911624908E1,-1.779859161E1
1.437984833E0,-2.666290283E1,-3.906093597E1,-2.001828766E1
1.457921833E0,-2.717341614E1,-3.902211761E1,-2.012076569E1
1.477859833E0,-2.735843658E1,-3.904018784E1,-2.001451874E1
1.497796833E0,-2.747104645E1,-3.900177765E1,-1.968972397E1
1.517734833E0,-2.783737946E1,-3.882169342E1,-1.935988235E1
1.537671833E0,-2.794983673E1,-3.877526474E1,-1.944419098E1
1.557609833E0,-2.787678528E1,-3.858446503E1,-1.940012360E1
1.577546833E0,-2.764019012E1,-3.855903244E1,-1.978810120E1
1.597484833E0,-2.731086731E1,-3.837496948E1,-2.036909485E1
1.617421833E0,-2.625485229E1,-3.840795898E1,-2.113043594E1
1.637358833E0,-2.498718262E1,-3.835684967E1,-2.248105621E1
1.657296833E0,-2.373009491E1,-3.827743912E1,-2.447186661E1
1.677233833E0,-2.254357910E1,-3.820325470E1,-2.516731644E1
1.697171833E0,-2.248225403E1,-3.806745529E1,-2.541575623E1
1.717108833E0,-2.264801788E1,-3.768149185E1,-2.537984848E1
1.737046833E0,-2.311974335E1,-3.780744171E1,-2.501459122E1
1.756983833E0,-2.414197540E1,-3.766229630E1,-2.417029572E1
1.776921833E0,-2.554508209E1,-3.764023972E1,-2.258041763E1
1.796858833E0,-2.628977966E1,-3.776232147E1,-2.168539429E1
1.816796833E0,-2.661962891E1,-3.779507828E1,-2.094528198E1
