"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.244279232E-2,-6.988966370E-1,2.271376648E0,9.434580688E0
5.248479173E-2,-8.415499878E-1,2.597847748E0,9.272767181E0
7.252579182E-2,-8.768765259E-1,2.450404358E0,9.154064026E0
9.256300051E-2,-7.330256653E-1,2.562221832E0,9.246721344E0
1.126049999E-1,-3.362008667E-1,2.464924164E0,9.281299438E0
1.326460000E-1,-1.725910950E-1,2.390528870E0,9.084907837E0
1.526870001E-1,-5.041516113E-1,2.185305634E0,8.648565216E0
1.727280002E-1,8.187973022E-2,1.967059479E0,8.345295868E0
1.927700005E-1,2.332150269E-1,8.006849670E-1,7.324718170E0
2.128110006E-1,2.685415649E-1,6.756948853E-1,7.254364471E0
2.328519998E-1,1.257684631E0,1.743274841E0,7.018305359E0
2.528940002E-1,7.505392456E-1,2.386038208E0,8.848848724E0
2.729350002E-1,1.739832001E0,3.233426056E0,7.735913086E0
2.929760003E-1,1.376986542E0,2.137854309E0,9.625284119E0
3.130180007E-1,4.309538269E-1,1.775308228E0,1.134535721E1
3.330589999E-1,3.050656128E-1,2.627186737E0,1.033031799E1
3.530999999E-1,-1.773811340E-1,3.261717224E0,8.869805145E0
3.731420003E-1,3.305126953E-1,3.056493988E0,8.860075378E0
3.931830004E-1,-4.549040222E-1,2.827021179E0,9.455088043E0
4.132240005E-1,-2.306852875E0,2.221829681E0,9.322314148E0
4.332659999E-1,-2.730471954E0,1.899699554E0,1.035157379E1
4.533070000E-1,-2.639910278E0,2.067650299E0,1.059377014E1
4.733480001E-1,-1.611249390E0,1.853296051E0,9.521998901E0
4.933900004E-1,-5.236111450E-1,1.852697296E0,8.492589569E0
5.134310005E-1,2.975811768E-1,1.586999817E0,8.066425781E0
5.334720006E-1,8.801696777E-1,1.423689423E0,7.441625061E0
5.535140000E-1,4.269122314E-1,8.716374207E-1,7.138505402E0
5.735550001E-1,-1.564247131E-1,1.052311707E-1,7.385342102E0
5.935960002E-1,-1.046024780E0,-1.098864899E0,7.523355103E0
6.136380006E-1,-1.081800385E0,-8.541238403E-1,7.726033630E0
6.336790007E-1,-1.360371094E0,-8.128097534E-1,7.580835571E0
6.537199998E-1,-8.720864868E-1,-4.490661621E-1,7.713759155E0
6.737620002E-1,-2.276765442E-1,-5.242098999E-1,7.882608032E0
6.938030003E-1,-4.909790039E-1,-7.394622803E-2,8.290060730E0
7.138440004E-1,-1.317111053E0,8.681945801E-2,9.231602783E0
