"Time (s)","X (hPa)"
-5.421703747E-1,1.033997040E3
4.584066253E-1,1.034007111E3
1.458984625E0,1.034017181E3
2.459562625E0,1.034053421E3
3.460139625E0,1.034100647E3
4.460715625E0,1.034171295E3
5.011665625E0,1.034216995E3
6.012243625E0,1.034222870E3
7.012820625E0,1.034253464E3
8.013396625E0,1.034271851E3
9.013975625E0,1.034273758E3
1.001455162E1,1.034276199E3
1.101512763E1,1.034277878E3
1.201570463E1,1.034281464E3
1.301627862E1,1.034282455E3
1.401685662E1,1.034284897E3
1.501743462E1,1.034285889E3
1.601801162E1,1.034285889E3
1.701858663E1,1.034285126E3
1.801916363E1,1.034282455E3
1.901974363E1,1.034277420E3
2.002031862E1,1.034277420E3
2.102089063E1,1.034282379E3
2.202147263E1,1.034286423E3
2.302204463E1,1.034295197E3
2.402262263E1,1.034308472E3
2.502320363E1,1.034320221E3
2.602378063E1,1.034326706E3
2.702435562E1,1.034334259E3
2.802492763E1,1.034339523E3
2.902550763E1,1.034342575E3
3.002608463E1,1.034342575E3
3.102665363E1,1.034340668E3
3.202723662E1,1.034336624E3
3.302781362E1,1.034334030E3
3.402839062E1,1.034333038E3
3.502922862E1,1.034333038E3
3.602954063E1,1.034336777E3
3.703011763E1,1.034342880E3
3.803069662E1,1.034352036E3
3.903126962E1,1.034364471E3
4.003184662E1,1.034370804E3
4.103242563E1,1.034372559E3
4.203300162E1,1.034372559E3
4.303357862E1,1.034365540E3
4.403415363E1,1.034356232E3
4.503473162E1,1.034347458E3
4.603530562E1,1.034347000E3
4.703588662E1,1.034347000E3
4.803645763E1,1.034349518E3
4.903703362E1,1.034352798E3
5.003761362E1,1.034359436E3
5.103819062E1,1.034368591E3
5.203876762E1,1.034377670E3
5.303934162E1,1.034390488E3
5.404020062E1,1.034398117E3
5.504049363E1,1.034398117E3
5.604106962E1,1.034395523E3
5.704164763E1,1.034391708E3
5.804222362E1,1.034383698E3
5.904279562E1,1.034377213E3
6.004336862E1,1.034371567E3
6.104394863E1,1.034365311E3
6.204452062E1,1.034361420E3
6.304510263E1,1.034358673E3
6.404567062E1,1.034358063E3
6.504624963E1,1.034357758E3
6.604682362E1,1.034354095E3
6.704739762E1,1.034347534E3
6.804797562E1,1.034345703E3
6.904855363E1,1.034341049E3
7.004913063E1,1.034341049E3
7.104971263E1,1.034342728E3
7.205028463E1,1.034347763E3
7.305086062E1,1.034347916E3
7.405143462E1,1.034347916E3
7.505200762E1,1.034346619E3
7.605258663E1,1.034343262E3
7.705316162E1,1.034335175E3
7.805373663E1,1.034334259E3
7.905431162E1,1.034332733E3
8.005532662E1,1.034332733E3
8.105546363E1,1.034334488E3
8.205604163E1,1.034338303E3
8.305661662E1,1.034339752E3
8.405719362E1,1.034338303E3
8.505776762E1,1.034337082E3
8.605834663E1,1.034332428E3
8.705892162E1,1.034322815E3
8.805950562E1,1.034322815E3
8.906007663E1,1.034324493E3
9.006065162E1,1.034326096E3
9.106122862E1,1.034330750E3
9.206180562E1,1.034334030E3
9.306238563E1,1.034334030E3
9.406295762E1,1.034330673E3
9.506353462E1,1.034322281E3
9.606411162E1,1.034317245E3
9.706468362E1,1.034311829E3
9.806526562E1,1.034306641E3
9.906584063E1,1.034302139E3
1.000664196E2,1.034297256E3
1.010669936E2,1.034293137E3
1.020675686E2,1.034291229E3
1.030681446E2,1.034286346E3
1.040687216E2,1.034285889E3
1.050692936E2,1.034285889E3
1.060698746E2,1.034287109E3
1.070704516E2,1.034294510E3
1.080710256E2,1.034301224E3
1.090716036E2,1.034309921E3
1.100721766E2,1.034311905E3
1.110727586E2,1.034311905E3
1.120733286E2,1.034310837E3
1.130739056E2,1.034307175E3
1.140744796E2,1.034304886E3
1.150750606E2,1.034304886E3
1.160756316E2,1.034304886E3
1.170762086E2,1.034304581E3
1.180767816E2,1.034304581E3
1.190773616E2,1.034305191E3
1.200779366E2,1.034306717E3
1.210785116E2,1.034307022E3
1.220790886E2,1.034309998E3
1.230798566E2,1.034315262E3
1.240802386E2,1.034317017E3
1.250808186E2,1.034317017E3
1.260813946E2,1.034316940E3
1.270819706E2,1.034314880E3
1.280825456E2,1.034312668E3
1.290831186E2,1.034308319E3
1.300836956E2,1.034308319E3
1.310842716E2,1.034308472E3
1.320848496E2,1.034310379E3
