"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.079504097E1,3.211734410E1,1.189514822E2,1.832333713E1,1.118930836E0,9.237818164E1,4.801500689E0,4.801500689E0
4.179505682E1,3.211734533E1,1.189514999E2,1.849716842E1,9.735693655E-1,7.057044763E1,4.800564223E0,4.800564223E0
4.279507124E1,3.211734000E1,1.189515197E2,1.856370471E1,1.077131888E0,9.503603122E1,4.796603248E0,4.796603248E0
4.379508591E1,3.211733969E1,1.189515334E2,1.851503294E1,1.021856918E0,9.692281524E1,4.813285471E0,4.813285471E0
4.479510152E1,3.211733080E1,1.189515525E2,1.836325342E1,1.117228500E0,9.445413464E1,4.801971194E0,4.801971194E0
4.579511523E1,3.211732540E1,1.189515669E2,1.815602336E1,1.169100716E0,1.025887709E2,4.804328762E0,4.804328762E0
4.679512978E1,3.211732115E1,1.189515767E2,1.829103390E1,1.093410775E0,9.515643517E1,4.805934039E0,4.805934039E0
4.779514372E1,3.211733593E1,1.189515876E2,1.859529845E1,8.996401272E-1,8.750486161E1,4.806995772E0,4.806995772E0
4.879515803E1,3.211734231E1,1.189516019E2,1.886133332E1,1.129715781E0,1.005122480E2,4.817408334E0,4.817408334E0
4.979517210E1,3.211734196E1,1.189516018E2,1.869075863E1,9.187544133E-1,1.270858290E2,4.810487909E0,4.810487909E0
5.079518592E1,3.211733607E1,1.189516094E2,1.852153774E1,1.049942874E0,1.125932587E2,4.752818807E0,4.752818807E0
5.179519916E1,3.211733007E1,1.189516259E2,1.848503379E1,1.143199733E0,1.140095892E2,4.752810859E0,4.752810859E0
5.279521322E1,3.211732849E1,1.189516304E2,1.842618699E1,7.527129955E-1,1.118571246E2,4.749261179E0,4.749261179E0
5.379522598E1,3.211732442E1,1.189516409E2,1.846406540E1,8.567369898E-1,1.131913782E2,4.749633852E0,4.749633852E0
5.479524028E1,3.211731831E1,1.189516505E2,1.863916483E1,9.301943873E-1,1.205887192E2,4.746906871E0,4.746906871E0
5.579525352E1,3.211731268E1,1.189516638E2,1.840678063E1,1.104467846E0,1.137210455E2,4.745692616E0,4.745692616E0
5.679526639E1,3.211731535E1,1.189516749E2,1.823267442E1,1.036444730E0,9.906234431E1,4.747081097E0,4.747081097E0
5.779527962E1,3.211731408E1,1.189516755E2,1.852673656E1,5.787879389E-1,9.964048411E1,4.746518281E0,4.746518281E0
5.879529345E1,3.211731470E1,1.189516860E2,1.878588563E1,6.780393389E-1,9.536196685E1,4.751503201E0,4.751503201E0
5.979530656E1,3.211731387E1,1.189517007E2,1.891845976E1,9.336648673E-1,9.607327981E1,4.755160761E0,4.755160761E0
6.079531956E1,3.211731747E1,1.189517084E2,1.871060552E1,9.509611096E-1,8.821145478E1,4.756949759E0,4.756949759E0
6.179533243E1,3.211731947E1,1.189517168E2,1.868954981E1,8.585464649E-1,7.998874645E1,4.755804258E0,4.755804258E0
6.279534543E1,3.211732152E1,1.189517296E2,1.857099595E1,9.810984192E-1,7.930390890E1,4.761945982E0,4.761945982E0
6.379535794E1,3.211732188E1,1.189517438E2,1.835799083E1,1.179801989E0,7.789138218E1,4.766667612E0,4.766667612E0
6.479537129E1,3.211733374E1,1.189517588E2,1.830203328E1,1.460505631E0,6.647004855E1,4.770971719E0,4.770971719E0
6.579538381E1,3.211734267E1,1.189517674E2,1.786634028E1,1.409509632E0,5.698763126E1,4.767832508E0,4.767832508E0
6.679539704E1,3.211735024E1,1.189517787E2,1.803429045E1,1.249863272E0,5.525156269E1,4.774742246E0,4.774742246E0
6.779541039E1,3.211735318E1,1.189517898E2,1.817666566E1,1.059777571E0,6.086640424E1,4.785217920E0,4.785217920E0
6.879542255E1,3.211735720E1,1.189518041E2,1.826336795E1,1.128481018E0,6.678978568E1,4.782188640E0,4.782188640E0
6.979543579E1,3.211736434E1,1.189518136E2,1.839951835E1,1.002769719E0,6.254892060E1,4.787353586E0,4.787353586E0
