"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.533604171E-2,-2.578218079E1,2.947700500E0,-4.009037399E1
5.527604173E-2,-2.579644775E1,3.004796982E0,-3.996390533E1
7.521504175E-2,-2.577956390E1,2.894983292E0,-4.010663605E1
9.515504166E-2,-2.576929474E1,2.931772232E0,-4.013671112E1
1.150940417E-1,-2.582515717E1,2.846641541E0,-4.017118073E1
1.350340417E-1,-2.575908661E1,2.793388367E0,-4.031352234E1
1.549730417E-1,-2.550765228E1,2.730396271E0,-4.036467743E1
1.749130418E-1,-2.535394287E1,2.589971542E0,-4.044160461E1
1.948520417E-1,-2.503432465E1,2.354619980E0,-4.074986649E1
2.147920417E-1,-2.483883667E1,2.072717667E0,-4.083593750E1
2.347320417E-1,-2.487049103E1,1.672496796E0,-4.087841797E1
2.546710417E-1,-2.487049866E1,1.524183273E0,-4.090717316E1
2.746110418E-1,-2.474810028E1,1.074493408E0,-4.101840973E1
2.945500417E-1,-2.453630829E1,7.288341522E-1,-4.110688019E1
3.144900417E-1,-2.439353943E1,3.177947998E-1,-4.105370331E1
3.344290417E-1,-2.429160309E1,-1.889038086E-2,-4.109485245E1
3.543690417E-1,-2.438212585E1,-1.051082611E-1,-4.110559082E1
3.743080418E-1,-2.452164459E1,-1.425132751E-1,-4.104454422E1
3.942480417E-1,-2.470819092E1,-2.929363251E-1,-4.084885406E1
4.141870417E-1,-2.488426208E1,-6.982841492E-1,-4.073367310E1
4.341270417E-1,-2.499617767E1,-1.253324509E0,-4.065155792E1
4.540660417E-1,-2.507022095E1,-1.908163071E0,-4.049526978E1
4.740060418E-1,-2.494104004E1,-2.471582413E0,-4.051581573E1
4.939450417E-1,-2.473915863E1,-3.001537323E0,-4.066766357E1
5.138850417E-1,-2.452223206E1,-3.248041153E0,-4.078629684E1
5.338240417E-1,-2.425939941E1,-3.398447037E0,-4.088819504E1
5.537640417E-1,-2.411853790E1,-3.369226456E0,-4.102954865E1
5.737030418E-1,-2.402381897E1,-3.245481491E0,-4.116063690E1
5.936430417E-1,-2.375164795E1,-2.948383331E0,-4.125856018E1
6.135820417E-1,-2.361985016E1,-2.726524353E0,-4.147522354E1
6.335220417E-1,-2.338813019E1,-2.580440521E0,-4.160344315E1
6.534620418E-1,-2.315429688E1,-2.412166595E0,-4.176200104E1
6.734010418E-1,-2.304170227E1,-2.083202362E0,-4.184223938E1
6.933410417E-1,-2.295106506E1,-1.736612320E0,-4.193545151E1
7.132800417E-1,-2.281611633E1,-1.519821167E0,-4.198405838E1
7.332200417E-1,-2.280996704E1,-1.265897751E0,-4.189715576E1
7.531590417E-1,-2.281262970E1,-1.089448929E0,-4.179602051E1
7.730990417E-1,-2.301290894E1,-9.280357361E-1,-4.155685425E1
7.930380417E-1,-2.337947083E1,-7.692432404E-1,-4.140489197E1
8.129780417E-1,-2.374410248E1,-8.317050934E-1,-4.136061096E1
8.329170417E-1,-2.396849823E1,-8.808193207E-1,-4.117914200E1
8.528570418E-1,-2.422033691E1,-1.083368301E0,-4.112850189E1
8.727960417E-1,-2.429393768E1,-1.315723419E0,-4.090924454E1
8.927360417E-1,-2.444964600E1,-1.532033920E0,-4.077748871E1
9.126750417E-1,-2.480594635E1,-1.807163239E0,-4.055360413E1
9.326150417E-1,-2.525743866E1,-2.122777939E0,-4.026786041E1
9.525540418E-1,-2.588040161E1,-2.454055786E0,-3.978077316E1
9.724940417E-1,-2.643810272E1,-2.778148651E0,-3.934561157E1
9.924330417E-1,-2.691791534E1,-2.954683304E0,-3.893058777E1
1.012373042E0,-2.726091766E1,-3.040552139E0,-3.865694427E1
1.032312042E0,-2.756717682E1,-3.116962433E0,-3.840771103E1
1.052252042E0,-2.774578094E1,-3.255668640E0,-3.820204163E1
1.072191042E0,-2.776128387E1,-3.379770279E0,-3.820307922E1
1.092131042E0,-2.769516754E1,-3.591882706E0,-3.826427078E1
1.112070042E0,-2.752683258E1,-3.743856430E0,-3.832044220E1
1.132010042E0,-2.736834717E1,-3.877735138E0,-3.831015396E1
1.151949042E0,-2.716911316E1,-3.994564056E0,-3.846259308E1
1.171889042E0,-2.711843109E1,-4.077867508E0,-3.841938400E1
1.191828042E0,-2.706841278E1,-4.202392578E0,-3.848599243E1
1.211768042E0,-2.697501373E1,-4.400683403E0,-3.844172668E1
