"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
3.395903111E-2,3.211667448E1,1.189496313E2,1.753805447E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
3.703999519E-2,3.211670286E1,1.189494509E2,1.744058561E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
3.703999519E-2,3.211671461E1,1.189494186E2,1.740199423E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.804491997E0,3.211671881E1,1.189493929E2,1.738248777E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
2.643386006E0,3.211670243E1,1.189494596E2,1.734830666E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
2.915511131E0,3.211659581E1,1.189493131E2,1.283814335E1,1.980000019E0,5.027343750E1,1.101920823E1,1.101920823E1
3.923300982E0,3.211659854E1,1.189494189E2,1.651703739E1,1.980000019E0,5.765625000E1,9.032365679E0,9.032365679E0
4.917767763E0,3.211660804E1,1.189494366E2,1.651703771E1,1.980000019E0,5.765625937E1,9.032365679E0,9.032365679E0
5.920734525E0,3.211657532E1,1.189493384E2,1.780640530E1,1.669999957E0,2.569921783E2,7.275949818E0,7.275949818E0
6.917788267E0,3.211666614E1,1.189493907E2,1.719660295E1,1.200000048E0,2.569921809E2,5.852062794E0,5.852062794E0
7.917086005E0,3.211664857E1,1.189493805E2,1.758979140E1,1.049999952E0,2.780859316E2,5.575645545E0,5.575645545E0
8.859476089E0,3.211667257E1,1.189493369E2,1.788416400E1,1.279999971E0,2.763281178E2,7.238921747E0,7.238921747E0
9.859621048E0,3.211665003E1,1.189493344E2,1.851825821E1,1.169999957E0,3.076171823E2,6.747228153E0,6.747228153E0
1.085919404E1,3.211666969E1,1.189493637E2,1.745905413E1,1.279999971E0,3.206249954E2,5.130910599E0,5.130910599E0
1.185974228E1,3.211664668E1,1.189493516E2,1.815033829E1,1.179999948E0,3.244921836E2,6.171929512E0,6.171929512E0
1.247096276E1,3.211668953E1,1.189493424E2,1.762220103E1,1.399999976E0,3.367968731E2,6.576182318E0,6.576182318E0
1.347090971E1,3.211675190E1,1.189491592E2,1.783966939E1,1.399999976E0,2.854687424E2,6.009210796E0,6.009210796E0
1.447077203E1,3.211674383E1,1.189491870E2,1.788660537E1,1.090000033E0,2.960156195E2,4.877331728E0,4.877331728E0
1.547063994E1,3.211674757E1,1.189492075E2,1.635462295E1,1.090000033E0,3.244921839E2,4.651442494E0,4.651442494E0
1.647053730E1,3.211676010E1,1.189492247E2,1.608399312E1,1.379999995E0,3.389062472E2,4.620374692E0,4.620374692E0
1.747042727E1,3.211676592E1,1.189492388E2,1.626337539E1,1.090000033E0,3.389062478E2,4.574579541E0,4.574579541E0
1.847032654E1,3.211677384E1,1.189492505E2,1.601368057E1,1.090000033E0,3.389062478E2,4.574579499E0,4.574579499E0
1.947022855E1,3.211678381E1,1.189492585E2,1.577674209E1,1.090000033E0,3.389062478E2,4.574579463E0,4.574579463E0
2.047014046E1,3.211679786E1,1.189492613E2,1.577973283E1,1.179999948E0,3.389062476E2,4.574579433E0,4.574579433E0
2.147004688E1,3.211681201E1,1.189492623E2,1.553333394E1,1.360000014E0,3.410156225E2,4.574579408E0,4.574579408E0
2.246996379E1,3.211682428E1,1.189492603E2,1.508887593E1,1.389999986E0,3.385546846E2,4.574579391E0,4.574579391E0
2.346988571E1,3.211683627E1,1.189492593E2,1.438568990E1,1.389999986E0,3.403124974E2,4.574579374E0,4.574579374E0
2.446981096E1,3.211684731E1,1.189492581E2,1.365827289E1,1.309999943E0,3.406640601E2,4.574579359E0,4.574579359E0
2.546973741E1,3.211685945E1,1.189492128E2,1.593282437E1,1.383999241E0,3.416281668E2,4.812321937E0,4.812321937E0
2.646967542E1,3.211685776E1,1.189491938E2,1.601055130E1,1.094372219E0,3.142465009E2,4.810980991E0,4.810980991E0
2.746961296E1,3.211684729E1,1.189491667E2,1.605543824E1,1.171927223E0,2.779364744E2,4.817466690E0,4.817466690E0
2.846955466E1,3.211684044E1,1.189491664E2,1.613240510E1,1.293282010E0,2.745821529E2,4.756929331E0,4.756929331E0
2.946950018E1,3.211683371E1,1.189491522E2,1.591426336E1,1.282671485E0,2.715578793E2,4.752859129E0,4.752859129E0
3.046944976E1,3.211682717E1,1.189491392E2,1.683977161E1,1.161146658E0,2.674793511E2,4.753962013E0,4.753962013E0
3.146940148E1,3.211683261E1,1.189491346E2,1.661543725E1,7.580287486E-1,2.906472861E2,4.750438026E0,4.750438026E0
3.246935511E1,3.211684509E1,1.189491276E2,1.707585450E1,1.086404088E0,3.173084835E2,4.751503193E0,4.751503193E0
3.346931243E1,3.211686189E1,1.189491167E2,1.725593353E1,1.513443887E0,3.280826374E2,4.753501848E0,4.753501848E0
3.446927178E1,3.211687812E1,1.189491229E2,1.717438413E1,1.421319663E0,3.421763469E2,4.745563309E0,4.745563309E0
3.546923470E1,3.211688832E1,1.189491231E2,1.658540150E1,1.158146701E0,3.429047933E2,4.746856008E0,4.746856008E0
3.646919894E1,3.211690336E1,1.189491172E2,1.670029575E1,1.342627050E0,3.390480630E2,4.743931967E0,4.743931967E0
3.746916449E1,3.211691486E1,1.189491139E2,1.691785130E1,1.313112977E0,3.373102577E2,4.741176055E0,4.741176055E0
3.846913266E1,3.211692415E1,1.189491028E2,1.739119272E1,1.263401385E0,3.373616639E2,4.729339545E0,4.729339545E0
3.946910238E1,3.211693457E1,1.189490955E2,1.732730263E1,1.257373983E0,3.379095924E2,4.722733981E0,4.722733981E0
4.046907425E1,3.211693934E1,1.189490871E2,1.700795479E1,8.651991859E-1,3.281794821E2,4.729574640E0,4.729574640E0
4.146904778E1,3.211695331E1,1.189490855E2,1.724472712E1,1.038307510E0,3.435812471E2,4.731821428E0,4.731821428E0
4.246902263E1,3.211696609E1,1.189490759E2,1.745335907E1,1.232258163E0,3.404970703E2,4.735781809E0,4.735781809E0
4.346899819E1,3.211697734E1,1.189490634E2,1.737153109E1,1.289982958E0,3.358957983E2,4.738318567E0,4.738318567E0
