"Time (s)","X (hPa)"
-5.354645418E-1,1.017638245E3
4.699024583E-1,1.017639618E3
1.475289458E0,1.017639694E3
2.480666458E0,1.017641068E3
3.486064458E0,1.017650146E3
3.837538458E0,1.017653961E3
4.909926458E0,1.017660370E3
5.982308458E0,1.017660370E3
7.054720458E0,1.017669525E3
8.127164458E0,1.017671432E3
9.199553458E0,1.017672043E3
1.027195546E1,1.017674484E3
1.134438246E1,1.017674484E3
1.241681246E1,1.017672501E3
1.348926246E1,1.017672501E3
1.456167846E1,1.017675705E3
1.563407246E1,1.017679062E3
1.670649746E1,1.017680893E3
1.777894346E1,1.017682800E3
1.885137546E1,1.017682800E3
1.992376946E1,1.017682800E3
2.099614446E1,1.017682800E3
2.206854946E1,1.017686462E3
2.314092646E1,1.017689362E3
2.421337746E1,1.017694855E3
2.528583846E1,1.017701416E3
2.635833246E1,1.017705002E3
2.743077546E1,1.017711411E3
2.850323446E1,1.017721634E3
2.957568346E1,1.017726440E3
3.064809746E1,1.017726440E3
3.172058446E1,1.017725220E3
3.279303146E1,1.017719955E3
3.386548246E1,1.017714462E3
3.493794646E1,1.017712936E3
3.601037146E1,1.017712936E3
3.708281346E1,1.017716293E3
3.815524446E1,1.017720795E3
3.922775446E1,1.017720795E3
4.030024846E1,1.017720795E3
4.137274546E1,1.017719650E3
4.244518846E1,1.017718887E3
4.351762546E1,1.017718887E3
4.459005046E1,1.017721176E3
4.566250946E1,1.017724380E3
4.673498746E1,1.017727890E3
4.780747546E1,1.017731476E3
4.887998946E1,1.017731476E3
4.995244746E1,1.017731934E3
5.102487846E1,1.017731323E3
5.209733046E1,1.017732086E3
5.316982946E1,1.017735062E3
5.424234746E1,1.017744370E3
5.531480846E1,1.017746201E3
5.638725046E1,1.017746201E3
5.745975446E1,1.017742996E3
5.853223546E1,1.017733841E3
5.960473446E1,1.017722931E3
6.067721946E1,1.017717209E3
6.174972346E1,1.017717209E3
6.282217846E1,1.017719498E3
6.389465446E1,1.017723083E3
6.496714346E1,1.017727661E3
6.603959946E1,1.017730637E3
6.711213146E1,1.017733383E3
6.818466146E1,1.017741852E3
6.925724246E1,1.017748337E3
7.032985746E1,1.017752075E3
7.140250746E1,1.017753754E3
7.247508946E1,1.017753754E3
7.354762146E1,1.017752075E3
7.462016246E1,1.017749557E3
7.569272546E1,1.017745590E3
7.676531046E1,1.017745590E3
7.783787546E1,1.017740707E3
7.891043246E1,1.017740707E3
7.998295146E1,1.017738876E3
8.105546046E1,1.017738876E3
8.212807846E1,1.017738571E3
8.320062946E1,1.017738571E3
8.427322646E1,1.017738876E3
8.534574546E1,1.017743835E3
8.641822946E1,1.017750778E3
8.749077746E1,1.017758484E3
8.856333046E1,1.017765579E3
8.963582746E1,1.017772980E3
9.070832846E1,1.017772980E3
9.178078546E1,1.017769547E3
9.285316246E1,1.017765427E3
9.392555946E1,1.017764053E3
9.499794746E1,1.017762222E3
9.607033446E1,1.017762222E3
9.714269046E1,1.017763214E3
9.821515046E1,1.017763214E3
9.928753546E1,1.017758865E3
1.003599275E2,1.017754364E3
1.014323755E2,1.017753601E3
1.025048365E2,1.017750244E3
1.035773145E2,1.017746429E3
1.046497455E2,1.017746048E3
1.057222005E2,1.017742691E3
1.067946555E2,1.017734680E3
1.078671595E2,1.017729568E3
1.089396025E2,1.017726440E3
1.100119805E2,1.017724152E3
1.110843595E2,1.017724152E3
1.121567995E2,1.017724686E3
1.132292345E2,1.017726059E3
1.143016245E2,1.017732697E3
1.153740085E2,1.017737732E3
1.164464725E2,1.017739410E3
1.175189065E2,1.017745132E3
1.185914205E2,1.017751465E3
1.196638915E2,1.017754898E3
1.207363525E2,1.017755890E3
1.218087865E2,1.017761993E3
1.228812435E2,1.017763519E3
1.239536955E2,1.017763519E3
1.250261105E2,1.017757950E3
1.260985155E2,1.017753525E3
1.271709465E2,1.017753525E3
1.282433415E2,1.017753525E3
1.293157565E2,1.017753601E3
1.303881805E2,1.017755203E3
1.314605645E2,1.017757797E3
1.325329475E2,1.017757797E3
1.336053675E2,1.017754593E3
1.346777335E2,1.017751083E3
1.357501145E2,1.017746201E3
1.368225165E2,1.017744293E3
1.378948835E2,1.017741623E3
1.389673045E2,1.017736130E3
1.400397295E2,1.017736130E3
1.411121635E2,1.017739944E3
1.421846155E2,1.017740326E3
1.432569935E2,1.017741318E3
1.443294525E2,1.017743530E3
1.454018565E2,1.017745132E3
1.464742705E2,1.017745132E3
1.475466485E2,1.017744904E3
1.486189985E2,1.017744293E3
