"Time (s)","X (hPa)"
-5.757095000E-1,1.017990417E3
4.303795000E-1,1.018005981E3
1.436481500E0,1.018002167E3
2.442560500E0,1.018002625E3
3.448633500E0,1.018002625E3
3.799290500E0,1.018024826E3
4.872384500E0,1.018024826E3
5.945447500E0,1.018025360E3
7.018498500E0,1.018025589E3
8.091568500E0,1.018030243E3
9.164610500E0,1.018031464E3
1.023767850E1,1.018031464E3
1.131075450E1,1.018045120E3
1.238385750E1,1.018045120E3
1.345692550E1,1.018043671E3
1.452998150E1,1.018043671E3
1.560300250E1,1.018044128E3
1.667609150E1,1.018044128E3
1.774916250E1,1.018041534E3
1.882220250E1,1.018041534E3
1.989525050E1,1.018043213E3
2.096831550E1,1.018043213E3
2.204139950E1,1.018036575E3
2.311451050E1,1.018032303E3
2.418760950E1,1.018032074E3
2.526067350E1,1.018027496E3
2.633370150E1,1.018022385E3
2.740674450E1,1.018018799E3
2.847976350E1,1.018018799E3
2.955277350E1,1.018018799E3
3.062579950E1,1.018016739E3
3.169881450E1,1.018016739E3
3.277178950E1,1.018017731E3
3.384478250E1,1.018017731E3
3.491775950E1,1.018016281E3
3.599072550E1,1.018010635E3
3.706374950E1,1.018010254E3
3.813680350E1,1.018007889E3
3.920987450E1,1.018004150E3
4.028291150E1,1.018004074E3
4.135592150E1,1.018004074E3
4.242893150E1,1.018003693E3
4.350188450E1,1.018003464E3
4.457488550E1,1.018003464E3
4.564792350E1,1.018001328E3
4.672094650E1,1.018000107E3
4.779388950E1,1.017997208E3
4.886688250E1,1.017996140E3
4.993996850E1,1.017994843E3
5.101302350E1,1.017994843E3
5.208609550E1,1.017994995E3
5.315913950E1,1.017994995E3
5.423218550E1,1.017994995E3
5.530524850E1,1.017994766E3
5.637828450E1,1.017994614E3
5.745133550E1,1.017994614E3
5.852436850E1,1.017996063E3
5.959737750E1,1.017996368E3
6.067037550E1,1.017996063E3
6.174334350E1,1.017994461E3
6.281633250E1,1.017994461E3
6.388933450E1,1.017994461E3
6.496231550E1,1.017993622E3
6.603536050E1,1.017991486E3
6.710834650E1,1.017989960E3
6.818134250E1,1.017985840E3
6.925437350E1,1.017985611E3
7.032739850E1,1.017984467E3
7.140047650E1,1.017983475E3
7.247355750E1,1.017982635E3
7.354666650E1,1.017982635E3
7.461975150E1,1.017980576E3
7.569286750E1,1.017978821E3
7.676599850E1,1.017977142E3
7.783906350E1,1.017971497E3
7.891207050E1,1.017971191E3
7.998505450E1,1.017969818E3
8.105805650E1,1.017969818E3
8.213106850E1,1.017969818E3
8.320406750E1,1.017968979E3
8.427712050E1,1.017968292E3
8.535017450E1,1.017968063E3
8.642327650E1,1.017968063E3
8.749644550E1,1.017968063E3
8.856954650E1,1.017965164E3
8.964260850E1,1.017963409E3
9.071568950E1,1.017961731E3
9.178875350E1,1.017960052E3
9.286180850E1,1.017959671E3
9.393488050E1,1.017959290E3
9.500793550E1,1.017957306E3
9.608102250E1,1.017957306E3
9.715408350E1,1.017957306E3
9.822714350E1,1.017957153E3
9.930022250E1,1.017954636E3
1.003733105E2,1.017954636E3
1.014463905E2,1.017957764E3
1.025193635E2,1.017957764E3
1.035924105E2,1.017951736E3
1.046654715E2,1.017938614E3
1.057385155E2,1.017928009E3
1.068115575E2,1.017907867E3
1.078846425E2,1.017903214E3
1.089577185E2,1.017903214E3
1.100308155E2,1.017904282E3
1.111038135E2,1.017908783E3
1.121768485E2,1.017913361E3
1.132498975E2,1.017914963E3
1.143229615E2,1.017914963E3
1.153960235E2,1.017914963E3
1.164690955E2,1.017914886E3
1.175421785E2,1.017914886E3
1.186153055E2,1.017912521E3
1.196883175E2,1.017910690E3
1.207613535E2,1.017905579E3
1.218344235E2,1.017903290E3
1.229074355E2,1.017900314E3
1.239805055E2,1.017896881E3
1.250535285E2,1.017886581E3
1.261265895E2,1.017880096E3
1.271995945E2,1.017872543E3
1.282726135E2,1.017870255E3
1.293456655E2,1.017870255E3
1.304187495E2,1.017867737E3
1.314917995E2,1.017870407E3
1.325648445E2,1.017882996E3
1.336378675E2,1.017882996E3
1.347109815E2,1.017881622E3
1.357840325E2,1.017880249E3
1.368571125E2,1.017874374E3
