"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.041666675E-2,2.988474965E-1,1.105773076E-1,2.477814555E-1
4.035466677E-2,1.295886002E-2,6.358376145E-1,1.576918662E-1
6.029166677E-2,-9.794209152E-2,8.410981297E-1,2.014816999E-1
8.022966667E-2,-6.387215853E-2,6.883469224E-1,1.662074178E-1
1.001676667E-1,1.516628712E-1,3.038847446E-1,4.540660605E-2
1.201056667E-1,4.327656627E-1,1.371995956E-1,7.190319151E-2
1.400436667E-1,4.715252519E-1,3.323983848E-1,1.424595714E-1
1.599806667E-1,3.714975119E-1,6.391713619E-1,2.675605714E-1
1.799186667E-1,4.027968049E-1,7.994867563E-1,4.076531529E-1
1.998566667E-1,6.129325628E-1,6.624727249E-1,4.304092228E-1
2.197946667E-1,8.641027808E-1,5.653219223E-1,4.050733149E-1
2.397326668E-1,8.709234595E-1,2.578005791E-1,3.936488032E-1
2.596706668E-1,6.702511907E-1,-5.553150177E-2,4.286022186E-1
2.796076668E-1,5.562359691E-1,1.148551553E-1,3.122250438E-1
2.995456667E-1,5.071640015E-1,3.344394565E-1,1.145623252E-1
3.194836667E-1,6.438955665E-1,4.275786877E-1,3.699105233E-2
3.394216667E-1,7.704119086E-1,1.346442848E-1,-8.337906003E-2
3.593596667E-1,8.092622757E-1,-2.438545525E-1,-2.312355042E-1
3.792966667E-1,7.889767885E-1,-4.019552171E-1,-4.295285046E-1
3.992346667E-1,8.209349513E-1,-4.009658396E-1,-4.946281314E-1
4.191726667E-1,1.061688423E0,-4.772028327E-1,-3.939982057E-1
4.391106667E-1,1.507570028E0,-2.640223801E-1,-4.161546528E-1
4.590486668E-1,2.214886189E0,-3.030657955E-2,-5.752627850E-1
4.789866668E-1,2.285350323E0,-4.078027308E-1,-3.269627690E-1
4.989236668E-1,1.852977633E0,-1.369396448E0,-5.032159090E-1
5.188616667E-1,1.728201032E0,-1.816155553E0,-1.190873027E0
5.387996667E-1,2.199371338E0,-1.345931053E0,-1.321473002E0
5.587376667E-1,2.627011299E0,-3.864116967E-1,-7.509976625E-1
5.786756667E-1,2.300854921E0,6.520866752E-1,-2.581259310E-1
5.986126667E-1,1.130560517E0,3.432092071E-1,-2.142541483E-2
6.185506667E-1,4.696618617E-1,-6.241009235E-1,-7.627535462E-1
6.384886667E-1,6.525652409E-1,-1.563289762E0,-2.046867609E-1
6.584266667E-1,7.142133713E-1,-8.945361376E-1,2.119897902E-1
6.783646668E-1,2.297827452E-1,-5.986989141E-1,7.368482649E-2
6.983026668E-1,-2.690373361E-2,-3.390537500E-1,6.178690121E-2
7.182396668E-1,-2.722539604E-1,-4.596025646E-1,1.660481244E-1
7.381776667E-1,8.308446407E-2,-6.363512278E-1,2.547277212E-1
7.581156667E-1,1.129278064E0,-5.524893478E-2,4.028086066E-1
7.780536667E-1,1.636855006E0,1.549005508E-1,2.917018533E-1
7.979916667E-1,1.603088260E0,3.768817186E-1,3.374997377E-1
8.179286667E-1,1.192051053E0,1.915248781E-1,2.029595077E-1
8.378666667E-1,6.839557886E-1,3.478267416E-2,-3.437083587E-2
8.578046667E-1,7.437485456E-1,1.389293224E-1,-7.058156189E-4
8.777434167E-1,1.025056243E0,-9.973891079E-2,1.815887690E-1
8.976814167E-1,1.243657231E0,-3.914757073E-1,5.422363281E-1
9.176194167E-1,1.438137650E0,-2.690429986E-1,1.046825886E0
9.375564167E-1,1.336591601E0,-2.849247158E-1,1.497768760E0
9.574944167E-1,1.491583467E0,-6.394695044E-1,1.728803396E0
9.774324168E-1,2.012803316E0,-1.288283706E0,2.152687073E0
9.973704168E-1,2.132277966E0,-1.519961357E0,2.489962339E0
1.017308417E0,1.726676583E0,-3.849358082E0,9.096990824E-1
1.037245417E0,2.191830158E0,-1.471937418E0,2.889652252E0
1.057183417E0,6.368178129E-1,-1.870118380E0,1.747876048E0
1.077121417E0,-2.132195830E-1,-1.692641616E0,9.626684189E-1
1.097059417E0,-1.468419135E-1,-1.735590935E0,7.011433244E-1
1.116997417E0,7.455254197E-1,-1.392153621E0,5.920026302E-1
1.136935417E0,1.952090740E0,-1.599070668E0,9.274742007E-1
1.156872417E0,1.539800525E0,-1.356499553E0,1.062401175E0
1.176810417E0,8.822574615E-1,-1.730657458E0,8.482580781E-1
1.196748417E0,8.604006767E-1,-1.702533841E0,9.911811352E-1
1.216686417E0,1.131038547E0,-1.161816001E0,5.910301805E-1
1.236624417E0,2.316772699E0,-1.927056193E0,5.971980691E-1
1.256562417E0,2.583060741E0,-1.903643608E0,4.834325314E-1
1.276499417E0,2.290519476E0,-8.377229571E-1,4.694634080E-1
1.296437417E0,1.862039447E0,-8.377069235E-1,-3.997527659E-1
1.316375417E0,9.149962664E-1,-5.976211429E-1,-1.118735433E0
1.336313417E0,-4.111225009E-1,-3.917782009E-1,-1.066410899E0
1.356251417E0,-1.661289811E0,1.124715447E0,-5.878700614E-1
1.376188417E0,-2.185839891E0,3.248417616E0,-5.997027755E-1
1.396126417E0,-1.585165739E0,1.794211030E0,5.913414955E-1
1.416064417E0,2.320228815E0,-3.394181013E0,1.531426311E0
1.436002417E0,2.699207306E0,-2.584862411E-1,1.692931890E0
1.455940417E0,2.810877562E0,2.927908182E0,1.561199903E0
1.475878417E0,3.067407846E0,3.826957941E0,1.144355655E0
1.495815417E0,1.943795323E0,3.866561413E0,-3.628094196E-1
1.515753417E0,8.110498190E-1,1.402384043E0,3.099604547E-1
1.535691417E0,-3.404645026E-1,1.063719243E-1,4.746504128E-1
1.555629417E0,-4.808865488E-1,-3.863192797E-1,3.421501517E-1
1.575567417E0,-4.377659857E-1,-4.239681065E-1,2.473685741E-1
1.595504417E0,-3.531121910E-1,-2.711189091E-1,2.187245637E-1
