"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.041666675E-2,1.132419146E0,1.360905822E0,-1.145241505E0
4.035466677E-2,1.394218432E0,1.414073092E0,-7.581394565E-1
6.029166677E-2,7.385834438E-1,1.267385162E0,-5.494704562E-1
8.022966667E-2,8.619447836E-1,1.203536491E0,-4.341674566E-1
1.001676667E-1,9.394067962E-1,1.296677958E0,1.798457354E-1
1.201056667E-1,3.083931170E-1,9.957971978E-1,8.563598156E-1
1.400436667E-1,2.707159983E-1,9.122843403E-1,6.400257003E-1
1.599806667E-1,3.600349948E-3,8.391704634E-1,2.912638450E-1
1.799186667E-1,-4.926544505E-1,9.230446789E-1,6.369728690E-1
1.998566667E-1,-5.130063424E-1,9.746507424E-1,9.942348218E-1
2.197946667E-1,-3.359786725E-1,1.059061732E0,1.492177275E0
2.397326668E-1,-8.720636827E-1,1.409452622E0,7.582219023E-1
2.596706668E-1,-5.592757253E-1,7.963931108E-1,-5.677061677E-2
2.796076668E-1,9.608292402E-1,1.764145893E-1,2.649268162E-1
2.995456667E-1,1.679807116E0,-4.097331119E-1,3.286544502E-2
3.194836667E-1,1.092594052E0,-1.044537249E0,-3.176324487E-2
3.394216667E-1,2.708140853E-1,-1.337200917E0,-1.182254380E0
3.593596667E-1,-1.121425796E-1,-1.465847263E0,-1.943276514E0
3.792966667E-1,3.104929984E-2,-1.676575652E0,-2.147129747E0
3.992346667E-1,-3.279244984E-1,-1.905141558E0,-1.805983306E0
4.191726667E-1,-1.110628035E0,-2.228564504E0,-1.277918921E0
4.391106667E-1,-1.956353373E-1,-2.068063697E0,-5.713729566E-1
4.590486668E-1,1.231831752E0,-1.868119912E0,1.570567971E-1
4.789866668E-1,1.094242675E0,-2.534197297E0,-1.388090989E0
4.989236668E-1,1.167119155E0,-2.368498315E0,-2.163948094E0
5.188616667E-1,1.697565110E0,-2.025711145E0,-6.191546488E-1
5.387996667E-1,9.633082404E-1,-2.942214251E0,1.001398246E0
5.587376667E-1,-4.545680997E-1,-4.234865817E0,1.075647944E0
5.786756667E-1,-2.558412079E0,-2.508236244E0,-1.151012707E0
