"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-7.673333166E-4,1.978286133E0,5.765261078E0,8.675060120E0
1.917066670E-2,2.830314331E0,5.874533844E0,7.397616577E0
3.910866671E-2,3.041674805E0,5.946085052E0,7.784861298E0
5.904566671E-2,2.271676025E0,5.783822479E0,8.023016052E0
7.898366672E-2,2.277813263E0,5.698499908E0,8.169710999E0
9.892166674E-2,2.277813263E0,5.793851624E0,8.794960785E0
1.188596667E-1,1.619482269E0,5.542973328E0,9.449399872E0
1.387976668E-1,1.553469543E0,5.538482666E0,9.195078735E0
1.587346668E-1,1.223405914E0,5.531147919E0,8.819659424E0
1.786726668E-1,6.325845337E-1,5.670807495E0,9.147477722E0
1.986106667E-1,5.292993164E-1,5.796396332E0,9.473649445E0
2.185486667E-1,6.426136780E-1,5.999074860E0,9.910890198E0
2.384866667E-1,7.379653931E-2,6.491101685E0,9.095984802E0
2.584246667E-1,4.191284180E-1,5.996979218E0,8.203540649E0
2.783616667E-1,1.979633331E0,5.468877411E0,8.461753693E0
2.982996667E-1,2.684218140E0,4.963378601E0,8.178842010E0
3.182376667E-1,2.041005707E0,4.417912903E0,8.061336365E0
3.381756668E-1,1.168021088E0,4.240232391E0,6.837930450E0
3.581136668E-1,7.785310364E-1,4.240831146E0,5.986201630E0
3.780506668E-1,9.367520142E-1,4.161645813E0,5.684279480E0
3.979886668E-1,5.830375671E-1,4.066593475E0,5.923482056E0
4.179266667E-1,-1.842668152E-1,3.890260162E0,6.333778839E0
4.378646667E-1,7.432044983E-1,4.249363403E0,6.874753876E0
4.578026667E-1,2.128423920E0,4.731061707E0,7.360044708E0
4.777406667E-1,1.945204926E0,4.400848389E0,5.497917023E0
4.976776667E-1,2.089355164E0,4.850363617E0,4.414320374E0
5.176156667E-1,2.708916779E0,5.433401184E0,5.671705627E0
5.375536667E-1,1.973795471E0,4.779411163E0,6.967261505E0
5.574916668E-1,4.969665527E-1,3.788322144E0,6.639742584E0
5.774296668E-1,-1.701062622E0,5.797593842E0,3.998185730E0
5.973666668E-1,-1.450633392E0,6.095025330E0,1.458117828E0
6.173046667E-1,-3.936813354E-1,5.453010406E0,3.059188385E0
6.372426667E-1,-1.879192200E0,5.388045502E0,5.135520630E0
6.571806667E-1,-1.996099091E0,7.409591675E0,8.699010315E0
