"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.636043787E-1,3.211681957E1,1.189493177E2,1.807099247E1,4.199999869E-1,1.374609375E2,3.535533906E0,3.535533906E0
1.163588643E0,3.211681416E1,1.189493165E2,1.767029667E1,4.199999869E-1,1.434375000E2,3.535533906E0,3.535533906E0
2.163582802E0,3.211681416E1,1.189493165E2,1.767029668E1,4.199999869E-1,-1.000000000E0,4.116400260E0,4.116400260E0
3.163574219E0,3.211680599E1,1.189493182E2,1.797889044E1,4.199999869E-1,1.416796890E2,4.116400337E0,4.116400337E0
4.163569093E0,3.211680068E1,1.189493163E2,1.683088019E1,4.300000072E-1,1.494140637E2,4.116400424E0,4.116400424E0
5.163557291E0,3.211679444E1,1.189493169E2,1.605042366E1,5.500000119E-1,1.511718765E2,4.116400489E0,4.116400489E0
6.163552284E0,3.211678386E1,1.189493233E2,1.506342421E1,1.070000052E0,1.483593782E2,4.574579303E0,4.574579303E0
7.163542032E0,3.211677805E1,1.189493257E2,1.502063853E1,8.399999738E-1,1.494140649E2,4.574579307E0,4.574579307E0
8.163540959E0,3.211677190E1,1.189493273E2,1.485120494E1,8.399999738E-1,1.525781272E2,4.574579312E0,4.574579312E0
9.163547635E0,3.211676959E1,1.189493296E2,1.520636850E1,7.599999905E-1,1.529296894E2,4.574579311E0,4.574579311E0
1.016354525E1,3.211676140E1,1.189493371E2,1.423157607E1,1.090000033E0,1.480078158E2,4.574579307E0,4.574579307E0
1.116352546E1,3.211675378E1,1.189493457E2,1.431635390E1,1.090000033E0,1.420312538E2,4.574579301E0,4.574579301E0
1.216352379E1,3.211674342E1,1.189493517E2,1.441333876E1,1.080000043E0,1.480078157E2,4.574579302E0,4.574579302E0
1.316351712E1,3.211673370E1,1.189493567E2,1.506342420E1,1.029999971E0,1.515234403E2,4.574579305E0,4.574579305E0
1.416351807E1,3.211672080E1,1.189493620E2,1.477692519E1,1.080000043E0,1.575000023E2,4.574579312E0,4.574579312E0
1.516352022E1,3.211670355E1,1.189493689E2,1.448383443E1,1.399999976E0,1.606640651E2,4.574579322E0,4.574579322E0
