"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.468545840E-2,-4.396244138E-2,-1.860601306E-1,-3.164757490E-1
4.462245840E-2,-1.109285951E-1,-4.913776647E-3,-3.071090579E-1
6.456045830E-2,-1.830926687E-1,2.098722905E-1,-3.012630343E-1
8.449745830E-2,-1.346922815E-1,4.118267000E-1,-3.686443567E-1
1.044344583E-1,8.515276760E-2,3.014570475E-1,-6.065043211E-1
1.243724583E-1,2.885186076E-1,-2.069973797E-1,-9.549896121E-1
1.443094583E-1,5.725621581E-1,-4.460583925E-1,-1.382225513E0
1.642464583E-1,8.403606415E-1,1.408405006E-1,-1.407051802E0
1.841844583E-1,1.036337495E0,1.193176389E0,-9.092752934E-1
2.041214583E-1,8.202295899E-1,6.552820206E-1,-1.049775362E0
2.240584583E-1,1.160766557E-1,4.566197395E-1,-5.112832189E-1
2.439964584E-1,1.823361516E-1,1.854659796E0,-7.437397540E-2
2.639334584E-1,8.494942635E-2,1.052926540E0,-4.211148918E-1
2.838704584E-1,4.261868000E-1,3.679131716E-2,-7.032431364E-1
3.038084584E-1,3.875152469E-1,-5.348863006E-1,-1.316044807E0
3.237454584E-1,6.402524561E-2,-1.056059480E0,-2.062589884E0
3.436824584E-1,-1.172713488E-1,-1.607397914E0,-2.653749704E0
3.636204583E-1,-4.205911607E-2,-1.735635877E0,-2.795986652E0
3.835574583E-1,1.341353208E-1,-1.434905767E0,-2.157232523E0
4.034944583E-1,-5.202726275E-2,-1.441929102E0,-1.748486757E0
4.234324583E-1,-2.366298437E-1,-1.862705588E0,-1.536192179E0
4.433694583E-1,1.379481852E-1,-2.424756527E0,-1.364991665E0
4.633064583E-1,9.308490157E-1,-3.449728012E0,-1.038592458E0
4.832444583E-1,1.531137109E0,-3.488303185E0,-9.608722925E-1
5.031814583E-1,1.479901195E0,-3.574402094E0,-6.671103835E-1
5.231184583E-1,8.868968487E-1,-3.304490566E0,-4.295410216E-1
5.430564584E-1,4.233746827E-1,-2.744801521E0,-8.300071210E-2
5.629934584E-1,3.756084442E-1,-2.309108019E0,3.276067674E-1
5.829304584E-1,2.901340425E-1,-2.266896725E0,2.176389694E-1
6.028684584E-1,-3.094107211E-1,-3.005192518E0,-5.241260678E-2
6.228054584E-1,-9.950091243E-1,-3.571095943E0,1.690116227E-1
6.427424584E-1,-1.503207088E0,-3.269273520E0,1.202332735E0
6.626804584E-1,-1.512528896E0,-2.964456797E0,1.933321357E0
6.826174584E-1,-1.169493318E0,-2.852269650E0,1.959486365E0
7.025554583E-1,-9.456956387E-1,-2.824803591E0,1.769945621E0
7.224924583E-1,-9.886350036E-1,-2.077024937E0,1.882472277E0
7.424294583E-1,-1.179783821E0,-1.604922056E0,2.272922039E0
7.623674583E-1,-1.174407959E0,-1.285973310E0,2.269943237E0
7.823044583E-1,-8.062375188E-1,-1.107143879E0,2.018383980E0
8.022414583E-1,-1.839972585E-1,-1.014918447E0,1.530878544E0
8.221794583E-1,2.819162011E-1,-8.237138987E-1,8.433237672E-1
8.421164583E-1,5.513231158E-1,-5.387721658E-1,3.425834179E-1
8.620534583E-1,9.536545873E-1,8.951922506E-2,2.401502281E-1
8.819920834E-1,1.483939171E0,-4.438871741E-1,3.268714845E-1
9.019290834E-1,1.833857179E0,-9.854798913E-1,-5.719602853E-2
9.218660834E-1,2.060623169E0,-9.663618207E-1,-2.773943543E-1
9.418040833E-1,2.159689665E0,-1.288107276E0,3.179551288E-2
9.617410833E-1,2.235895634E0,-9.181641936E-1,2.108055055E-1
9.816790833E-1,1.956355691E0,-1.256448150E0,3.053021431E-1
1.001616083E0,-2.645963244E-2,-3.529978991E0,-2.083943605E0
1.021553083E0,-9.659631550E-2,-1.351381421E0,-1.222318172E0
1.041491083E0,-1.022440553E0,-3.844407573E-2,-3.669070303E-1
1.061428083E0,-9.186146855E-1,-1.753079295E-1,-2.646171022E-3
1.081365083E0,-4.827617407E-1,-8.908151388E-1,-3.347060680E-1
1.101303083E0,-4.469379783E-1,-3.622586429E-1,-2.198525220E-1
1.121240083E0,-2.232409716E-1,-3.968038261E-1,9.838540107E-2
1.141177083E0,4.581239522E-1,-6.450615525E-1,3.791632056E-1
1.161115083E0,2.918484807E-1,-1.816815138E0,5.213201642E-1
1.181052083E0,-1.245982796E-1,-1.310281634E0,1.444321990E0
1.200990083E0,-5.735064298E-2,-1.020875216E0,1.824381113E0
1.220927083E0,3.986280859E-1,-2.522879362E0,1.132760048E0
1.240864083E0,1.311971396E-1,-3.507658958E0,1.432056308E0
1.260802083E0,-1.280653715E0,-5.373353958E-1,3.229045630E0
1.280739083E0,-1.787234306E0,6.122628450E-1,3.454452515E0
1.300676083E0,-4.568662345E-1,-2.965494096E-1,1.999956965E0
1.320614083E0,1.070965886E0,-1.751367688E0,2.739865184E-1
1.340551083E0,1.482459307E0,-2.844295502E0,-1.074426055E0
1.360489083E0,7.381088734E-1,-2.720269918E0,-1.552633047E0
1.380426083E0,-1.874720901E-1,-1.957595110E0,-1.466568589E0
1.400363083E0,-9.074972272E-1,-8.302572370E-1,-9.128538370E-1
1.420301083E0,-1.307666898E0,1.715179533E-2,-2.758365870E-1
1.440238083E0,-1.825318933E0,-9.287981987E-1,-7.520846128E-1
1.460175083E0,-1.504649997E0,-1.771072388E0,-1.035975337E0
1.480113083E0,-8.754124045E-1,-1.731380463E0,-7.520637512E-1
1.500050083E0,-1.302795410E-1,-1.838618755E0,-4.515813589E-1
1.519988083E0,7.069304585E-1,-2.026773691E0,-3.492674232E-1
1.539925083E0,1.341463923E0,-1.913770318E0,-4.880227149E-1
1.559862083E0,1.172669649E0,-1.762077689E0,-5.133003592E-1
1.579800083E0,8.671979904E-1,-1.251686335E0,9.163174778E-2
1.599737083E0,2.634043694E-1,3.278162330E-4,-3.530129194E-1
1.619675083E0,-7.531450987E-1,2.478864193E0,-2.623569250E0
1.639612083E0,-1.305039048E0,7.680234313E-1,-4.966319561E0
1.659549083E0,-2.336729914E-1,-2.507534325E-1,-4.805039883E0
1.679487083E0,-5.400614440E-2,7.111593485E-1,-9.946278334E-1
1.699424083E0,-1.297817677E-1,1.131214023E0,5.243636370E-1
1.719362083E0,-2.551956773E-1,7.436648011E-1,2.902669013E-1
1.739299083E0,-2.920429409E-2,1.029255465E-1,-1.647958905E-1
1.759236083E0,2.941539884E-1,-8.708795309E-1,-3.597153723E-1
1.779174083E0,6.169764698E-2,-1.973256230E0,-2.149064988E-1
1.799111083E0,-5.303363800E-1,-1.647474408E0,1.903813779E-1
1.819048083E0,-1.041961312E0,-1.179056883E0,5.913633704E-1
1.838986083E0,-1.434799790E0,-9.881009459E-1,7.216075063E-1
1.858923083E0,-1.503264785E0,-6.105190516E-1,7.197463512E-1
1.878861000E0,-1.419463396E0,-4.481922090E-1,6.908038855E-1
1.898798000E0,-1.136824846E0,-6.726376712E-2,5.770247579E-1
1.918735000E0,-7.343760729E-1,6.149576902E-1,3.452567756E-2
1.938673000E0,-6.845085621E-1,7.408525348E-1,-4.362253472E-2
1.958610000E0,-7.680590153E-1,5.561271310E-1,-1.020026952E-1
1.978548000E0,-8.185837269E-1,1.414138228E-1,-1.889902949E-1
1.998485000E0,-7.097793818E-1,-2.626902759E-1,-2.709738016E-1
2.018422000E0,-1.524861455E-1,-1.205267310E-1,-2.125755697E-1
2.038360000E0,1.495054215E-1,-6.247726455E-2,-2.238872945E-1
2.058297000E0,2.420279086E-1,-1.748653203E-1,-2.204925716E-1
2.078235000E0,3.542248607E-1,-5.248592496E-1,-2.706733644E-1
2.098172000E0,3.008966148E-1,-3.380734324E-1,-2.368182391E-1
2.118109000E0,-9.711496532E-2,8.302357979E-3,-1.804466099E-1
2.138047000E0,-3.179987073E-1,1.836757809E-1,-1.577171832E-1
2.157984000E0,-2.980678976E-1,2.880325317E-1,-1.553581208E-1
2.177922000E0,1.360680759E-1,2.428258955E-1,-1.458169073E-1
2.197859000E0,3.902181089E-1,-3.695940226E-2,-5.857514590E-2
2.217797000E0,3.246498406E-1,-1.061560512E-1,1.755323447E-2
2.237734000E0,1.226446927E-1,6.365988404E-2,1.458794177E-1
2.257671000E0,9.187959135E-2,5.467998981E-1,2.012670487E-1
2.277609000E0,2.651369870E-1,8.351286054E-1,1.523752660E-1
