"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.468545840E-2,2.860748291E1,-3.677970505E1,-1.885202026E1
4.462245840E-2,2.892185974E1,-3.651995850E1,-1.923022079E1
6.456045830E-2,2.905360413E1,-3.617977142E1,-1.919562912E1
8.449745830E-2,2.935847473E1,-3.597663498E1,-1.911665344E1
1.044344583E-1,2.968228149E1,-3.553983307E1,-1.885888290E1
1.243724583E-1,3.041105652E1,-3.522613525E1,-1.880974197E1
1.443094583E-1,3.098779297E1,-3.484477997E1,-1.849563980E1
1.642464583E-1,3.190960693E1,-3.417599487E1,-1.848936844E1
1.841844583E-1,3.293258667E1,-3.378602982E1,-1.782664490E1
2.041214583E-1,3.414056396E1,-3.337544632E1,-1.630834579E1
2.240584583E-1,3.488208008E1,-3.294772720E1,-1.562508774E1
2.439964584E-1,3.534062195E1,-3.277179337E1,-1.450474930E1
2.639334584E-1,3.609269714E1,-3.268794632E1,-1.338708496E1
2.838704584E-1,3.670135498E1,-3.251773453E1,-1.298029327E1
3.038084584E-1,3.752461243E1,-3.178717613E1,-1.261799622E1
3.237454584E-1,3.831544495E1,-3.065541267E1,-1.304022598E1
3.436824584E-1,3.942486572E1,-2.893439102E1,-1.438847351E1
3.636204583E-1,4.003334045E1,-2.776487350E1,-1.488415146E1
3.835574583E-1,4.098165894E1,-2.558116913E1,-1.614932632E1
4.034944583E-1,4.163813782E1,-2.387099457E1,-1.767591476E1
4.234324583E-1,4.206208801E1,-2.227037239E1,-1.887495422E1
4.433694583E-1,4.206300354E1,-2.088251877E1,-2.048111343E1
4.633064583E-1,4.154035950E1,-1.989285851E1,-2.251611710E1
4.832444583E-1,4.043145752E1,-1.955707359E1,-2.503989029E1
5.031814583E-1,3.877865601E1,-1.957376862E1,-2.692668915E1
5.231184583E-1,3.724157715E1,-1.983977127E1,-2.870180511E1
5.430564584E-1,3.539163208E1,-1.999638367E1,-3.075811386E1
5.629934584E-1,3.385487366E1,-2.026571083E1,-3.235429764E1
5.829304584E-1,3.218537903E1,-2.071855927E1,-3.374194717E1
6.028684584E-1,3.046458435E1,-2.065665054E1,-3.525867462E1
6.228054584E-1,2.817285156E1,-2.025027847E1,-3.748251343E1
6.427424584E-1,2.532829285E1,-1.960700798E1,-3.983255386E1
6.626804584E-1,2.218479919E1,-1.884866714E1,-4.177384186E1
6.826174584E-1,1.877909851E1,-1.840059280E1,-4.344987106E1
7.025554583E-1,1.552427673E1,-1.801070213E1,-4.520614243E1
7.224924583E-1,1.283547974E1,-1.777828407E1,-4.603237915E1
7.424294583E-1,1.034429932E1,-1.730314827E1,-4.685933304E1
7.623674583E-1,9.165267944E0,-1.702832794E1,-4.708213043E1
7.823044583E-1,7.040679932E0,-1.614590073E1,-4.773288727E1
8.022414583E-1,5.351730347E0,-1.570112801E1,-4.759465027E1
8.221794583E-1,3.734375000E0,-1.534049988E1,-4.769144058E1
8.421164583E-1,2.793594360E0,-1.558745003E1,-4.761323547E1
8.620534583E-1,2.527420044E0,-1.571157646E1,-4.722898865E1
8.819920834E-1,2.547332764E0,-1.623005104E1,-4.693855667E1
9.019290834E-1,2.134216309E0,-1.722588158E1,-4.584414673E1
9.218660834E-1,2.102401733E0,-1.833221245E1,-4.517388916E1
9.418040833E-1,1.900878906E0,-1.925575829E1,-4.377374268E1
9.617410833E-1,1.790115356E0,-2.007503891E1,-4.264450073E1
9.816790833E-1,1.455070496E0,-2.021305084E1,-4.178667831E1
1.001616083E0,-3.147354126E-1,-2.078225899E1,-4.194901276E1
1.021553083E0,-2.432579041E0,-2.152022743E1,-4.198951340E1
1.041491083E0,-2.768241882E0,-2.229924774E1,-4.209351349E1
1.061428083E0,-3.137695312E0,-2.219724274E1,-4.290397263E1
1.081365083E0,-3.423141479E0,-2.238289642E1,-4.342034149E1
1.101303083E0,-3.881309509E0,-2.241349983E1,-4.383528519E1
1.121240083E0,-3.853057861E0,-2.242166519E1,-4.459147644E1
1.141177083E0,-3.727867126E0,-2.287708855E1,-4.496126556E1
1.161115083E0,-3.228813171E0,-2.333767128E1,-4.530865479E1
1.181052083E0,-2.416130066E0,-2.476396561E1,-4.838653564E1
1.200990083E0,-4.850959778E0,-2.782648849E1,-6.183432770E1
1.220927083E0,-2.259070587E1,-1.779003716E1,-5.865774918E1
1.240864083E0,-2.066636658E1,-1.256936073E1,-4.042582321E1
1.260802083E0,-1.953050995E1,-1.788627243E1,-3.785411072E1
1.280739083E0,-2.183399200E1,-1.850338936E1,-3.914384460E1
1.300676083E0,-2.325669098E1,-1.641787910E1,-4.027816391E1
1.320614083E0,-2.456044006E1,-1.540666962E1,-3.978413773E1
1.340551083E0,-2.670438385E1,-1.662860870E1,-3.835933304E1
1.360489083E0,-2.836884308E1,-1.866119766E1,-3.629824829E1
1.380426083E0,-2.975678253E1,-2.029594994E1,-3.470343781E1
1.400363083E0,-3.058632660E1,-2.113300896E1,-3.372287750E1
1.420301083E0,-3.064912415E1,-2.091884613E1,-3.449140167E1
1.440238083E0,-3.049304199E1,-1.995685959E1,-3.513723373E1
1.460175083E0,-3.081447601E1,-1.915274811E1,-3.520417786E1
1.480113083E0,-3.163944244E1,-1.842378998E1,-3.474575806E1
1.500050083E0,-3.272915649E1,-1.859107971E1,-3.442398834E1
1.519988083E0,-3.385643005E1,-1.900931549E1,-3.324629974E1
1.539925083E0,-3.455892944E1,-1.930879211E1,-3.230221939E1
1.559862083E0,-3.550526428E1,-2.049660492E1,-3.056031799E1
1.579800083E0,-3.636933899E1,-2.171207428E1,-2.897282791E1
1.599737083E0,-3.696811676E1,-2.213911629E1,-2.740599442E1
1.619675083E0,-3.584368134E1,-2.308176422E1,-2.716677475E1
1.639612083E0,-3.324752808E1,-2.485062408E1,-2.819908905E1
1.659549083E0,-3.019448090E1,-2.755130386E1,-2.880196381E1
1.679487083E0,-2.794036102E1,-2.989349365E1,-2.921216965E1
1.699424083E0,-2.705449677E1,-3.035496712E1,-2.906452179E1
1.719362083E0,-2.675399017E1,-3.003826714E1,-2.902806854E1
1.739299083E0,-2.653096771E1,-2.946145248E1,-2.878268051E1
1.759236083E0,-2.629864502E1,-2.948886871E1,-2.838512802E1
1.779174083E0,-2.671733856E1,-2.955959511E1,-2.726368713E1
1.799111083E0,-2.770621490E1,-2.942849541E1,-2.635615540E1
1.819048083E0,-2.864830017E1,-2.858225632E1,-2.601379395E1
1.838986083E0,-2.987783813E1,-2.725826263E1,-2.673055267E1
1.858923083E0,-3.077085114E1,-2.575034904E1,-2.725681305E1
1.878861000E0,-3.168298340E1,-2.388274002E1,-2.792055893E1
1.898798000E0,-3.233118439E1,-2.219226837E1,-2.848938370E1
1.918735000E0,-3.215068054E1,-2.127289581E1,-2.909902954E1
1.938673000E0,-3.173469543E1,-2.106593704E1,-2.951984787E1
1.958610000E0,-3.117437744E1,-2.056556511E1,-2.999783325E1
1.978548000E0,-3.056598663E1,-1.995676422E1,-3.032783127E1
1.998485000E0,-2.986952209E1,-1.941894150E1,-3.070635605E1
2.018422000E0,-2.951143646E1,-1.889741325E1,-3.064493179E1
2.038360000E0,-2.903981781E1,-1.871597481E1,-3.005917358E1
2.058297000E0,-2.851470184E1,-1.921251488E1,-2.988933182E1
2.078235000E0,-2.833321381E1,-1.972249603E1,-2.956374359E1
2.098172000E0,-2.831060028E1,-2.023139000E1,-2.925508118E1
2.118109000E0,-2.829511261E1,-2.059388733E1,-2.921508789E1
2.138047000E0,-2.815251160E1,-2.060663414E1,-2.972510910E1
2.157984000E0,-2.785813141E1,-2.051869583E1,-3.076458359E1
2.177922000E0,-2.766690826E1,-2.044151688E1,-3.177228546E1
2.197859000E0,-2.768005371E1,-2.075017166E1,-3.237521362E1
2.217797000E0,-2.757909393E1,-2.125857544E1,-3.260915375E1
2.237734000E0,-2.755040741E1,-2.142500687E1,-3.317204666E1
2.257671000E0,-2.752723694E1,-2.155024719E1,-3.369702148E1
2.277609000E0,-2.683902740E1,-2.154492950E1,-3.457445526E1
2.297546000E0,-2.606659698E1,-2.224726486E1,-3.553557968E1
2.317484000E0,-2.578740692E1,-2.237743378E1,-3.573804474E1
2.337421000E0,-2.505213165E1,-2.280306625E1,-3.608793259E1
2.357358000E0,-2.427733612E1,-2.352335739E1,-3.682088470E1
2.377296000E0,-2.358995819E1,-2.400304794E1,-3.707106018E1
2.397233000E0,-2.252087402E1,-2.466275406E1,-3.762770462E1
