"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.123307228E-1,3.211689409E1,1.189504354E2,1.688241333E1,4.027651492E-1,2.358768809E2,4.733221750E0,4.733221750E0
1.812329888E0,3.211689846E1,1.189504352E2,1.674559071E1,0.000000000E0,2.396316067E2,4.709691469E0,4.709691469E0
2.812330127E0,3.211690346E1,1.189504243E2,1.669643050E1,6.207304631E-1,2.541699748E2,4.721501424E0,4.721501424E0
3.812329888E0,3.211690577E1,1.189504099E2,1.668019490E1,9.336897995E-1,2.542344979E2,4.719839415E0,4.719839415E0
4.812330842E0,3.211690989E1,1.189504056E2,1.676538248E1,7.271053543E-1,2.598127073E2,4.720399692E0,4.720399692E0
5.812331557E0,3.211690699E1,1.189503962E2,1.690512112E1,9.768458652E-1,2.507081325E2,4.716638966E0,4.716638966E0
6.812332511E0,3.211690600E1,1.189503873E2,1.698795056E1,9.541128806E-1,2.485430762E2,4.714524422E0,4.714524422E0
7.812332511E0,3.211688612E1,1.189503858E2,1.752943402E1,1.420796711E0,2.076261324E2,4.713121174E0,4.713121174E0
8.812334180E0,3.211689637E1,1.189504014E2,1.786815516E1,4.658822647E-1,1.552777059E2,4.712472762E0,4.712472762E0
9.812334895E0,3.211689868E1,1.189503741E2,1.809194824E1,9.811335849E-1,2.622279170E2,4.713892034E0,4.713892034E0
1.081233549E1,3.211689250E1,1.189503662E2,1.824672689E1,1.171050472E0,2.429925792E2,4.705173256E0,4.705173256E0
1.181233692E1,3.211688978E1,1.189503644E2,1.866508402E1,1.018844714E0,2.325590631E2,4.712067616E0,4.712067616E0
1.281233728E1,3.211688606E1,1.189503552E2,1.844880739E1,1.040395915E0,2.327301069E2,4.709996827E0,4.709996827E0
1.381233931E1,3.211688358E1,1.189503459E2,1.850484223E1,9.921157300E-1,2.358462447E2,4.694412144E0,4.694412144E0
1.481234050E1,3.211688507E1,1.189503451E2,1.985567008E1,5.726793657E-1,2.347061506E2,4.711218896E0,4.711218896E0
1.581234145E1,3.211687797E1,1.189503270E2,1.893335587E1,1.047315795E0,2.402322818E2,4.710443787E0,4.710443787E0
1.681234407E1,3.211687209E1,1.189503128E2,1.822468177E1,1.158372413E0,2.475614728E2,4.711280788E0,4.711280788E0
1.781234396E1,3.211686627E1,1.189503008E2,1.824131198E1,1.204062547E0,2.458503776E2,4.711545807E0,4.711545807E0
1.881234610E1,3.211686471E1,1.189502944E2,1.819149271E1,9.107499806E-1,2.470484277E2,4.710602498E0,4.710602498E0
1.981234848E1,3.211687132E1,1.189502967E2,1.757552789E1,3.899530175E-1,2.976570588E2,4.701489943E0,4.701489943E0
2.081235099E1,3.211685865E1,1.189502801E2,1.820405742E1,8.535071285E-1,2.645186862E2,4.712533654E0,4.712533654E0
2.181235087E1,3.211685606E1,1.189502693E2,1.729190498E1,7.582944397E-1,2.690762475E2,4.712533660E0,4.712533660E0
2.281235278E1,3.211685202E1,1.189502691E2,1.768448611E1,3.877428297E-1,2.768494006E2,4.708140094E0,4.708140094E0
2.381235540E1,3.211686002E1,1.189502560E2,1.818192425E1,8.472106852E-1,3.009113889E2,4.714052418E0,4.714052418E0
2.481235743E1,3.211686556E1,1.189502470E2,1.817466605E1,7.338847961E-1,3.050190006E2,4.713185002E0,4.713185002E0
2.581236267E1,3.211687021E1,1.189502414E2,1.779623802E1,6.399029546E-1,3.124104783E2,4.714245412E0,4.714245412E0
2.681236064E1,3.211687423E1,1.189502301E2,1.785083542E1,8.209442643E-1,3.091083021E2,4.711308321E0,4.711308321E0
2.781236243E1,3.211687005E1,1.189502220E2,1.824242744E1,6.095747818E-1,2.959788631E2,4.703508664E0,4.703508664E0
2.881236434E1,3.211686377E1,1.189502121E2,1.717048812E1,6.084685013E-1,2.680546711E2,4.714166190E0,4.714166190E0
2.981236613E1,3.211685239E1,1.189502019E2,1.764976398E1,8.754304262E-1,2.447534484E2,4.720396584E0,4.720396584E0
3.081236899E1,3.211684599E1,1.189501759E2,1.716162151E1,1.530438474E0,2.510208014E2,4.723395587E0,4.723395587E0
3.181236959E1,3.211683732E1,1.189501617E2,1.727598390E1,1.490261810E0,2.445149704E2,4.723868950E0,4.723868950E0
3.281237245E1,3.211682779E1,1.189501481E2,1.722094725E1,1.478405043E0,2.384242835E2,4.724025151E0,4.724025151E0
3.381237435E1,3.211682478E1,1.189501331E2,1.723827340E1,1.445897659E0,2.433377549E2,4.727032252E0,4.727032252E0
3.481237662E1,3.211682573E1,1.189501252E2,1.749636945E1,9.942808287E-1,2.528652848E2,4.729261795E0,4.729261795E0
3.581237864E1,3.211681968E1,1.189501236E2,1.764504480E1,5.173969569E-1,2.399097025E2,4.736130198E0,4.736130198E0
3.681238043E1,3.211681690E1,1.189501062E2,1.752348916E1,7.764454050E-1,2.562857413E2,4.736956923E0,4.736956923E0
3.781238246E1,3.211681664E1,1.189500921E2,1.730460572E1,6.405270012E-1,2.854206002E2,4.733469357E0,4.733469357E0
3.881238425E1,3.211681837E1,1.189500784E2,1.751216641E1,5.183410742E-1,2.934549964E2,4.737813235E0,4.737813235E0
3.981238735E1,3.211681931E1,1.189500544E2,1.591411446E1,8.957886321E-1,2.761179911E2,4.739543499E0,4.739543499E0
4.081238854E1,3.211683309E1,1.189500470E2,1.635770209E1,7.963493644E-1,3.071065980E2,4.741263649E0,4.741263649E0
4.181239200E1,3.211683633E1,1.189500409E2,1.635943654E1,8.704471939E-1,3.181857861E2,4.732971418E0,4.732971418E0
4.281239295E1,3.211682692E1,1.189500440E2,1.652204282E1,6.610275841E-1,3.151238791E2,4.730824326E0,4.730824326E0
4.381239522E1,3.211682713E1,1.189500402E2,1.625071098E1,4.250724297E-1,3.092247270E2,4.761969596E0,4.761969596E0
4.481239855E1,3.211682435E1,1.189500414E2,1.642060130E1,0.000000000E0,3.092247274E2,4.842006072E0,4.842006072E0
4.581240046E1,3.211682331E1,1.189500418E2,1.628073114E1,0.000000000E0,3.092247274E2,4.979656200E0,4.979656200E0
4.681240273E1,3.211681416E1,1.189500261E2,1.625896713E1,6.031765824E-1,2.252758075E2,5.088476579E0,5.088476579E0
4.781240499E1,3.211681534E1,1.189499972E2,1.666501695E1,1.076951523E0,2.492015395E2,5.204067957E0,5.204067957E0
4.881240678E1,3.211681009E1,1.189499867E2,1.656887957E1,1.199194276E0,2.461860779E2,5.183514230E0,5.183514230E0
4.981240880E1,3.211680055E1,1.189499910E2,1.657796321E1,1.046518334E0,2.402747243E2,5.286040773E0,5.286040773E0
5.081241179E1,3.211679288E1,1.189499803E2,1.722812950E1,1.110696234E0,2.350362999E2,5.471627461E0,5.471627461E0
5.181241369E1,3.211678327E1,1.189499658E2,1.672220134E1,1.269932306E0,2.335651904E2,5.917980775E0,5.917980775E0
5.281241572E1,3.211677675E1,1.189499492E2,1.706297424E1,1.356474163E0,2.357860371E2,5.670204395E0,5.670204395E0
