"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.468545840E-2,-7.244144708E-2,3.348463592E-1,-4.115960348E-1
4.462245840E-2,-1.103612253E-1,3.048349401E-1,-5.412434238E-1
6.456045830E-2,-5.499598682E-2,3.025255823E-1,-5.989414090E-1
8.449745830E-2,1.915004057E-1,2.808470303E-1,-4.053634876E-1
1.044344583E-1,4.444836992E-1,4.401333708E-1,-1.961682379E-1
1.243724583E-1,8.917880952E-1,7.211698508E-1,-7.289314449E-2
1.443094583E-1,1.804848069E0,8.569293344E-1,4.310391963E-1
1.642464583E-1,1.811187035E0,7.847548127E-2,5.300723183E-1
1.841844583E-1,1.246859096E0,-9.869474369E-1,1.011714488E0
2.041214583E-1,1.540996994E0,-2.628773671E-1,6.117824793E-2
2.240584583E-1,1.791362489E0,-4.916268754E-1,-9.104407132E-2
2.439964584E-1,2.722289361E0,-9.668107957E-1,6.438936335E-1
2.639334584E-1,3.251143412E0,-8.039167231E-1,-2.046630728E-1
2.838704584E-1,4.214691169E0,-9.950434917E-1,1.092825310E0
3.038084584E-1,3.289363152E0,-1.105681583E0,3.523824513E-2
3.237454584E-1,4.274459945E0,-1.359423260E0,-6.919600850E-1
3.436824584E-1,3.880353810E0,-1.803236284E0,-2.161891043E-1
3.636204583E-1,2.234452066E0,-2.347775198E0,6.228992057E-1
3.835574583E-1,-2.518808741E-2,-1.840788857E0,1.115796681E0
4.034944583E-1,2.333092255E0,-4.258432435E0,1.320453322E-1
4.234324583E-1,2.037175196E0,-3.882404428E0,2.802915448E-1
4.433694583E-1,2.091427709E0,-4.499700832E0,1.812449741E-1
4.633064583E-1,1.793871383E0,-4.673427456E0,1.677822863E0
4.832444583E-1,2.222431652E0,-7.244943438E0,7.337524742E-1
5.031814583E-1,7.298479228E-1,-7.017341738E0,1.241773188E-2
5.231184583E-1,4.209362309E-1,-6.427313240E0,-3.902735782E-1
5.430564584E-1,-7.780819702E-1,-6.686509200E0,1.829710722E-2
5.629934584E-1,-4.327642711E-1,-7.040248205E0,1.579352244E0
