"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.476683352E-2,-3.712150455E-2,1.227542609E-1,-3.935590852E-3
4.480883386E-2,-4.625344276E-1,-1.222807616E-1,4.419341683E-3
6.484983396E-2,-5.819699168E-1,-1.495528668E-1,9.630342573E-2
8.489183336E-2,-3.156283498E-1,-1.999361217E-1,1.034594476E-1
1.049328335E-1,7.682976872E-2,-2.790635228E-1,1.536210775E-1
1.249748338E-1,3.868474960E-1,-1.836656034E-1,2.574832141E-1
1.450158339E-1,5.176133513E-1,4.694283381E-2,3.139131367E-1
1.650578333E-1,3.487081528E-1,1.528103203E-1,2.982492149E-1
1.851028334E-1,-1.175886542E-1,1.401670277E-1,2.743318081E-1
2.051448338E-1,-6.045737863E-1,3.385292366E-2,2.856252193E-1
2.251858339E-1,-9.687348008E-1,-1.559612751E-1,3.358458877E-1
2.452278333E-1,-1.058021903E0,-2.145394385E-1,3.206973672E-1
2.652688334E-1,-9.042448997E-1,-1.960413754E-1,2.791377306E-1
2.853108337E-1,-6.541828513E-1,-1.782090515E-1,3.557474315E-1
3.053518338E-1,-3.917569518E-1,-2.124075443E-1,4.400850832E-1
3.253938332E-1,-1.514595300E-1,-1.578345448E-1,5.261322260E-1
3.454348333E-1,-2.254992165E-2,-5.546587706E-2,5.836014748E-1
3.654768337E-1,5.877721123E-3,1.688552462E-2,6.259469986E-1
3.855178338E-1,-6.047621369E-2,2.251972631E-2,6.162201166E-1
4.055598341E-1,-1.759892106E-1,5.558688939E-2,4.815598428E-1
4.256008333E-1,-2.555495799E-1,1.558469683E-1,3.390097916E-1
4.456428336E-1,-1.913389266E-1,2.374464720E-1,2.863995135E-1
4.656838337E-1,-5.789170787E-2,1.229865104E-1,3.270735443E-1
4.857258340E-1,6.441204250E-2,-6.808708608E-2,3.710643053E-1
5.057668332E-1,1.909134537E-1,-1.365429610E-1,3.705116212E-1
5.258088335E-1,3.419365883E-1,-1.975923404E-2,3.558019996E-1
5.458508339E-1,3.783963919E-1,1.446070075E-1,3.702289462E-1
5.658918340E-1,1.928078681E-1,9.641953558E-2,3.598759770E-1
5.859338334E-1,-1.443282217E-1,-3.288280964E-1,2.628995478E-1
6.059748335E-1,-5.078684092E-1,-6.714747548E-1,1.213512719E-1
6.260168338E-1,-8.635849357E-1,-5.989277959E-1,-6.884517521E-2
