"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.476683352E-2,2.363898457E-1,1.287609658E0,1.856940036E0
4.480883386E-2,1.261769935E-1,1.416885456E0,2.373989435E0
6.484983396E-2,-6.171929810E-1,1.794822433E0,2.203348387E0
8.489183336E-2,-1.420257253E0,5.398066168E-1,1.949389193E0
1.049328335E-1,-1.243985336E0,-1.276988921E0,2.140480294E0
1.249748338E-1,-6.986860641E-1,-1.662661764E0,4.271198076E-1
1.450158339E-1,-8.131037222E-1,-1.507400647E0,-1.544350811E0
1.650578333E-1,-1.384585145E0,-1.092137239E0,-1.906337898E0
1.851028334E-1,-1.963960747E0,-5.714744058E-1,-6.267683083E-1
2.051448338E-1,-2.188868050E0,-7.031126256E-1,-2.213381624E-1
2.251858339E-1,-1.685530809E0,-3.611716935E-1,2.955077541E-1
2.452278333E-1,-1.238332979E0,-8.117674872E-2,4.070656121E-2
2.652688334E-1,-7.547157656E-1,2.440649009E-1,-3.406839269E-1
2.853108337E-1,-3.384588421E-1,7.680055366E-1,-7.503480417E-1
3.053518338E-1,4.323000021E-2,8.496314976E-1,-1.111617676E0
3.253938332E-1,1.527875988E-1,9.652707122E-1,-1.440078583E0
3.454348333E-1,9.646506149E-2,7.123907682E-1,-1.474822739E0
3.654768337E-1,4.479332641E-3,6.463214705E-1,-1.348150413E0
3.855178338E-1,-2.837287574E-1,5.515728226E-1,-1.123892151E0
4.055598341E-1,-3.550115056E-1,5.387956332E-1,-1.004965047E0
4.256008333E-1,-3.728431014E-1,1.023260473E0,-9.121913695E-1
4.456428336E-1,-7.556225225E-1,1.492159148E0,-7.164213270E-1
4.656838337E-1,-1.135885375E0,1.773114352E0,-1.909203619E-1
4.857258340E-1,-1.168142125E0,1.903275712E0,7.752121568E-2
5.057668332E-1,-8.637822711E-1,1.722058512E0,9.631299734E-2
5.258088335E-1,-7.593700030E-1,1.649191680E0,-9.699302852E-2
5.458508339E-1,-6.041907834E-1,1.519999496E0,2.080012482E-1
5.658918340E-1,-8.594519694E-1,1.182089562E0,8.907250714E-1
5.859338334E-1,-9.906659737E-1,9.571105573E-1,1.744265360E0
6.059748335E-1,-4.200364906E-1,1.056448685E0,1.562992904E0
6.260168338E-1,2.509016665E-1,1.406044572E0,1.078010804E0
6.460578339E-1,6.571796769E-1,1.464757342E0,1.332278146E0
6.660998333E-1,8.948382953E-1,1.410641361E0,1.567488243E0
6.861412087E-1,3.010298463E-1,5.557599407E-1,1.212242995E0
7.061832091E-1,2.850767051E-1,-4.036525558E-1,8.759333700E-1
7.262242083E-1,5.305254044E-1,-8.684373126E-1,-5.693597603E-1
7.462662086E-1,9.176119577E-1,-8.355777879E-1,-1.264625861E0
7.663072087E-1,6.667267182E-1,-9.534725659E-1,-4.249078059E-1
7.863492090E-1,1.474157070E-1,-1.178434906E0,6.283055413E-1
8.063902082E-1,1.518686175E-1,-1.612832816E0,5.491038358E-1
8.264322085E-1,5.178121324E-1,-1.680496210E0,-1.923242784E-1
8.464732086E-1,6.154565772E-1,-1.582044886E0,-8.297748649E-1
8.665152090E-1,5.236887668E-1,-1.445147535E0,-1.161326026E0
8.865562091E-1,4.117960095E-1,-1.479288404E0,-1.170202684E0
9.065982085E-1,2.213134031E-1,-9.580819990E-1,-1.151091059E0
9.266392086E-1,1.624136872E-1,-3.379789684E-1,-1.319186815E0
9.466812089E-1,2.977896483E-1,3.917258073E-2,-1.304129650E0
9.667222090E-1,5.196042674E-1,1.499198319E-1,-1.457183443E0
9.867642084E-1,4.202743991E-1,1.335785818E-1,-1.551428280E0
1.006805209E0,4.613190391E-1,1.907126395E-1,-1.295124353E0
1.026847209E0,5.081184721E-1,1.089592457E-1,-1.134488475E0
1.046888209E0,5.869924411E-1,1.013381310E-1,-9.775170475E-1
1.066930208E0,6.897169469E-1,2.614326663E-1,-1.010846177E0
1.086971208E0,7.474412446E-1,4.728162365E-1,-8.577549613E-1
1.107013209E0,6.972211173E-1,5.261761358E-1,-1.575619966E-1
1.127055208E0,3.921669797E-1,4.635014392E-1,8.690044194E-1
1.147096208E0,2.351715052E-1,2.055291916E-1,1.255373812E0
1.167138209E0,7.968709745E-2,2.245305594E-1,1.293055024E0
1.187179209E0,-2.979472855E-1,3.086349360E-1,1.440380884E0
1.207221209E0,-9.263422892E-1,3.698464034E-1,1.841011051E0
1.227262208E0,-1.327015798E0,1.526541361E-1,2.379819109E0
1.247304209E0,-1.236676316E0,-9.238556877E-2,1.990063010E0
1.267345209E0,-6.783932291E-1,-2.954736575E-1,1.349038605E0
1.287387209E0,-6.292564447E-1,-4.173051830E-1,9.304609948E-1
1.307428208E0,-1.040838373E0,-6.562009992E-1,5.738276178E-1
1.327470209E0,-1.359955064E0,-1.132924272E0,6.329008681E-1
1.347511209E0,-1.383337934E0,-1.411586856E0,6.047161192E-1
1.367553209E0,-1.203758685E0,-1.325313235E0,7.194443375E-1
