"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.846199512E-2,3.211684689E1,1.189494296E2,1.639128494E1,-1.000000000E0,-1.000000000E0,5.895684277E2,5.895684277E2
2.142558813E0,3.211606444E1,1.189483101E2,1.893668700E0,1.039415121E0,-1.000000000E0,1.190538080E2,1.190538080E2
3.142560720E0,3.211644315E1,1.189489824E2,1.776797927E1,1.039415121E0,-1.000000000E0,6.665205683E1,6.665205683E1
4.142562389E0,3.211654428E1,1.189491499E2,1.785662547E1,9.949690700E-1,-1.000000000E0,4.912557624E1,4.912557624E1
5.142565012E0,3.211661710E1,1.189492333E2,1.787149928E1,9.949690700E-1,1.793971973E2,3.465242882E1,3.465242882E1
6.142567039E0,3.211664497E1,1.189492845E2,1.784537715E1,1.759367466E0,2.022295231E2,2.612343002E1,2.612343002E1
7.142586827E0,3.211664992E1,1.189493087E2,1.783826845E1,1.759367466E0,2.102716227E2,2.047123491E1,2.047123491E1
8.142101526E0,3.211665091E1,1.189493379E2,1.783625967E1,1.254028320E0,1.840698267E2,1.567523531E1,1.567523531E1
9.142414570E0,3.211665026E1,1.189493697E2,1.783657741E1,1.172881246E0,1.676420699E2,1.356249884E1,1.356249884E1
1.014251626E1,3.211665802E1,1.189494028E2,1.785702215E1,1.100176215E0,1.793540265E2,1.103921060E1,1.103921060E1
1.114279270E1,3.211664796E1,1.189494180E2,1.783520355E1,1.090259671E0,1.606265663E2,9.623610542E0,9.623610542E0
1.228280210E1,3.211664320E1,1.189494216E2,1.781584440E1,1.090259671E0,1.612658117E2,1.554786064E1,1.554786064E1
1.328284669E1,3.211664158E1,1.189494312E2,1.783929860E1,9.329125881E-1,1.401031153E2,1.390036018E1,1.390036018E1
1.428297019E1,3.211663512E1,1.189494376E2,1.783929867E1,9.329125881E-1,1.401031187E2,1.390036018E1,1.390036018E1
1.528311968E1,3.211663386E1,1.189494475E2,1.784927302E1,8.925217390E-1,1.199348743E2,8.780391973E0,8.780391973E0
1.628249478E1,3.211662352E1,1.189494469E2,1.784017469E1,8.655943274E-1,1.289798784E2,8.271870229E0,8.271870229E0
1.728267050E1,3.211661711E1,1.189494399E2,1.787025180E1,8.655943274E-1,1.449599615E2,7.901088979E0,7.901088979E0
1.828304970E1,3.211660119E1,1.189494423E2,1.786603297E1,8.655943274E-1,1.536594711E2,7.708634770E0,7.708634770E0
1.928319454E1,3.211657443E1,1.189494289E2,1.786642979E1,9.784718156E-1,1.590746431E2,8.309152503E0,8.309152503E0
2.028367674E1,3.211655944E1,1.189494270E2,1.784203995E1,8.517194986E-1,1.472967593E2,1.061364417E1,1.061364417E1
2.123378015E1,3.211653274E1,1.189494118E2,1.777425036E1,9.633412957E-1,1.555014555E2,1.391494993E1,1.391494993E1
2.220127356E1,3.211652419E1,1.189494145E2,1.779656120E1,9.633412957E-1,1.607077175E2,6.662842233E0,6.662842233E0
2.320139837E1,3.211651486E1,1.189494154E2,1.781547259E1,1.051335096E0,1.659911184E2,1.033000196E1,1.033000196E1
2.420150840E1,3.211650682E1,1.189494141E2,1.782238116E1,1.051335096E0,1.631867749E2,7.775631167E0,7.775631167E0
2.520163524E1,3.211650542E1,1.189494154E2,1.789078484E1,9.088477492E-1,1.363660298E2,1.721591515E1,1.721591515E1
2.620206940E1,3.211650761E1,1.189494146E2,1.795008051E1,1.153558969E0,1.044769218E2,1.287242123E1,1.287242123E1
2.720218647E1,3.211651014E1,1.189494135E2,1.797818709E1,9.088477492E-1,9.920873877E1,1.386970023E1,1.386970023E1
2.820229673E1,3.211652385E1,1.189494193E2,1.801807470E1,7.367748022E-1,8.874992053E1,1.400070873E1,1.400070873E1
2.920240176E1,3.211654002E1,1.189494236E2,1.804756273E1,4.617575109E-1,6.826493570E1,1.762145141E1,1.762145141E1
3.020250273E1,3.211654624E1,1.189494304E2,1.806682582E1,4.617575109E-1,8.911723004E1,1.974363761E1,1.974363761E1
3.120259619E1,3.211656018E1,1.189494392E2,1.806808536E1,4.617575109E-1,6.784224907E1,1.082339877E1,1.082339877E1
3.220268798E1,3.211656969E1,1.189494519E2,1.808710822E1,7.439126968E-1,6.163262522E1,9.018494039E0,9.018494039E0
3.320277262E1,3.211659283E1,1.189494740E2,1.805871900E1,8.428677320E-1,4.338532692E1,6.678069071E0,6.678069071E0
3.420285487E1,3.211662551E1,1.189494735E2,1.822675864E1,7.444111948E-1,5.389644230E1,5.550876357E0,5.550876357E0
