"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.011187493E-2,-3.804059625E-1,-7.700251415E-3,2.140795738E-1
6.004987494E-2,-3.236716688E-1,3.600725532E-2,1.286562830E-1
7.998787495E-2,-1.595860273E-1,4.830158502E-2,3.672724962E-2
9.992587497E-2,-2.943481319E-2,3.517444059E-2,-6.407446414E-2
1.198638750E-1,5.749835819E-2,-2.728664503E-2,-1.673574448E-1
1.398018750E-1,8.984087408E-2,-9.764103219E-3,-2.703665495E-1
1.597398750E-1,1.569271833E-1,8.207354695E-2,-3.503633142E-1
1.796778749E-1,3.946104050E-1,1.578999013E-1,-3.948795497E-1
1.996158749E-1,5.706147552E-1,1.274347007E-1,-4.355212450E-1
2.195538749E-1,5.263160467E-1,1.444376558E-1,-4.919278920E-1
2.394918749E-1,2.170186788E-1,1.524243802E-1,-5.921096206E-1
2.594298749E-1,-2.364449054E-1,1.921017617E-1,-8.251046538E-1
2.793688750E-1,-4.202318788E-1,4.529152215E-1,-1.044694185E0
2.993066249E-1,-3.360102177E-1,6.112521291E-1,-1.230236292E0
3.192446249E-1,-2.787046134E-1,4.474225342E-1,-1.402157307E0
3.391826249E-1,-2.719353139E-1,2.351609021E-1,-1.503292203E0
3.591206250E-1,-2.360278964E-1,1.361777633E-1,-1.491506577E0
3.790586250E-1,-2.106415033E-1,7.432615012E-2,-1.407131791E0
3.989966250E-1,-2.121776044E-1,1.692278497E-2,-1.361274958E0
4.189346250E-1,-2.210046053E-1,-5.563688651E-2,-1.356952190E0
4.388726249E-1,-1.838880479E-1,-1.095687971E-1,-1.343488574E0
4.588106249E-1,-8.996078372E-2,-5.986261368E-2,-1.318262100E0
4.787486249E-1,9.193857759E-2,1.081626639E-1,-1.255566239E0
4.986866249E-1,2.506932318E-1,2.287505418E-1,-1.175689459E0
5.186246249E-1,3.576909602E-1,2.396466732E-1,-1.116566300E0
5.385636250E-1,3.662931323E-1,2.231334448E-1,-1.080373049E0
5.585016250E-1,2.907539010E-1,2.165467441E-1,-1.044612408E0
5.784396250E-1,2.020412236E-1,2.327621579E-1,-9.866496325E-1
5.983776250E-1,1.217411011E-1,3.077855408E-1,-8.636332750E-1
6.183156249E-1,6.160648167E-2,3.633757830E-1,-7.186829448E-1
6.382536249E-1,6.459949911E-2,3.517869711E-1,-6.012744904E-1
6.581916249E-1,1.247050166E-1,2.837448716E-1,-4.956343770E-1
6.781296249E-1,1.933617145E-1,1.712170392E-1,-3.874487877E-1
6.980676249E-1,2.107833773E-1,-2.458359115E-2,-2.961929142E-1
7.180056249E-1,1.244199499E-1,-2.978762388E-1,-2.577487826E-1
7.379436250E-1,8.148901910E-2,-3.798769414E-1,-1.856435984E-1
7.578816250E-1,1.457512975E-1,-3.220448792E-1,-1.577954441E-1
7.778196250E-1,2.194665670E-1,-1.001301408E-1,-1.624206603E-1
7.977586249E-1,1.878636628E-1,4.637825303E-3,-2.232796550E-1
8.176966249E-1,1.306250095E-1,2.827688456E-1,-3.593328297E-1
8.376346249E-1,8.257858455E-2,6.043180823E-1,-5.377873182E-1
8.575726249E-1,5.175793543E-2,7.540411949E-1,-7.512671351E-1
8.775106249E-1,-1.142908931E-1,7.038566470E-1,-1.012467384E0
8.974486249E-1,-4.864752591E-1,6.028754115E-1,-1.303837419E0
9.173866250E-1,-6.529763937E-1,3.703100979E-1,-1.662592888E0
9.373246250E-1,-5.350813270E-1,-6.609668732E-1,-1.997215271E0
9.572626250E-1,-4.269770086E-1,-1.798541307E0,-1.728836536E0
9.772006250E-1,-2.574753463E-1,-1.379356027E0,-9.889994264E-1
9.971386249E-1,-1.886922121E-1,-4.105359614E-1,-2.885843515E-1
1.017076625E0,-1.000248492E-1,-3.280202746E-1,-4.126191884E-2
1.037014625E0,-5.376529321E-2,-4.527626932E-1,1.456695348E-1
1.056953625E0,-2.737743221E-2,-4.904837310E-1,3.288092613E-1
1.076891625E0,-1.143316776E-1,-6.376973987E-1,4.750158191E-1
1.096829625E0,-2.694941163E-1,-8.659455776E-1,6.550598145E-1
1.116767625E0,-5.347242355E-1,-1.527997971E0,6.878409982E-1
1.136705625E0,-9.231820107E-1,-1.750002146E0,5.967169404E-1
1.156643625E0,-1.075275898E0,-1.785898209E0,5.529203415E-1
1.176581625E0,-9.137184024E-1,-1.165403605E0,5.954128504E-1
1.196519625E0,-3.931655288E-1,-5.718485266E-2,5.632442236E-1
1.216457625E0,-7.029129565E-2,9.439835325E-3,5.810754895E-1
1.236395625E0,-1.830774732E-2,2.638569474E-1,7.325421572E-1
1.256333625E0,-1.870405078E-1,3.947989047E-1,1.084305882E0
1.276271625E0,-4.694131613E-1,8.209244907E-2,1.480390549E0
1.296209542E0,-6.716378331E-1,-7.836021185E-1,1.741493344E0
1.316147542E0,-8.297556639E-1,-1.399520040E0,1.063949704E0
1.336086542E0,-8.185265064E-1,-7.153512239E-1,1.827766187E-2
1.356024542E0,-5.209881067E-1,3.612843454E-1,-3.532659709E-1
1.375962542E0,-2.000952512E-1,5.453721881E-1,-2.475264072E-1
1.395900542E0,-4.406804442E-1,4.050334394E-1,-1.008040756E-1
1.415838542E0,-6.556063294E-1,5.791443586E-1,3.064787015E-2
1.435776542E0,-5.448592305E-1,9.858471751E-1,1.041562632E-1
1.455714542E0,-3.438397348E-1,1.212633491E0,2.596530914E-1
1.475652542E0,-2.185126841E-1,1.115791917E0,3.007345796E-1
1.495590542E0,-8.322586864E-2,1.027196646E0,2.365402281E-1
1.515528542E0,-3.515013307E-2,6.277713776E-1,9.754302911E-3
1.535466542E0,1.493917778E-2,2.202703208E-1,-4.439343885E-2
1.555404542E0,3.148927912E-2,-1.629832238E-1,-3.137449175E-2
1.575342542E0,-1.277976185E-1,-8.312430382E-1,-1.180792004E-1
1.595280542E0,-3.239775002E-1,-1.591072917E0,-2.751632631E-1
1.615218542E0,-2.995397337E-2,-1.212215304E0,-5.243309140E-1
1.635157542E0,3.967640996E-1,-4.613786340E-1,-8.800540566E-1
1.655095542E0,6.425237656E-1,1.216336563E-1,-9.704552889E-1
1.675033542E0,4.846518338E-1,4.297035933E-1,-6.852638721E-1
1.694971542E0,1.016572490E-1,7.600434422E-1,-1.747883856E-1
1.714909542E0,-1.702394783E-1,7.485101819E-1,2.241368294E-1
1.734847542E0,2.573329769E-2,5.690129399E-1,3.153998852E-1
1.754785542E0,4.870270491E-1,4.709814787E-1,2.272373587E-1
1.774723542E0,5.421128869E-1,2.903841063E-2,-6.279792637E-2
1.794661542E0,2.423313558E-1,-7.352491468E-2,-3.608375192E-1
1.814599542E0,-3.310157917E-3,3.795091212E-1,-4.166762829E-1
1.834537542E0,-5.623256564E-1,1.411928982E-1,-4.806631804E-1
1.854475542E0,-1.377037525E0,-4.093703926E-1,-3.775014579E-1
1.874413542E0,-1.707415700E0,-3.603160381E-1,-1.597447097E-1
1.894351542E0,-1.486058474E0,2.016629279E-1,-1.982950978E-2
1.914289542E0,-1.212646127E0,3.665717244E-1,-2.487442456E-2
1.934227542E0,-8.889212608E-1,3.663887680E-1,-2.722528763E-2
1.954166542E0,-4.775600135E-1,3.285483122E-1,2.815958858E-2
1.974104542E0,-6.172817200E-2,3.418651819E-1,1.510905772E-1
1.994042542E0,2.860139608E-1,4.312946200E-1,2.610368729E-1
2.013980542E0,4.822421670E-1,3.646412194E-1,2.720886171E-1
2.033918542E0,5.060846806E-1,3.598815501E-1,1.819894612E-1
