"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.544779167E-2,3.374954224E1,-2.039641953E1,-3.000320435E1
3.548779245E-2,3.405986023E1,-2.047969437E1,-3.002600098E1
5.552779231E-2,3.431523895E1,-1.993770981E1,-3.006643677E1
7.556779217E-2,3.445969391E1,-1.939209366E1,-3.063562012E1
9.560779203E-2,3.454753876E1,-1.885398483E1,-3.071710205E1
1.156477919E-1,3.478948212E1,-1.862714005E1,-3.056112671E1
1.356877917E-1,3.471936798E1,-1.820351028E1,-3.111389160E1
1.557277925E-1,3.445031738E1,-1.845662308E1,-3.149810791E1
1.757677924E-1,3.440827942E1,-1.802468491E1,-3.219488525E1
1.958077922E-1,3.444420624E1,-1.793074417E1,-3.197250366E1
2.158487923E-1,3.472522736E1,-1.810618973E1,-3.163095093E1
2.358887922E-1,3.459622192E1,-1.810549545E1,-3.130743408E1
2.559287921E-1,3.463663483E1,-1.787440109E1,-3.129135132E1
2.759687919E-1,3.457150269E1,-1.755249405E1,-3.171279907E1
2.960087918E-1,3.458776093E1,-1.722079849E1,-3.165020752E1
3.160487926E-1,3.490877533E1,-1.687496567E1,-3.159503174E1
3.360887924E-1,3.481437683E1,-1.645567703E1,-3.178305054E1
3.561287923E-1,3.506999969E1,-1.562356949E1,-3.236517334E1
3.761687921E-1,3.471026611E1,-1.525262833E1,-3.272305298E1
3.962087920E-1,3.439849854E1,-1.520637894E1,-3.299542236E1
4.162487919E-1,3.372155762E1,-1.542993546E1,-3.325469971E1
4.362897919E-1,3.350975800E1,-1.601789474E1,-3.320245361E1
4.563297918E-1,3.352951813E1,-1.679092026E1,-3.337329102E1
4.763697917E-1,3.357798004E1,-1.713576889E1,-3.294223022E1
4.964097925E-1,3.357363129E1,-1.794856644E1,-3.289004517E1
5.164497923E-1,3.340995026E1,-1.809814835E1,-3.287997437E1
5.364897922E-1,3.297428894E1,-1.815873337E1,-3.324383545E1
5.565297920E-1,3.240028381E1,-1.821328354E1,-3.372729492E1
5.765697919E-1,3.190093231E1,-1.829884720E1,-3.386541748E1
5.966097917E-1,3.185648346E1,-1.849749374E1,-3.422689819E1
6.166497925E-1,3.118100739E1,-1.856082535E1,-3.421035767E1
6.366897924E-1,3.091475677E1,-1.910091019E1,-3.461077881E1
6.567307925E-1,3.057962036E1,-1.939023209E1,-3.471133423E1
6.767707923E-1,3.039798737E1,-1.988747025E1,-3.477301025E1
6.968107922E-1,3.019815826E1,-1.990053177E1,-3.447454834E1
7.168507921E-1,3.008055115E1,-1.991040421E1,-3.463687134E1
7.368907919E-1,3.035350800E1,-1.993417740E1,-3.402923584E1
7.569307918E-1,3.023310089E1,-1.982376480E1,-3.405270386E1
7.769707926E-1,3.033290863E1,-2.065893173E1,-3.430310059E1
7.970107924E-1,3.030776978E1,-2.125652695E1,-3.395095825E1
8.170507923E-1,3.024864197E1,-2.124840164E1,-3.373379517E1
8.370907921E-1,3.032236481E1,-2.157490921E1,-3.367864990E1
8.571317922E-1,3.056113434E1,-2.109891891E1,-3.368218994E1
8.771717921E-1,3.029882050E1,-2.091563034E1,-3.393780518E1
8.972117919E-1,3.022891998E1,-2.089458084E1,-3.437164307E1
9.172516251E-1,3.036049652E1,-2.103274918E1,-3.351007080E1
9.372916259E-1,3.033711243E1,-2.142179489E1,-3.325268555E1
9.573316257E-1,3.057138824E1,-2.160660172E1,-3.333584595E1
9.773716256E-1,3.056249237E1,-2.213364792E1,-3.347650146E1
9.974116255E-1,3.049383545E1,-2.229196548E1,-3.301336670E1
1.017451625E0,3.065636444E1,-2.287033463E1,-3.275167847E1
1.037491625E0,3.124451447E1,-2.244079971E1,-3.279281616E1
1.057532625E0,3.102799225E1,-2.204887009E1,-3.307687378E1
1.077572625E0,3.138590240E1,-2.170089340E1,-3.319448853E1
1.097612625E0,3.153197479E1,-2.093781662E1,-3.306695557E1
1.117652626E0,3.194944763E1,-2.058588028E1,-3.302072144E1
1.137692626E0,3.249935150E1,-2.009456253E1,-3.289343262E1
1.157732625E0,3.280902863E1,-1.978136826E1,-3.236578369E1
1.177772625E0,3.314401245E1,-1.943436813E1,-3.274914551E1
1.197812625E0,3.348996735E1,-1.939634323E1,-3.192037964E1
1.217852625E0,3.417037964E1,-1.927573776E1,-3.164700317E1
1.237893625E0,3.409657288E1,-1.899189377E1,-3.197567749E1
1.257933625E0,3.406352234E1,-1.896050644E1,-3.234005737E1
1.277973626E0,3.397558594E1,-1.930678940E1,-3.207614136E1
1.298013626E0,3.399844360E1,-1.961344528E1,-3.227697754E1
1.318053626E0,3.386222839E1,-1.948772049E1,-3.190255737E1
1.338093625E0,3.363656616E1,-1.961219406E1,-3.194326782E1
1.358133625E0,3.365739441E1,-1.970974350E1,-3.162637329E1
1.378173625E0,3.357491302E1,-1.942152786E1,-3.174548340E1
1.398213626E0,3.379325867E1,-1.920180130E1,-3.191784668E1
1.418253626E0,3.366866302E1,-1.885641098E1,-3.193844604E1
1.438294626E0,3.350287628E1,-1.870689774E1,-3.243414307E1
1.458334626E0,3.366967773E1,-1.810071182E1,-3.271087646E1
1.478374626E0,3.353353882E1,-1.734660721E1,-3.311795044E1
1.498414625E0,3.295449066E1,-1.723302841E1,-3.317709351E1
1.518454625E0,3.322066498E1,-1.735562515E1,-3.339224243E1
1.538494625E0,3.334595490E1,-1.792264175E1,-3.321838379E1
1.558534625E0,3.344498444E1,-1.781529617E1,-3.315386963E1
1.578574626E0,3.331602478E1,-1.773926926E1,-3.351443481E1
1.598614626E0,3.309484863E1,-1.738263321E1,-3.432739258E1
1.618655626E0,3.298977661E1,-1.684101486E1,-3.396051025E1
1.638695626E0,3.297006989E1,-1.681087112E1,-3.427087402E1
1.658735625E0,3.303638458E1,-1.694876480E1,-3.383282471E1
1.678775625E0,3.321380615E1,-1.680607986E1,-3.389566040E1
1.698815625E0,3.323428345E1,-1.659473038E1,-3.376986694E1
1.718855625E0,3.297355652E1,-1.684364700E1,-3.400677490E1
1.738895626E0,3.269944000E1,-1.695885086E1,-3.469201660E1
1.758935626E0,3.253346252E1,-1.678470993E1,-3.457800293E1
1.778975626E0,3.243830109E1,-1.722574997E1,-3.426568604E1
