"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
3.940721786E1,3.211529989E1,1.189504860E2,1.584747246E1,1.356524879E0,1.959422638E2,4.874289416E0,4.874289416E0
4.040722072E1,3.211529028E1,1.189504789E2,1.590350799E1,1.291522434E0,1.960732852E2,4.867621543E0,4.867621543E0
4.140722454E1,3.211528115E1,1.189504680E2,1.623112941E1,1.255457840E0,2.020247552E2,4.859422944E0,4.859422944E0
4.240722716E1,3.211527262E1,1.189504536E2,1.617814196E1,1.280503149E0,2.145952177E2,4.848184043E0,4.848184043E0
4.340723038E1,3.211526316E1,1.189504505E2,1.596850649E1,1.170246324E0,2.139933514E2,4.841837250E0,4.841837250E0
4.440723395E1,3.211525098E1,1.189504438E2,1.602991459E1,1.207195427E0,2.148241546E2,4.838404108E0,4.838404108E0
4.540724015E1,3.211523792E1,1.189504406E2,1.601985971E1,1.148645096E0,2.136471511E2,4.841260705E0,4.841260705E0
4.640724158E1,3.211522265E1,1.189504428E2,1.610024594E1,1.059963558E0,2.143802605E2,4.846575242E0,4.846575242E0
4.740724540E1,3.211520729E1,1.189504431E2,1.607218008E1,1.210820490E0,2.042649238E2,4.846089533E0,4.846089533E0
4.840724909E1,3.211519614E1,1.189504475E2,1.611271658E1,1.114958861E0,1.956419177E2,4.849334260E0,4.849334260E0
4.940725386E1,3.211519160E1,1.189504543E2,1.644645403E1,8.779506386E-1,1.875698468E2,4.851492612E0,4.851492612E0
5.040725815E1,3.211518976E1,1.189504628E2,1.649762164E1,6.249523978E-1,1.789469961E2,4.849511011E0,4.849511011E0
5.140726209E1,3.211518526E1,1.189504670E2,1.669583662E1,6.143602981E-1,1.814088551E2,4.845615602E0,4.845615602E0
5.240726674E1,3.211517700E1,1.189504712E2,1.617041847E1,7.399002302E-1,1.839439085E2,4.829349366E0,4.829349366E0
5.340727067E1,3.211516818E1,1.189504731E2,1.657314784E1,8.274781623E-1,1.855906736E2,4.824653507E0,4.824653507E0
5.440727603E1,3.211515988E1,1.189504783E2,1.671318939E1,7.595446042E-1,1.857418093E2,4.829277714E0,4.829277714E0
5.540728021E1,3.211514789E1,1.189504831E2,1.670489591E1,9.599155050E-1,1.809303202E2,4.841387430E0,4.841387430E0
5.640728378E1,3.211514043E1,1.189504946E2,1.628972542E1,7.788487202E-1,1.653927563E2,4.844461410E0,4.844461410E0
5.740728855E1,3.211513457E1,1.189504999E2,1.622965801E1,3.928932355E-1,1.609328875E2,4.845624018E0,4.845624018E0
5.840729392E1,3.211512858E1,1.189505000E2,1.628730915E1,0.000000000E0,1.609328881E2,4.855457244E0,4.855457244E0
5.940729880E1,3.211511915E1,1.189505000E2,1.625458010E1,0.000000000E0,1.609328889E2,4.874963430E0,4.874963430E0
6.040730262E1,3.211511582E1,1.189505006E2,1.616768734E1,0.000000000E0,1.609328894E2,4.888726503E0,4.888726503E0
6.140730691E1,3.211511201E1,1.189505059E2,1.612343918E1,0.000000000E0,1.609328914E2,4.898648562E0,4.898648562E0
6.240731275E1,3.211510929E1,1.189505140E2,1.604240091E1,0.000000000E0,1.609328942E2,4.887489702E0,4.887489702E0
6.340731633E1,3.211509896E1,1.189505255E2,1.600189685E1,0.000000000E0,1.609328988E2,4.854993492E0,4.854993492E0
6.440732229E1,3.211509649E1,1.189505335E2,1.594812002E1,0.000000000E0,1.609329015E2,4.850303120E0,4.850303120E0
6.540732634E1,3.211509013E1,1.189505378E2,1.601980916E1,0.000000000E0,1.609329035E2,4.854662422E0,4.854662422E0
6.640733051E1,3.211507663E1,1.189505505E2,1.615588905E1,7.987368774E-1,1.546925284E2,4.863844888E0,4.863844888E0
6.740733612E1,3.211507556E1,1.189505603E2,1.600092311E1,5.983974232E-1,1.425824421E2,4.867407019E0,4.867407019E0
6.840734053E1,3.211505979E1,1.189505668E2,1.615833576E1,7.267267077E-1,1.520913803E2,4.869131216E0,4.869131216E0
6.940734553E1,3.211505008E1,1.189505672E2,1.614080939E1,6.647194808E-1,1.670691528E2,4.878330551E0,4.878330551E0
7.040735161E1,3.211502988E1,1.189505607E2,1.613878614E1,9.194486271E-1,1.857495867E2,4.871663958E0,4.871663958E0
7.140735543E1,3.211501647E1,1.189505645E2,1.603136591E1,8.663446748E-1,1.836228374E2,4.871844162E0,4.871844162E0
7.240736139E1,3.211500604E1,1.189505619E2,1.613235983E1,9.577560714E-1,1.857013877E2,4.879059299E0,4.879059299E0
7.340736544E1,3.211498773E1,1.189505562E2,1.600893472E1,1.146940049E0,1.865886096E2,4.879866336E0,4.879866336E0
7.440737092E1,3.211497183E1,1.189505484E2,1.587080455E1,8.670078733E-1,1.909848554E2,4.886817664E0,4.886817664E0
7.540737557E1,3.211495286E1,1.189505391E2,1.609918509E1,9.502465355E-1,1.990441851E2,4.896730238E0,4.896730238E0
7.640738153E1,3.211493353E1,1.189505322E2,1.616226351E1,9.799074373E-1,1.988791189E2,4.891667256E0,4.891667256E0
7.740738547E1,3.211491926E1,1.189505304E2,1.621508964E1,9.910842691E-1,1.968791354E2,4.898509585E0,4.898509585E0
7.840739095E1,3.211490465E1,1.189505252E2,1.594252469E1,1.105026825E0,1.988462526E2,4.916759246E0,4.916759246E0
7.940739608E1,3.211489127E1,1.189505200E2,1.606916597E1,1.118005839E0,1.966588656E2,4.932296807E0,4.932296807E0
8.040740049E1,3.211487695E1,1.189505155E2,1.629985548E1,1.061366512E0,1.914771088E2,4.948692490E0,4.948692490E0
8.140740621E1,3.211486576E1,1.189505165E2,1.613818942E1,1.036957728E0,1.825778556E2,4.960687555E0,4.960687555E0
8.240741169E1,3.211485213E1,1.189505208E2,1.625803942E1,1.154021558E0,1.737988391E2,4.967960242E0,4.967960242E0
8.340741682E1,3.211483591E1,1.189505171E2,1.620466489E1,1.173392309E0,1.722101649E2,4.936076360E0,4.936076360E0
8.440742099E1,3.211482282E1,1.189505142E2,1.625763407E1,1.092778697E0,1.738906957E2,4.922310781E0,4.922310781E0
8.540742612E1,3.211481485E1,1.189505111E2,1.625254409E1,9.125038440E-1,1.686193150E2,4.919695467E0,4.919695467E0
8.640743113E1,3.211480363E1,1.189505064E2,1.615246842E1,9.675891347E-1,1.707659334E2,4.919069005E0,4.919069005E0
8.740743649E1,3.211478972E1,1.189505040E2,1.596122422E1,1.149405609E0,1.734612514E2,4.893415052E0,4.893415052E0
8.840744162E1,3.211477630E1,1.189505023E2,1.634851085E1,1.231247541E0,1.780795930E2,4.911742969E0,4.911742969E0
8.940744746E1,3.211475988E1,1.189505072E2,1.627762633E1,1.330873690E0,1.723029780E2,4.926667401E0,4.926667401E0
9.040745270E1,3.211475032E1,1.189505064E2,1.624821988E1,1.074122463E0,1.729456097E2,4.920485129E0,4.920485129E0
9.140745771E1,3.211474110E1,1.189505109E2,1.620120134E1,9.262818220E-1,1.638760318E2,4.924748811E0,4.924748811E0
9.240746307E1,3.211473339E1,1.189505229E2,1.608180669E1,1.004558729E0,1.457146833E2,4.927023352E0,4.927023352E0
9.340746999E1,3.211471739E1,1.189505255E2,1.618757366E1,1.167764595E0,1.539706564E2,4.930230318E0,4.930230318E0
9.440747285E1,3.211471458E1,1.189505335E2,1.614672082E1,8.013839739E-1,1.431762946E2,4.934521947E0,4.934521947E0
9.540747809E1,3.211470239E1,1.189505340E2,1.627753999E1,8.038913958E-1,1.563218829E2,4.934791088E0,4.934791088E0
9.640748417E1,3.211469062E1,1.189505396E2,1.625415707E1,9.664608244E-1,1.526486525E2,4.945417359E0,4.945417359E0
9.740748906E1,3.211467774E1,1.189505423E2,1.602333696E1,1.098406465E0,1.548113543E2,4.952641521E0,4.952641521E0
9.840749609E1,3.211466481E1,1.189505425E2,1.610299506E1,1.106514224E0,1.554324572E2,4.952057797E0,4.952057797E0
9.940749896E1,3.211465135E1,1.189505438E2,1.634847438E1,1.208265681E0,1.570606784E2,4.967358944E0,4.967358944E0
1.004075056E2,3.211463383E1,1.189505405E2,1.607026245E1,1.399796097E0,1.626691954E2,4.971218771E0,4.971218771E0
1.014075099E2,3.211462230E1,1.189505423E2,1.625784236E1,1.166607530E0,1.609797542E2,4.956555933E0,4.956555933E0
1.024075148E2,3.211461697E1,1.189505505E2,1.602290468E1,9.866040635E-1,1.503389737E2,4.956858395E0,4.956858395E0
1.034075197E2,3.211460884E1,1.189505563E2,1.630116025E1,9.949987852E-1,1.523652246E2,4.973627617E0,4.973627617E0
1.044075245E2,3.211460364E1,1.189505716E2,1.623953193E1,9.793164829E-1,1.440662267E2,4.957275837E0,4.957275837E0
1.054075321E2,3.211459700E1,1.189505808E2,1.615073299E1,1.061650739E0,1.436377595E2,4.963286414E0,4.963286414E0
1.064075352E2,3.211458610E1,1.189505917E2,1.605308364E1,1.188341693E0,1.407801890E2,4.964472021E0,4.964472021E0
1.074075415E2,3.211457672E1,1.189505931E2,1.626092329E1,1.068138301E0,1.454253529E2,4.966935577E0,4.966935577E0
1.084075459E2,3.211457267E1,1.189506054E2,1.638249912E1,9.715030942E-1,1.386485320E2,4.962034439E0,4.962034439E0
1.094075516E2,3.211456534E1,1.189506097E2,1.636222661E1,8.562169366E-1,1.414398681E2,4.969178606E0,4.969178606E0
1.104075561E2,3.211455210E1,1.189506129E2,1.650553660E1,1.028019396E0,1.456546964E2,4.974365323E0,4.974365323E0
1.114075617E2,3.211454617E1,1.189506255E2,1.655905965E1,1.065229880E0,1.399962594E2,4.976528755E0,4.976528755E0
1.124075668E2,3.211454357E1,1.189506358E2,1.655618685E1,8.011461815E-1,1.374233269E2,4.959164088E0,4.959164088E0
1.134075729E2,3.211453575E1,1.189506488E2,1.645868296E1,9.214105800E-1,1.403482799E2,4.958726445E0,4.958726445E0
1.144075772E2,3.211452928E1,1.189506578E2,1.636935767E1,8.488884115E-1,1.449861867E2,4.962536619E0,4.962536619E0
1.154075826E2,3.211451468E1,1.189506665E2,1.646689519E1,1.179653163E0,1.458525820E2,4.947419480E0,4.947419480E0
1.164075880E2,3.211451096E1,1.189506706E2,1.644819132E1,7.853172992E-1,1.433610695E2,4.957675607E0,4.957675607E0
1.174075930E2,3.211449887E1,1.189506826E2,1.636724339E1,1.132004147E0,1.412110754E2,4.952719661E0,4.952719661E0
1.184075997E2,3.211448661E1,1.189506834E2,1.641939869E1,1.120015892E0,1.486478099E2,4.951210354E0,4.951210354E0
1.194076028E2,3.211448166E1,1.189506886E2,1.627788714E1,8.302746893E-1,1.411112951E2,4.947669918E0,4.947669918E0
1.204076114E2,3.211446483E1,1.189506910E2,1.616184915E1,1.029545158E0,1.502834716E2,4.948117246E0,4.948117246E0
1.214076142E2,3.211445254E1,1.189506940E2,1.639640252E1,1.044625479E0,1.490685507E2,4.947000621E0,4.947000621E0
1.224076192E2,3.211443926E1,1.189506956E2,1.637545765E1,1.002857555E0,1.502949781E2,4.946959846E0,4.946959846E0
1.234076242E2,3.211442133E1,1.189506916E2,1.642661066E1,1.120878207E0,1.585932829E2,4.951471620E0,4.951471620E0
1.244076296E2,3.211441745E1,1.189507018E2,1.619435427E1,9.179969762E-1,1.463710727E2,4.947800461E0,4.947800461E0
1.254076345E2,3.211440674E1,1.189507057E2,1.612966608E1,1.001002406E0,1.486743851E2,4.947984842E0,4.947984842E0
1.264076407E2,3.211439347E1,1.189507126E2,1.606391835E1,1.174701286E0,1.512094767E2,4.942072897E0,4.942072897E0
1.274076457E2,3.211438457E1,1.189507247E2,1.616725061E1,1.165577644E0,1.499497483E2,4.932733735E0,4.932733735E0
1.284076500E2,3.211437857E1,1.189507286E2,1.580523858E1,9.120275386E-1,1.457382911E2,4.926718388E0,4.926718388E0
1.294076557E2,3.211436601E1,1.189507366E2,1.582987025E1,1.080708016E0,1.485770035E2,4.921119850E0,4.921119850E0
1.304076605E2,3.211435581E1,1.189507496E2,1.615835959E1,1.208685608E0,1.456554548E2,4.910080770E0,4.910080770E0
1.314076662E2,3.211434413E1,1.189507470E2,1.604923328E1,1.057645837E0,1.610783278E2,4.889905745E0,4.889905745E0
1.324076716E2,3.211434068E1,1.189507502E2,1.553032442E1,7.522669037E-1,1.597284836E2,4.876795524E0,4.876795524E0
1.334076768E2,3.211433630E1,1.189507458E2,1.565294875E1,5.494829872E-1,1.748991038E2,4.866352046E0,4.866352046E0
1.344076821E2,3.211432895E1,1.189507407E2,1.570978700E1,5.591645892E-1,1.940482523E2,4.855228060E0,4.855228060E0
1.354076872E2,3.211432093E1,1.189507413E2,1.602186518E1,5.241072737E-1,1.906673551E2,4.848127050E0,4.848127050E0
1.364076926E2,3.211431886E1,1.189507428E2,1.592745286E1,0.000000000E0,1.885748748E2,4.844544008E0,4.844544008E0
1.374076974E2,3.211430679E1,1.189507387E2,1.597324942E1,6.779542363E-1,1.985904862E2,4.839126680E0,4.839126680E0
1.384077023E2,3.211430362E1,1.189507281E2,1.576380057E1,7.192640391E-1,2.286971418E2,4.833525609E0,4.833525609E0
1.394077080E2,3.211429154E1,1.189507128E2,1.583947187E1,9.909774359E-1,2.256933731E2,4.812875115E0,4.812875115E0
1.404077140E2,3.211428303E1,1.189507022E2,1.554720919E1,9.923722079E-1,2.239365943E2,4.824428195E0,4.824428195E0
1.414077177E2,3.211427598E1,1.189506937E2,1.548982890E1,8.558869590E-1,2.213727333E2,4.808188105E0,4.808188105E0
1.424077239E2,3.211426703E1,1.189506798E2,1.596834982E1,9.525064644E-1,2.195932062E2,4.803666911E0,4.803666911E0
1.434077288E2,3.211425735E1,1.189506706E2,1.593956267E1,1.026538765E0,2.176868544E2,4.806901022E0,4.806901022E0
1.444077345E2,3.211426014E1,1.189506807E2,1.617794536E1,4.486060643E-1,2.086646235E2,4.808879914E0,4.808879914E0
1.454077414E2,3.211425540E1,1.189506786E2,1.583622615E1,4.793173443E-1,2.120530456E2,4.815849444E0,4.815849444E0
1.464077443E2,3.211424845E1,1.189506636E2,1.559586001E1,9.024415616E-1,2.295834121E2,4.814425619E0,4.814425619E0
1.474077504E2,3.211424276E1,1.189506562E2,1.572790217E1,7.235807046E-1,2.291821274E2,4.813565900E0,4.813565900E0
1.484077548E2,3.211422702E1,1.189506418E2,1.559106700E1,1.180465605E0,2.228242092E2,4.812920771E0,4.812920771E0
1.494077611E2,3.211421810E1,1.189506366E2,1.548902020E1,9.363546885E-1,2.215294205E2,4.810597686E0,4.810597686E0
1.504077661E2,3.211421671E1,1.189506381E2,1.572435997E1,4.305313270E-1,2.204654501E2,4.811248594E0,4.811248594E0
1.514077704E2,3.211419881E1,1.189506216E2,1.597045833E1,1.048261294E0,2.185420807E2,4.809892855E0,4.809892855E0
1.524077759E2,3.211418028E1,1.189506127E2,1.595954268E1,1.207535823E0,2.087481136E2,4.808774594E0,4.808774594E0
1.534077816E2,3.211416304E1,1.189506023E2,1.569780697E1,1.259333168E0,2.044508415E2,4.812126478E0,4.812126478E0
1.544077864E2,3.211415377E1,1.189505863E2,1.525807862E1,1.186027551E0,2.131491971E2,4.813040130E0,4.813040130E0
1.554077920E2,3.211414189E1,1.189505779E2,1.522640354E1,1.045152219E0,2.108241198E2,4.808635495E0,4.808635495E0
1.564077975E2,3.211413618E1,1.189505633E2,1.545392182E1,1.104674890E0,2.258816392E2,4.807398725E0,4.807398725E0
1.574078026E2,3.211413100E1,1.189505621E2,1.551026235E1,8.441414682E-1,2.166109735E2,4.810468911E0,4.810468911E0
1.584078077E2,3.211412952E1,1.189505503E2,1.522908102E1,6.514914900E-1,2.371937170E2,4.814620246E0,4.814620246E0
1.594078126E2,3.211411778E1,1.189505433E2,1.530236441E1,6.552199529E-1,2.199725089E2,4.823337515E0,4.823337515E0
1.604078184E2,3.211410732E1,1.189505304E2,1.507363642E1,8.043042898E-1,2.194971374E2,4.831960461E0,4.831960461E0
