"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.508833306E-3,2.294728088E-1,3.606300659E0,7.813751221E0
2.244683332E-2,7.084767151E-1,3.949387207E0,7.461383972E0
4.238383332E-2,1.268312531E0,4.367168427E0,7.263046417E0
6.232083333E-2,1.579216003E0,4.588558044E0,8.209378510E0
8.225783333E-2,1.286424866E0,4.664001160E0,8.933123474E0
1.021948333E-1,1.126707001E0,4.551135864E0,8.896300049E0
1.221318333E-1,1.037492523E0,4.747976532E0,8.762478333E0
1.420688333E-1,7.409591675E-1,4.881798248E0,8.837622070E0
1.620058334E-1,6.301895142E-1,4.819677429E0,9.298513641E0
1.819428334E-1,3.188369751E-1,4.593048706E0,9.722132721E0
2.018798334E-1,2.022294617E-1,4.500391388E0,1.043016037E1
2.218168334E-1,-2.701881409E-1,5.061125336E0,1.059107574E1
2.417538334E-1,-5.170248413E-1,4.986430664E0,9.920919342E0
2.616908334E-1,-1.779798889E-1,5.277126160E0,9.578281860E0
2.816278334E-1,3.945794678E-1,5.037175140E0,9.676178284E0
3.015648334E-1,7.071295166E-1,4.823569336E0,1.037657181E1
3.215018334E-1,7.949967957E-1,4.576882324E0,1.098550552E1
3.414388334E-1,4.872367859E-1,4.313729553E0,1.014844620E1
3.613758334E-1,2.418969727E-1,4.072431335E0,8.576265564E0
3.813128334E-1,-1.068777466E-1,3.907923431E0,7.047045593E0
4.012498334E-1,-4.562512207E-1,3.772455139E0,6.521338806E0
4.211868334E-1,-7.310797119E-1,3.559298401E0,7.023544464E0
4.411238334E-1,-7.448510742E-1,3.272195435E0,7.657476196E0
4.610608333E-1,-6.104306030E-1,3.118614807E0,7.682324524E0
4.809978333E-1,-4.427792358E-1,2.995570679E0,7.259902954E0
5.009348333E-1,-4.260140991E-1,3.071163483E0,6.850354614E0
5.208718333E-1,-2.555186462E-1,3.226390686E0,6.921905823E0
5.408088333E-1,-2.716850281E-1,2.982847137E0,6.729705505E0
5.607458333E-1,-5.158273315E-1,3.298540649E0,6.938221893E0
5.806828333E-1,-4.158352661E-1,3.397484894E0,6.798113251E0
6.006198333E-1,-3.695814514E-1,3.851041718E0,6.458020477E0
6.205568333E-1,-1.691482544E-2,4.151167603E0,6.098617859E0
6.404938333E-1,3.764671326E-1,4.595144348E0,6.099066925E0
6.604308333E-1,7.426057434E-1,4.780009918E0,6.319408722E0
6.803678334E-1,6.632707214E-1,4.446054382E0,6.772965546E0
7.003048334E-1,3.367996216E-1,4.088747406E0,7.283853149E0
7.202418334E-1,1.586700439E-1,2.902464294E0,7.809559937E0
7.401788334E-1,-3.682342529E-2,2.036964111E0,7.968379669E0
7.601158334E-1,-2.806663513E-1,2.126477966E0,8.108188934E0
7.800528334E-1,-1.250649261E0,2.186952209E0,8.291407928E0
7.999898334E-1,-1.992207184E0,2.449356537E0,8.031697998E0
8.199259584E-1,-1.222358093E0,4.530329132E0,6.842870178E0
8.398629584E-1,-7.349716187E-2,6.456074524E0,9.248367920E0
8.597999583E-1,-7.738906860E-1,5.245990906E0,1.256921219E1
8.797369583E-1,-1.201551361E0,2.781515808E0,1.419887329E1
8.996739583E-1,3.715274048E-1,1.857637024E-1,1.355341553E1
9.196109583E-1,-3.522175598E-1,9.163943481E-1,1.464764008E1
9.395479583E-1,1.636097717E-1,1.631607056E-1,1.436772217E1
9.594849583E-1,2.803669739E-1,-7.619155884E-1,1.513607437E1
