"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.992283332E-2,6.222568080E-2,-3.450341225E-1,-6.792665124E-1
4.985983332E-2,-2.944159210E-1,-1.448322088E-2,-7.634449601E-1
6.979683333E-2,-2.676956952E-1,1.491953433E-1,-7.185240388E-1
8.973383333E-2,-8.110498311E-4,1.448666155E-1,-5.209855437E-1
1.096708333E-1,1.991938204E-1,9.421769530E-2,-3.063859642E-1
1.296078333E-1,2.923317850E-1,6.106299162E-2,-1.665400416E-1
1.495448333E-1,3.276318908E-1,2.475039102E-2,-8.741147816E-2
1.694818333E-1,3.380009234E-1,-4.127464816E-2,-5.466792732E-2
1.894188334E-1,3.475469649E-1,-5.934312940E-3,-5.548221059E-3
2.093558334E-1,4.534250498E-1,1.502154768E-1,1.081560180E-1
2.292928334E-1,4.929595590E-1,3.140002787E-1,3.218790293E-1
2.492298334E-1,3.325090706E-1,5.097787380E-1,4.569649994E-1
2.691668334E-1,9.637892991E-2,5.611358285E-1,4.743762314E-1
2.891038334E-1,-4.171760380E-2,4.291509390E-1,3.744732738E-1
3.090408334E-1,1.395201683E-1,3.925365508E-1,2.465571612E-1
3.289778334E-1,5.363887548E-1,5.601144433E-1,1.574949920E-1
3.489148334E-1,8.414657712E-1,7.800786495E-1,2.309966087E-2
3.688518334E-1,8.086351752E-1,7.306602597E-1,-1.409667879E-1
3.887888334E-1,4.733605087E-1,4.821618199E-1,-3.242776096E-1
4.087258334E-1,1.120457277E-1,3.396350443E-1,-4.079076052E-1
4.286628334E-1,-4.123714194E-2,3.988476694E-1,-3.687980473E-1
4.485998334E-1,1.669924939E-3,5.650715828E-1,-2.726542652E-1
4.685368333E-1,8.271689713E-2,7.337685227E-1,-1.632265300E-1
4.884738333E-1,1.518152505E-1,7.893795967E-1,-7.279645652E-2
5.084108333E-1,1.760421544E-1,6.390181780E-1,-2.767725475E-2
5.283478333E-1,1.896829456E-1,5.790443420E-1,-3.389191628E-2
5.482848333E-1,1.378320307E-1,5.976553559E-1,1.385250408E-2
5.682218333E-1,1.906590909E-1,6.675882339E-1,5.870657787E-2
5.881588333E-1,2.150621414E-1,5.514605045E-1,1.108932793E-1
6.080958333E-1,1.656195819E-1,3.697520196E-1,1.259031892E-1
6.280328333E-1,2.501309104E-2,9.784451872E-2,-3.099132795E-3
6.479698333E-1,-1.167839095E-1,-3.899899870E-2,-2.296314090E-1
6.679068333E-1,-1.718763560E-1,-9.268902242E-2,-4.926594496E-1
6.878438334E-1,-1.141926050E-1,-2.754176222E-2,-6.843686700E-1
7.077808334E-1,1.366378367E-1,-6.390687823E-2,-8.909714818E-1
7.277178334E-1,4.530876577E-1,1.009171978E-1,-9.312499762E-1
7.476548334E-1,3.142959774E-1,-6.708591580E-1,-6.819667220E-1
7.675918334E-1,-5.331659317E-1,-1.019601941E0,-3.470065296E-1
7.875288334E-1,-1.041654468E0,-4.323061407E-1,5.735369921E-1
8.074649584E-1,-1.472151399E0,-1.178309202E0,3.427221477E-1
8.274019584E-1,-2.379532576E0,-2.968045950E0,-3.317784965E-1
8.473399583E-1,-3.508811951E0,-1.543736577E0,-7.141588330E-1
8.672769583E-1,-3.990117788E0,7.018481493E-1,-6.508624554E-1
8.872139583E-1,-4.060177326E0,1.414298773E0,-4.800783992E-1
9.071509583E-1,-3.493694544E0,7.720520496E-1,-2.861472070E-1
9.270879583E-1,-2.432654381E0,2.347202599E-1,-4.201397002E-1
9.470249583E-1,-1.391132236E0,-3.344531953E-1,-6.605504155E-1
9.669619583E-1,-1.841468662E-1,-4.652386308E-1,-7.416945696E-1
9.868989583E-1,7.437893152E-1,-6.994321942E-1,-6.602043509E-1
