"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.992283332E-2,-4.755042746E-1,2.325920060E-1,-1.539712214E0
4.985983332E-2,1.045903158E-1,6.577082652E-1,-1.743715137E0
6.979683333E-2,4.878539595E-1,9.180230901E-1,-8.223547482E-1
8.973383333E-2,2.673605005E-1,1.005192796E0,-1.118051952E-1
1.096708333E-1,1.596731338E-1,8.646078980E-1,-1.430837059E-1
1.296078333E-1,1.020515279E-1,1.011518314E0,-2.597128540E-1
1.495448333E-1,-1.783863435E-1,1.087385645E0,-1.620082194E-1
1.694818333E-1,-2.851596442E-1,9.633825731E-1,3.248169225E-1
1.894188334E-1,-6.004209738E-1,6.760737848E-1,7.751571929E-1
2.093558334E-1,-7.082399029E-1,5.138933650E-1,1.513043064E0
2.292928334E-1,-1.156203426E0,9.913009813E-1,1.709206039E0
2.492298334E-1,-1.363589547E0,8.486543548E-1,1.066641478E0
2.691668334E-1,-9.649437797E-1,1.108810135E0,7.328350461E-1
2.891038334E-1,-3.392324287E-1,8.728974956E-1,8.242626947E-1
3.090408334E-1,1.583155565E-2,6.599261141E-1,1.520936220E0
3.289778334E-1,1.704001433E-1,3.561284700E-1,2.151977089E0
3.489148334E-1,-2.646215916E-2,-2.990938514E-2,1.367500019E0
3.688518334E-1,-1.304423180E-1,-4.208907688E-1,-1.362266761E-1
3.887888334E-1,-3.527730453E-1,-7.000330433E-1,-1.609880556E0
4.087258334E-1,-5.998418802E-1,-8.855494085E-1,-2.111069968E0
4.286628334E-1,-7.756863660E-1,-1.101917438E0,-1.608210007E0
4.485998334E-1,-6.764687642E-1,-1.384171893E0,-9.767393678E-1
4.685368333E-1,-4.098959568E-1,-1.544532367E0,-9.461712939E-1
4.884738333E-1,-9.811554775E-2,-1.687263778E0,-1.353363791E0
5.084108333E-1,4.721655875E-2,-1.639626512E0,-1.741537634E0
5.283478333E-1,3.217221740E-1,-1.516514848E0,-1.645926302E0
5.482848333E-1,4.071740779E-1,-1.787708125E0,-1.815296166E0
5.682218333E-1,2.674936708E-1,-1.499631013E0,-1.582345433E0
5.881588333E-1,4.655515096E-1,-1.436786893E0,-1.692415175E0
6.080958333E-1,5.774704331E-1,-1.018851015E0,-2.005037144E0
6.280328333E-1,9.627740972E-1,-7.369310206E-1,-2.350216995E0
6.479698333E-1,1.369518770E0,-2.820547727E-1,-2.354504759E0
6.679068333E-1,1.758004270E0,-6.421441466E-2,-2.150453305E0
6.878438334E-1,1.726016200E0,-3.593146178E-1,-1.713205535E0
7.077808334E-1,1.467577161E0,-7.002561146E-1,-1.202776937E0
7.277178334E-1,1.393170319E0,-1.917573031E0,-6.449858934E-1
7.476548334E-1,1.238598735E0,-2.833990476E0,-4.508366990E-1
7.675918334E-1,8.839259291E-1,-2.721847311E0,-3.400992054E-1
7.875288334E-1,-2.247783718E-1,-2.521503577E0,-2.534230042E-1
8.074649584E-1,-1.117562321E0,-2.058582145E0,-6.371886313E-1
8.274019584E-1,-7.406681223E-1,3.487045527E-1,-2.018173499E0
8.473399583E-1,1.212076642E-2,2.815818206E0,1.391801047E-1
8.672769583E-1,-7.131980494E-1,2.305549823E0,3.210461116E0
8.872139583E-1,-8.707867970E-1,6.059751709E-1,4.638866903E0
9.071509583E-1,9.216272407E-1,-1.247810877E0,3.864331269E0
9.270879583E-1,3.044080934E-1,6.192113668E-2,4.897008026E0
9.470249583E-1,8.095369206E-1,-3.098824394E-1,4.590447280E0
9.669619583E-1,8.587701841E-1,-1.074210041E0,5.348121298E0
9.868989583E-1,6.469398867E-1,-5.919134943E-1,5.113975979E0
1.006835958E0,9.057246414E-1,-1.554517730E-1,3.143948454E0
1.026772958E0,1.714309928E0,3.969784342E-1,1.064128929E0
1.046709958E0,1.106676779E0,-9.231315831E-1,-6.891259396E-1
1.066646958E0,1.728658045E-1,-3.527128190E-2,-2.412374067E0
1.086583958E0,-4.672412452E-1,5.551255909E-1,-3.942540118E0
1.106520958E0,-4.925330476E-1,1.106061213E0,-3.280661033E0
1.126457958E0,-6.799259305E-1,1.816762940E0,-3.794402663E0
1.146394958E0,-7.170193510E-1,2.466454088E0,-3.684589030E0
1.166331958E0,-1.418105332E0,3.431803372E0,-2.829841876E0
1.186268958E0,-4.815007770E-1,1.477519621E0,-3.229610748E0
1.206205958E0,-6.543058435E-1,7.565341765E-1,-3.486763691E0
1.226142958E0,-2.592651327E0,2.332038733E0,-1.336592222E0
1.246079958E0,-3.251764386E0,3.712375291E0,1.385339874E0
1.266016958E0,-2.037582454E0,3.462794784E0,3.538134404E0
1.285953958E0,-1.424192868E0,2.216905887E0,4.465715060E0
1.305890958E0,-2.070802825E0,2.068469055E0,4.994878137E0
1.325827958E0,-1.801879730E0,1.827594322E0,4.498519694E0
1.345764958E0,-8.515066266E-1,1.379375714E0,5.091037352E0
1.365701958E0,-9.002867308E-1,3.388538946E-1,5.170020956E0
1.385638958E0,-9.852439968E-1,-4.242675358E-1,4.315817594E0
1.405575958E0,-3.298019662E-1,-5.478665650E-1,2.843795671E0
1.425512958E0,1.358916306E-1,-2.752265404E-1,9.887308377E-1
1.445449958E0,2.660396875E-1,-2.648010280E-1,7.138514757E-2
1.465386958E0,-1.927856237E-2,-1.649208637E-1,-7.366029918E-1
1.485323958E0,-2.177491415E-1,-4.698450469E-1,-1.052932681E0
1.505260958E0,-4.683284985E-1,-6.598910308E-1,-1.767091135E0
1.525197958E0,-4.367283909E-1,-4.318497665E-2,-2.380250049E0
1.545134958E0,1.828677227E-1,-5.321827246E-1,-1.741099677E0
1.565071958E0,2.534067781E-1,-1.341548907E0,-1.227617664E0
1.585008958E0,-7.117255743E-1,-1.170837545E0,-5.790485966E-1
1.604945958E0,-7.855723996E-1,-1.128885673E0,-6.540221804E-1
1.624882958E0,-1.414356682E-1,-1.565904232E0,-1.318954681E0
1.644819958E0,-2.226001377E-1,-1.767690914E0,-1.611288566E0
1.664756958E0,-3.067699300E-1,-1.909730161E0,-1.860285813E0
1.684693958E0,-9.489490137E-2,-2.116002679E0,-1.942357916E0
1.704630958E0,1.756180523E-1,-2.517881811E0,-1.424950667E0
1.724567958E0,9.334041908E-1,-2.420857208E0,-1.431210696E0
1.744504958E0,8.695980580E-1,-1.395346799E0,-1.826146259E0
1.764441958E0,6.997490148E-1,-9.798725984E-1,-2.749943767E0
