"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.868333366E-3,-3.282878113E1,7.190395355E0,-2.633181000E1
2.280633338E-2,-3.269212341E1,7.207904816E0,-2.632833099E1
4.274333338E-2,-3.268283081E1,7.311382294E0,-2.627595520E1
6.268133339E-2,-3.257224274E1,7.400077820E0,-2.621198654E1
8.261933341E-2,-3.267863464E1,7.680633545E0,-2.637314224E1
1.025563333E-1,-3.241893768E1,7.606239319E0,-2.614349365E1
1.224943333E-1,-3.239092255E1,7.694381714E0,-2.625520706E1
1.424327083E-1,-3.248922729E1,7.553428650E0,-2.641784668E1
1.623697083E-1,-3.280414581E1,7.376411438E0,-2.614695740E1
1.823077083E-1,-3.317320251E1,7.063137054E0,-2.590287399E1
2.022447083E-1,-3.313215637E1,6.604991913E0,-2.583214951E1
2.221827083E-1,-3.299428558E1,5.974472046E0,-2.566010284E1
2.421207083E-1,-3.295151520E1,5.061988831E0,-2.600049973E1
2.620577083E-1,-3.287109375E1,4.806346893E0,-2.613343048E1
2.819957084E-1,-3.249035645E1,5.229129791E0,-2.625545502E1
3.019337084E-1,-3.185370636E1,6.001499176E0,-2.706259918E1
3.218707084E-1,-3.093680573E1,6.492134094E0,-2.793948364E1
3.418087084E-1,-3.032910156E1,7.170524597E0,-2.860026932E1
3.617457084E-1,-2.996923065E1,7.527099609E0,-2.896355438E1
3.816837084E-1,-2.998808289E1,7.411075592E0,-2.880262375E1
4.016217083E-1,-3.012092590E1,7.215637207E0,-2.869727325E1
4.215587083E-1,-3.073329926E1,7.242435455E0,-2.787126923E1
4.414967083E-1,-3.102717590E1,7.401409149E0,-2.764227295E1
4.614347083E-1,-3.120180511E1,7.944339752E0,-2.761194229E1
4.813717083E-1,-3.088175964E1,8.171520233E0,-2.773701477E1
5.013097083E-1,-3.057872772E1,7.320438385E0,-2.843588638E1
5.212477084E-1,-3.091060638E1,5.589324951E0,-2.803399277E1
5.411847084E-1,-3.194273376E1,3.719989777E0,-2.725753784E1
5.611227084E-1,-3.304508972E1,1.831893921E0,-2.567336655E1
5.810607084E-1,-3.368573761E1,-6.573524475E-1,-2.474303818E1
6.009977084E-1,-3.452669525E1,-3.151371002E0,-2.289672852E1
6.209357084E-1,-3.560734558E1,-5.588172913E0,-2.022422409E1
6.408737083E-1,-3.686325073E1,-7.745653152E0,-1.722199249E1
6.608107083E-1,-3.762739563E1,-9.588817596E0,-1.419957352E1
6.807487083E-1,-3.799350739E1,-1.062356758E1,-1.197769547E1
7.006867083E-1,-3.850631714E1,-1.102964592E1,-1.058729935E1
7.206237083E-1,-3.886904144E1,-1.094799042E1,-9.057315826E0
7.405617083E-1,-3.954846191E1,-1.052787781E1,-7.853755951E0
7.604997084E-1,-4.021083069E1,-9.530645370E0,-6.105594635E0
7.804367084E-1,-4.067827606E1,-8.559110641E0,-4.626701355E0
8.003747084E-1,-4.128147888E1,-7.278064728E0,-3.269439697E0
8.203127084E-1,-4.156521606E1,-6.374271393E0,-2.363243103E0
8.402497084E-1,-4.158979797E1,-6.103500366E0,-2.258647919E0
8.601877084E-1,-4.160203552E1,-6.013259888E0,-2.057548523E0
8.801257083E-1,-4.172205353E1,-6.144874573E0,-1.692604065E0
9.000627083E-1,-4.171295929E1,-6.031694412E0,-1.004348755E0
9.200007083E-1,-4.202058411E1,-5.624729156E0,-2.843780518E-1
9.399387083E-1,-4.217839813E1,-4.937892914E0,6.328887939E-1
9.598757083E-1,-4.225288391E1,-4.157714844E0,2.221130371E0
9.798137083E-1,-4.232176208E1,-3.211128235E0,3.429527283E0
