"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.227491605E1,3.211733988E1,1.189514854E2,2.145852540E1,1.336224447E0,5.952943646E1,4.751005467E0,4.751005467E0
4.327492273E1,3.211733797E1,1.189514955E2,2.106583825E1,8.738954681E-1,6.794294082E1,4.734512659E0,4.734512659E0
4.427492738E1,3.211734127E1,1.189515118E2,2.115916418E1,1.052613046E0,7.390133600E1,4.744094175E0,4.744094175E0
4.527493382E1,3.211734224E1,1.189515293E2,2.039488114E1,1.122755615E0,7.380651206E1,4.746922619E0,4.746922619E0
4.627493906E1,3.211733050E1,1.189515495E2,2.097138714E1,1.192194362E0,9.440622250E1,4.729172208E0,4.729172208E0
4.727494621E1,3.211731083E1,1.189515667E2,2.165305042E1,1.057062008E0,1.075659562E2,4.728727752E0,4.728727752E0
4.827495158E1,3.211730416E1,1.189515781E2,2.160333657E1,9.731075264E-1,1.047957182E2,4.731380253E0,4.731380253E0
4.927495623E1,3.211729626E1,1.189515860E2,2.160863555E1,7.967336569E-1,1.037263685E2,4.734153933E0,4.734153933E0
5.027496147E1,3.211729236E1,1.189515972E2,2.223970443E1,9.500007519E-1,1.004936831E2,4.726494530E0,4.726494530E0
5.127496743E1,3.211728316E1,1.189516022E2,2.279250908E1,7.381759616E-1,9.800984778E1,4.719131687E0,4.719131687E0
5.227497315E1,3.211726888E1,1.189516056E2,2.243485701E1,7.602699048E-1,1.131004174E2,4.727177867E0,4.727177867E0
5.327497947E1,3.211725889E1,1.189516011E2,2.354609080E1,4.956174072E-1,1.312604953E2,4.718513149E0,4.718513149E0
5.427498484E1,3.211725911E1,1.189516067E2,2.340047191E1,5.188335680E-1,1.146843907E2,4.735275024E0,4.735275024E0
5.527499068E1,3.211725842E1,1.189516135E2,2.361701042E1,6.004725617E-1,1.028417131E2,4.727774030E0,4.727774030E0
5.627499640E1,3.211726725E1,1.189516325E2,2.312711774E1,8.974961573E-1,8.280856351E1,4.731578754E0,4.731578754E0
5.727500248E1,3.211727539E1,1.189516485E2,2.237558236E1,1.019320872E0,6.927796469E1,4.736639544E0,4.736639544E0
5.827500951E1,3.211728414E1,1.189516669E2,2.178153855E1,1.218139607E0,6.313074002E1,4.736131316E0,4.736131316E0
5.927501345E1,3.211729656E1,1.189516862E2,2.082556314E1,1.500173089E0,5.989917893E1,4.750004448E0,4.750004448E0
6.027501953E1,3.211730237E1,1.189517008E2,2.106952084E1,1.113516700E0,6.301898010E1,4.751324980E0,4.751324980E0
6.127502608E1,3.211732131E1,1.189517175E2,2.268820220E1,1.318530878E0,5.133462501E1,4.766291690E0,4.766291690E0
6.227503157E1,3.211733204E1,1.189517315E2,2.280093305E1,1.110839787E0,4.881058702E1,4.775723044E0,4.775723044E0
6.327503705E1,3.211733295E1,1.189517427E2,2.295375124E1,1.033484565E0,5.655867586E1,4.776497568E0,4.776497568E0
6.427504241E1,3.211734395E1,1.189517512E2,2.239447557E1,8.709411578E-1,4.645927376E1,4.786506438E0,4.786506438E0
6.527504921E1,3.211736313E1,1.189517728E2,2.205464755E1,1.412036659E0,5.217874140E1,4.781590416E0,4.781590416E0
6.627505469E1,3.211736774E1,1.189517923E2,2.183243162E1,1.587037675E0,5.331386259E1,4.788826517E0,4.788826517E0
6.727506101E1,3.211735734E1,1.189518059E2,2.133204618E1,1.097004366E0,7.811787662E1,4.789751577E0,4.789751577E0
