"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.868333366E-3,1.215855405E-1,3.306872347E-1,2.110184115E-1
2.280633338E-2,3.660225436E-2,3.781394362E-1,-6.827325940E-2
4.274333338E-2,3.504075542E-1,4.887895140E-1,-3.514825648E-1
6.268133339E-2,8.002455488E-2,3.799751696E-1,-4.924899244E-1
8.261933341E-2,2.342328809E-1,4.763366988E-1,-2.163879097E-1
1.025563333E-1,3.563839933E-1,7.599330899E-1,-3.480578506E-1
1.224943333E-1,3.971002024E-1,9.058907023E-1,-6.558529437E-1
1.424327083E-1,1.101403467E-1,8.380758646E-1,-7.013425273E-1
1.623697083E-1,-2.431503233E-1,8.277221999E-1,-8.735389352E-2
1.823077083E-1,2.370489000E-1,9.005282208E-1,-2.069382244E-1
2.022447083E-1,3.626943085E-1,1.406685427E0,-6.412378281E-1
2.221827083E-1,6.005011538E-1,1.003467283E0,-4.947855413E-2
2.421207083E-1,-7.518724108E-1,4.181300059E-1,4.802499479E-1
2.620577083E-1,-1.288949109E0,-2.302262226E0,-1.765323522E0
2.819957084E-1,-1.526740167E0,-1.190121516E0,-6.757019019E-1
3.019337084E-1,-4.103132287E-1,-2.431693268E-1,2.503982395E-1
3.218707084E-1,-3.388307981E-1,-2.977647793E-1,-1.403674988E0
3.418087084E-1,-3.348464323E-1,1.690137684E-1,-1.432114091E0
3.617457084E-1,-6.804776153E-1,2.216565726E0,-4.781695086E-1
3.816837084E-1,-7.386027396E-2,2.921114281E0,8.351484561E-1
4.016217083E-1,-1.841795893E0,2.353226265E0,-5.590826941E-1
4.215587083E-1,-2.088961646E-1,5.853413701E-2,-1.821411184E0
4.414967083E-1,8.039817734E-1,9.277777076E-2,-1.527024341E0
4.614347083E-1,1.092884659E0,3.448629320E-1,-3.623197943E-1
4.813717083E-1,2.884685835E0,-7.354481667E-2,1.753300477E0
5.013097083E-1,3.421824806E0,-4.808229750E-1,-3.859688580E-2
5.212477084E-1,2.364258499E0,-3.668882239E-1,-2.124252516E0
5.411847084E-1,1.534527635E0,-1.399046332E0,-2.797923680E0
5.611227084E-1,1.052892774E0,-1.860900940E0,-2.092801512E0
5.810607084E-1,1.696193646E0,-2.604159232E0,1.632870054E-1
6.009977084E-1,1.024743254E0,-1.938223350E0,-1.444800210E-1
6.209357084E-1,-8.044555441E-1,-1.244112659E0,-9.747168159E-1
6.408737083E-1,-1.288702210E0,-2.396947358E0,-2.294944435E-1
6.608107083E-1,-8.441541915E-1,-3.428918940E0,1.981281661E0
6.807487083E-1,-2.312845686E-1,-2.064919649E0,1.126290679E0
7.006867083E-1,-6.903839681E-1,-9.098127222E-1,-1.372382444E0
7.206237083E-1,-6.748324209E-1,-3.277264971E-1,-1.530035073E0
7.405617083E-1,-2.110721474E0,-5.815015036E-1,8.682673779E-1
7.604997084E-1,-2.696817135E0,6.095242846E-1,3.407062048E0
7.804367084E-1,-1.291539133E0,2.055072938E0,4.352273522E0
8.003747084E-1,9.115285876E-1,2.564323322E0,5.311981412E0
8.203127084E-1,2.328685793E0,2.803310135E0,6.459065959E0
8.402497084E-1,2.907433843E0,1.740280482E0,4.600715868E0
8.601877084E-1,6.170017040E-1,9.842559636E-1,1.890653912E0
8.801257083E-1,-3.597840030E0,1.152500823E0,-3.572172216E-1
9.000627083E-1,-5.109506952E0,3.716168087E0,-3.802122742E0
9.200007083E-1,-6.307295045E0,2.318528595E0,-4.993704016E0
9.399387083E-1,-4.962911409E0,1.472668040E0,-3.923788682E0
9.598757083E-1,-3.566475858E0,7.503047723E-1,-3.164683265E0
9.798137083E-1,-2.967851368E0,4.755856240E-1,-2.850702403E0
9.997517084E-1,-3.012859726E0,5.175066519E-1,-3.353762339E0
1.019688708E0,-2.374650171E0,-8.196814013E-1,-1.283918749E0
1.039626708E0,-3.729063537E0,-1.627087743E0,-6.456993999E-1
1.059564708E0,-4.096620097E0,-1.287721193E0,-4.208348694E0
1.079501708E0,-3.797577116E0,-1.983375549E-2,-4.587496775E0
1.099439708E0,4.185454506E0,2.090749140E0,-2.295226271E0
1.119377708E0,4.636685307E0,5.786445540E0,-3.344389837E0
1.139314958E0,-9.299125260E-1,3.758107826E0,-3.975904330E0
1.159252958E0,-9.105155575E-1,7.429776263E-1,-1.659998796E0
1.179190958E0,-9.773252589E-1,-7.779182482E-1,-7.868476043E-1
1.199127958E0,-1.544976463E0,-2.698256135E-2,-2.254481703E-1
1.219065958E0,2.010610126E0,1.893445373E-1,-1.548747332E0
1.239003958E0,-1.537686739E0,1.539797584E0,-8.447121620E-1
1.258940958E0,1.869996868E0,1.565441133E0,2.384197505E0
1.278878958E0,7.117125642E0,1.012989181E0,2.846087780E0
1.298816958E0,-3.198766685E0,6.783091754E-1,-5.136708784E-1
1.318754958E0,1.856790932E0,-1.216113852E0,-2.461104470E0
1.338691958E0,6.350953281E-1,6.465412527E-1,1.698017392E0
1.358629958E0,6.388433933E-2,-1.699904289E0,-2.829446604E0
1.378567958E0,2.915690112E0,-2.181210828E0,2.325953243E0
1.398504958E0,9.751220280E-1,-1.884095675E0,3.447244991E0
1.418442958E0,6.431118608E-1,-8.509716064E-1,3.188422668E0
1.438380958E0,1.007670554E0,-1.292163908E0,3.026570277E0
1.458317958E0,1.847676292E0,-1.066771578E0,2.940428804E0
1.478255958E0,-2.097628389E0,-1.345737267E0,2.515820668E0
1.498193958E0,-2.021162011E0,-1.640104522E0,2.629326818E0
1.518131958E0,-5.288865030E-1,-1.011772668E0,-1.185452807E-1
