"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.663398743E-2,3.211932409E1,1.189481540E2,1.703634167E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.876592636E-2,3.211919335E1,1.189481326E2,1.665545583E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.876592636E-2,3.211914723E1,1.189481210E2,1.652719331E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
5.389509201E-1,3.211902525E1,1.189482115E2,1.638533545E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
6.551742554E-1,3.211897091E1,1.189481009E2,1.410950565E1,8.000000119E-1,1.968750000E2,1.759765501E1,1.759765501E1
2.009172201E0,3.211895343E1,1.189481757E2,1.441785526E1,2.079999924E0,1.065234375E2,1.440757087E1,1.440757087E1
2.632169127E0,3.211891479E1,1.189482835E2,1.508728886E1,1.519999981E0,1.441406250E2,5.712298621E0,5.712298621E0
3.632167816E0,3.211889728E1,1.189482837E2,1.517109013E1,1.519999981E0,1.483593750E2,4.303117877E0,4.303117877E0
4.632164955E0,3.211888068E1,1.189482789E2,1.580915165E1,1.480000019E0,1.582031250E2,3.753445264E0,3.753445264E0
5.632161975E0,3.211886605E1,1.189482774E2,1.626276493E1,1.169999957E0,1.785937500E2,3.535533906E0,3.535533906E0
6.632912993E0,3.211885801E1,1.189482585E2,1.536707401E1,1.210000038E0,1.687500000E2,3.535533906E0,3.535533906E0
7.632915497E0,3.211884950E1,1.189482450E2,1.561835575E1,1.210000038E0,1.736718750E2,3.535533906E0,3.535533906E0
8.632924318E0,3.211884330E1,1.189482283E2,1.394092655E1,1.230000019E0,1.701562500E2,3.535533906E0,3.535533906E0
9.632926583E0,3.211883730E1,1.189482130E2,1.286615849E1,1.210000038E0,1.712109375E2,3.535533906E0,3.535533906E0
1.063293564E1,3.211883035E1,1.189481995E2,1.170325565E1,1.340000033E0,1.719140625E2,3.535533906E0,3.535533906E0
1.163293898E1,3.211882289E1,1.189481878E2,1.078644657E1,1.299999952E0,1.715625000E2,3.535533906E0,3.535533906E0
1.263295114E1,3.211881434E1,1.189481792E2,1.036158085E1,1.340000033E0,1.683984375E2,3.535533906E0,3.535533906E0
1.363295472E1,3.211880250E1,1.189481820E2,1.036158100E1,1.340000033E0,1.683984390E2,4.574578688E0,4.574578688E0
1.463296604E1,3.211879385E1,1.189481804E2,1.008490865E1,1.389999986E0,1.592578153E2,4.574578710E0,4.574578710E0
1.563297176E1,3.211878706E1,1.189481812E2,9.811165974E0,1.389999986E0,1.518750037E2,4.574578722E0,4.574578722E0
1.663298237E1,3.211878049E1,1.189481838E2,9.318886919E0,1.389999986E0,1.458984419E2,4.574578729E0,4.574578729E0
1.763298988E1,3.211877225E1,1.189481857E2,9.059273875E0,1.350000024E0,1.487109415E2,4.574578737E0,4.574578737E0
1.863300705E1,3.211876536E1,1.189481891E2,8.789345877E0,1.259999990E0,1.487109412E2,4.574578740E0,4.574578740E0
1.963301134E1,3.211875698E1,1.189481944E2,8.449959905E0,1.330000043E0,1.483593789E2,4.574578741E0,4.574578741E0
2.063302517E1,3.211874846E1,1.189482003E2,8.034402044E0,1.330000043E0,1.469531291E2,4.574578742E0,4.574578742E0
2.163302696E1,3.211873903E1,1.189482066E2,8.464181097E0,1.330000043E0,1.476562540E2,4.574578742E0,4.574578742E0
2.263303268E1,3.211872958E1,1.189482143E2,8.234383740E0,1.360000014E0,1.466015667E2,4.574578740E0,4.574578740E0
2.363303483E1,3.211871938E1,1.189482195E2,8.065529983E0,1.370000005E0,1.494140664E2,4.574578743E0,4.574578743E0
2.463304484E1,3.211870771E1,1.189482235E2,7.863534132E0,1.370000005E0,1.536328159E2,4.574578751E0,4.574578751E0
2.563304591E1,3.211869643E1,1.189482270E2,8.269326369E0,1.370000005E0,1.564453156E2,4.574578761E0,4.574578761E0
2.663304675E1,3.211868463E1,1.189482310E2,8.267464809E0,1.429999948E0,1.578515655E2,4.574578770E0,4.574578770E0
2.763304734E1,3.211867293E1,1.189482342E2,7.851693325E0,1.429999948E0,1.589062529E2,4.574578782E0,4.574578782E0
2.863304722E1,3.211866226E1,1.189482377E2,8.213631787E0,1.360000014E0,1.582031278E2,4.574578791E0,4.574578791E0
2.963304758E1,3.211865084E1,1.189482428E2,8.307778516E0,1.360000014E0,1.553906282E2,4.574578799E0,4.574578799E0
3.063304794E1,3.211864158E1,1.189482468E2,8.154427649E0,1.179999948E0,1.539843779E2,4.574578805E0,4.574578805E0
3.163304687E1,3.211862796E1,1.189482507E2,8.133217989E0,1.450000048E0,1.589062529E2,4.574578817E0,4.574578817E0
3.263304698E1,3.211861869E1,1.189482534E2,8.191170822E0,1.220000029E0,1.610156272E2,4.574578825E0,4.574578825E0
3.363304627E1,3.211859740E1,1.189482557E2,1.201235943E1,1.289127126E0,1.537411603E2,4.751410423E0,4.751410423E0
3.463304651E1,3.211858618E1,1.189482663E2,1.187971434E1,1.435361077E0,1.562026676E2,4.753181624E0,4.753181624E0
3.563304555E1,3.211857901E1,1.189482729E2,1.210295346E1,1.258619847E0,1.522722079E2,4.757246795E0,4.757246795E0
3.663304460E1,3.211856756E1,1.189482842E2,1.241269941E1,1.305718730E0,1.540959505E2,4.717139077E0,4.717139077E0
3.763304341E1,3.211855851E1,1.189482898E2,1.231940964E1,1.250347036E0,1.512933796E2,4.718123973E0,4.718123973E0
3.863304305E1,3.211855338E1,1.189482909E2,1.225930186E1,7.235324130E-1,1.541141260E2,4.718305803E0,4.718305803E0
3.963304138E1,3.211854381E1,1.189482967E2,1.164533214E1,9.014237719E-1,1.520771304E2,4.711512571E0,4.711512571E0
4.063304114E1,3.211853349E1,1.189483007E2,1.146229474E1,9.759612329E-1,1.567262953E2,4.706256560E0,4.706256560E0
4.163303959E1,3.211852359E1,1.189483050E2,1.182423928E1,9.742665920E-1,1.570022027E2,4.713045370E0,4.713045370E0
4.263303864E1,3.211851283E1,1.189483047E2,1.180093564E1,9.941249699E-1,1.690651060E2,4.716008910E0,4.716008910E0
4.363303697E1,3.211850303E1,1.189483119E2,1.185174259E1,1.012658977E0,1.621022745E2,4.718058349E0,4.718058349E0
4.463303590E1,3.211849080E1,1.189483154E2,1.206573010E1,1.156543735E0,1.642233840E2,4.719420968E0,4.719420968E0
4.563303411E1,3.211848039E1,1.189483201E2,1.158585419E1,1.142554653E0,1.607410123E2,4.715180165E0,4.715180165E0
4.663303292E1,3.211847055E1,1.189483222E2,1.150077543E1,9.463371271E-1,1.627352300E2,4.713365362E0,4.713365362E0
4.763303161E1,3.211845560E1,1.189483274E2,1.157472159E1,1.303948220E0,1.631538797E2,4.715926264E0,4.715926264E0
