"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.617766673E-2,-2.338052392E-1,-1.324330926E0,3.183981031E-2
4.611266672E-2,-5.777475238E-1,-1.548956752E0,2.240075469E-1
6.604866672E-2,-6.129735708E-1,-1.149484515E0,3.860950172E-1
8.598366671E-2,-3.739856184E-1,-7.521914244E-1,5.118421316E-1
1.059186667E-1,-1.428098232E-1,-6.760314107E-1,6.263703108E-1
1.258536667E-1,-6.805219501E-2,-8.262031078E-1,5.898416638E-1
1.457886667E-1,-1.342159510E-1,-1.070366621E0,4.469072521E-1
1.657236667E-1,-1.087878495E-1,-1.452786565E0,3.694374561E-1
1.856586667E-1,-7.797725499E-2,-1.945840359E0,2.634747028E-1
2.055936668E-1,-3.305679560E-1,-1.812338471E0,-2.168247849E-2
2.255286667E-1,-5.436345339E-1,-1.233680367E0,-2.908340394E-1
2.454636667E-1,-3.890971839E-1,-7.182294726E-1,-1.818665266E-1
2.653986667E-1,-1.192485355E-2,-5.498596430E-1,-1.689594798E-2
2.853336667E-1,1.377757043E-1,-6.567142606E-1,-2.582086623E-1
3.052696667E-1,-1.080909222E-1,-7.036682963E-1,-8.011260033E-1
3.252046667E-1,-5.139257908E-1,-4.691127837E-1,-1.227693915E0
3.451396667E-1,-9.176766872E-1,-4.043484032E-1,-1.176225901E0
3.650746667E-1,-1.080412507E0,-4.242415130E-1,-8.439131379E-1
3.850096667E-1,-1.100089312E0,-9.091820121E-1,-6.579596400E-1
4.049446667E-1,-1.072267175E0,-1.338857532E0,-5.210093856E-1
4.248796667E-1,-9.886689782E-1,-1.355462313E0,-3.690118492E-1
4.448146668E-1,-9.221953750E-1,-9.470245838E-1,-1.885783076E-1
4.647496667E-1,-8.981859088E-1,-9.418183565E-1,-6.703854073E-3
4.846846667E-1,-7.811057568E-1,-8.448300958E-1,3.405874372E-1
5.046196667E-1,-4.275684655E-1,-7.538595200E-1,7.011446357E-1
5.245546667E-1,8.128397167E-3,-7.722967267E-1,9.194087386E-1
5.444906667E-1,2.348892540E-1,-1.019852638E0,8.841037750E-1
5.644256667E-1,3.823280036E-1,-8.740400672E-1,7.638711333E-1
5.843606667E-1,4.144562185E-1,-3.286937475E-1,6.141692400E-1
6.042956667E-1,1.871648431E-1,-4.194049537E-1,3.102343082E-1
6.242306667E-1,1.467249542E-1,-1.600979567E0,-9.089193493E-2
6.441656667E-1,2.706609666E-1,-1.658485174E0,-1.966354698E-1
6.641006666E-1,5.849198103E-1,-8.525812030E-1,-3.761418462E-1
6.840356668E-1,9.808518887E-1,3.650998697E-2,-2.274929434E-1
7.039706667E-1,1.509231806E0,4.511553943E-1,3.049461842E-1
7.239056667E-1,1.839631677E0,2.226173580E-1,4.471211433E-1
7.438406667E-1,1.948031306E0,-3.909662366E-1,3.458433449E-1
7.637756667E-1,1.815473318E0,-7.666828036E-1,2.894088030E-1
7.837116667E-1,1.455301642E0,-7.604553699E-1,4.195138812E-1
8.036466667E-1,8.738902211E-1,-3.716522455E-1,6.211370826E-1
8.235816667E-1,2.354235388E-2,1.252675802E-2,8.507111073E-1
8.435166667E-1,-7.251036167E-1,4.218418598E-1,1.106508493E0
8.634516667E-1,-1.053242207E0,8.303521276E-1,1.308319569E0
8.833866667E-1,-1.044969440E0,1.089731812E0,1.346577525E0
9.033216668E-1,-9.750599861E-1,9.841383696E-1,1.226446271E0
9.232566667E-1,-9.785950184E-1,6.315925717E-1,1.041308284E0
9.431916667E-1,-1.030462265E0,3.574225605E-1,8.894367814E-1
9.631266667E-1,-1.112413526E0,3.724832237E-1,7.053495049E-1
9.830616667E-1,-1.055821180E0,5.645014644E-1,3.827706575E-1
1.002996667E0,-8.377141356E-1,3.950383067E-1,2.770143747E-1
1.022932292E0,-4.085305631E-1,-1.876275986E-2,3.954819739E-1
1.042867292E0,1.616781950E-1,-2.215890139E-1,5.370082259E-1
1.062802292E0,6.013889313E-1,-3.561679125E-1,5.984943509E-1
1.082737292E0,8.460844159E-1,-5.696907640E-1,6.522302628E-1
1.102672292E0,9.305708408E-1,-3.555639088E-1,7.830492854E-1
1.122607292E0,9.040394425E-1,2.244002223E-1,9.910041094E-1
1.142542292E0,7.350803018E-1,4.948225021E-1,1.040699720E0
1.162477292E0,5.256259441E-1,5.063200593E-1,8.532001376E-1
1.182412292E0,4.335938096E-1,4.904928803E-1,5.638865232E-1
1.202347292E0,4.571356177E-1,3.547560275E-1,2.406243831E-1
1.222282292E0,5.587682724E-1,3.065342829E-2,-4.147567973E-2
1.242217292E0,5.948058367E-1,-3.175210953E-1,-1.367634237E-1
1.262152292E0,3.777704835E-1,-6.497078538E-1,-2.628039122E-1
1.282087292E0,-1.453478485E-1,-8.686656952E-1,-4.573707283E-1
1.302023292E0,-1.161920428E0,-1.108006239E0,-8.307645321E-1
1.321958292E0,-2.186620474E0,-1.087997437E0,-1.250285029E0
1.341893292E0,-2.525278807E0,-8.526858091E-1,-1.575759530E0
1.361828292E0,-2.222719669E0,-6.833701730E-1,-1.664535165E0
1.381763292E0,-1.612434626E0,-5.543294549E-1,-1.530010343E0
1.401698292E0,-1.048382401E0,-3.880088627E-1,-1.253230929E0
1.421633292E0,-6.333068609E-1,-4.166482687E-1,-9.355108738E-1
1.441568292E0,-3.661510348E-1,-3.964904547E-1,-6.190112233E-1
1.461503292E0,-6.946089864E-2,-1.876731366E-1,-3.947237730E-1
1.481438292E0,1.650344431E-1,7.778737694E-2,-3.425279558E-1
1.501373292E0,3.343016803E-1,3.352951705E-1,-4.021627009E-1
1.521308292E0,5.200880170E-1,4.647758603E-1,-4.994319677E-1
1.541243292E0,6.265643239E-1,4.784926772E-1,-5.915999413E-1
1.561178292E0,5.982062221E-1,4.536241293E-1,-6.811634898E-1
1.581113292E0,3.759680092E-1,3.957298696E-1,-8.005213141E-1
1.601049292E0,1.195053533E-1,3.497432172E-1,-9.131252766E-1
1.620984292E0,-2.051714659E-1,1.863093972E-1,-9.001228213E-1
1.640919292E0,-5.161812901E-1,4.143848419E-1,-7.390376925E-1
1.660854292E0,-8.172534704E-1,1.190466762E0,-2.723746300E-1
1.680789292E0,-1.171790957E0,1.782177806E0,4.095023274E-1
1.700724292E0,-1.233701468E0,1.894505501E0,8.250913620E-1
1.720659292E0,-9.214105606E-1,1.615877628E0,7.476600409E-1
1.740594292E0,-3.922646940E-1,1.317873955E0,4.439375103E-1
1.760529292E0,1.534016337E-2,7.377291918E-1,6.410107613E-1
1.780464292E0,3.053604662E-1,2.705065310E-1,1.130626917E0
1.800399292E0,5.244936943E-1,-2.669393122E-1,1.345543385E0
1.820334292E0,8.706362247E-1,-4.827307761E-1,1.227398872E0
1.840269292E0,1.307965517E0,-6.574604511E-1,1.212703228E0
1.860204292E0,1.549896359E0,-1.008475304E0,1.361830592E0
1.880139292E0,1.395588994E0,-1.385383487E0,1.440333486E0
1.900075292E0,9.665151834E-1,-1.745797038E0,1.508586884E0
1.920010292E0,5.604251027E-1,-1.734653711E0,1.506815910E0
1.939945292E0,3.158228993E-1,-1.437017441E0,1.679050446E0
1.959880292E0,9.797640890E-2,-1.012967587E0,1.878433585E0
1.979815292E0,-1.936529279E-1,-3.187317848E-1,1.905774593E0
1.999750292E0,-5.531348586E-1,4.809732735E-1,1.743039250E0
2.019685583E0,-7.236528993E-1,1.277884007E0,1.346605062E0
2.039620583E0,-5.520604849E-1,1.303531885E0,1.150198460E0
2.059555583E0,-9.739571810E-2,9.311367869E-1,9.691070914E-1
2.079490583E0,3.752595782E-1,2.955407202E-1,7.648926973E-1
2.099425583E0,5.809845924E-1,-2.276577801E-1,5.729841590E-1
2.119360583E0,5.584003329E-1,-4.881483018E-1,2.135219127E-1
2.139295583E0,6.938627362E-1,-1.166718900E-1,-1.494312882E-1
2.159230583E0,5.240984559E-1,4.193218052E-2,-5.300837159E-1
2.179165583E0,2.127238810E-1,1.841811538E-1,-7.899940014E-1
2.199100583E0,-1.208115742E-1,2.523416877E-1,-8.570706844E-1
2.219036583E0,-4.279038012E-1,1.404139549E-1,-8.989522457E-1
2.238971583E0,-7.427133322E-1,-1.709795594E-1,-1.012613535E0
2.258906583E0,-1.052174330E0,-3.236456215E-1,-1.202724338E0
2.278841583E0,-1.665269256E0,-4.662981629E-1,-1.530917048E0
2.298776583E0,-2.295065403E0,-7.008638978E-1,-1.891824007E0
2.318711583E0,-2.347864151E0,-9.574816823E-1,-1.865493536E0
2.338646583E0,-1.743227482E0,-9.813631177E-1,-1.495931506E0
2.358581583E0,-8.444184065E-1,-8.443129659E-1,-1.018576264E0
2.378516583E0,-1.876876652E-1,-7.130219936E-1,-6.635600924E-1
2.398451583E0,8.622977883E-2,-5.150611997E-1,-4.346693158E-1
2.418386583E0,4.669797421E-2,-4.856016636E-1,-2.552909851E-1
2.438321583E0,-7.227011770E-2,-3.848755062E-1,-2.538792789E-1
2.458256583E0,-7.465286553E-2,-1.956616640E-1,-4.600130618E-1
2.478191583E0,9.828227013E-2,2.087961435E-1,-6.466926932E-1
2.498126583E0,2.481972724E-1,5.353177190E-1,-7.785145044E-1
2.518061583E0,2.867892683E-1,6.905035377E-1,-8.553346992E-1
2.537996583E0,2.128174156E-1,7.218877673E-1,-8.916680217E-1
2.557932583E0,8.453370072E-3,6.017821431E-1,-9.200034738E-1
2.577867583E0,-2.270117402E-1,3.594184518E-1,-9.384214282E-1
2.597802583E0,-3.414562345E-1,2.862396836E-1,-8.967867494E-1
